paper_id,pmid,pmcid,doi,title,queue_reason,preferred_source,notes
pmid-42640608,42640608,,10.1080/1354750X.2026.2715050,"Integrated molecular, epigenetic, microbial and liquid biopsy biomarkers in colorectal cancer: implications for prognosis and precision therapy.",No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-42635598,42635598,,10.1158/1078-0432.CCR-26-1816,"Elacestrant in Combination with Everolimus for Estrogen Receptor-Positive, HER2-Negative Previously Treated Advanced Breast Cancer: Results from ELEVATE.",No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-42575435,42575435,,10.1016/j.jbc.2026.113426,Insulin receptor substrate 2 (IRS2) confers resistance to PI3K pathway inhibition in PIK3CA mutant breast cancer.,No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-42509693,42509693,,10.2174/0115748928444498260516065557,Innovative Therapeutic Strategies for Hormone-sensitive Breast Cancer: A Patent Landscape Review.,No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-42499691,42499691,PMC13399991,10.1159/000552643,Comprehensive Liquid Biopsy Testing in Metastatic Hormone Receptor-Positive HER2-Negative Breast Cancer Patients: First Results from Routine Clinical Practice.,Automated XML was unusable for normalization.,publisher_pdf_or_user_download,PMCID resolved from NCBI idconv. PMC XML body element is missing. Unusable XML deleted from run artifacts.
pmid-42456830,42456830,,10.1016/j.bcp.2026.118262,"Core genes drive treatment resistance in triple-negative breast cancer: characteristics, mechanisms, intervention strategies.",No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-42456541,42456541,,10.1016/j.ejca.2026.116936,"Coexisting driver alterations in non-small cell lung cancer: Prevalence, clonal architecture, and impact on survival and progression.",No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-42421540,42421540,,10.1080/07357907.2026.2696797,"Systematic Investigation of Key Drivers of Lung Adenocarcinoma: A Focus on Genes, Pathways, and miRNAs.",No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-42405409,42405409,,10.2174/0113895575463121260609115219,Medicinal Chemistry Perspectives on Molecular Targets and Targeted Therapeutic Strategies in Breast Cancer.,No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-42341421,42341421,,10.1016/j.bbrc.2026.154189,Functional characterization of PIK3CA E545A mutation in MCF-7 breast cancer cells reveals enhanced proliferation and resistance to Alpelisib.,No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-42323696,42323696,,10.1186/s13058-026-02324-6,Impact of somatic PIK3CA mutations on clinical outcomes in HER2-positive breast cancer.,No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-42312509,42312509,,10.2174/0113816128473617260609100900,Glycycoumarin Induces G2/M Cell Cycle Arrest and Apoptosis in Non-Small-Cell Lung Cancer Cells via Suppressing the PI3K/AKT/mTOR/HIF-1α Pathway.,No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-42310133,42310133,,10.1038/s41598-026-57604-0,"Multitargeted comparative evaluation suggests 2-Aoeobenoxmide shows favourable in silico binding compared to Tucatinib against ERα, HER2, AKT1, EGFR, and PIK3CA in breast cancer.",No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-42307901,42307901,,10.1097/CAD.0000000000001831,Inavolisib and lenvatinib for PIK3CA-mutated refractory splenic angiosarcoma: a case report.,No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-42237450,42237450,PMC13397232,10.1002/ijc.70545,Landscape of Chinese Lung Cancer Patients With Compound Mutations and Acquired Resistance Alterations: A Retrospective Study.,Automated XML was unusable for normalization.,publisher_pdf_or_user_download,PMCID resolved from NCBI idconv. PMC XML body element is missing. Unusable XML deleted from run artifacts.
pmid-42227554,42227554,,10.2174/0115665240410323260312134205,The Mutational Landscape of Angiosarcoma: Challenges and Opportunities to Design Management Strategies.,No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-42176127,42176127,,10.1007/s11033-026-11971-z,"Somatic mutation profiling by NGS-based liquid biopsy in advanced non-small cell lung cancer: frequency, clinical correlates, and prognostic significance.",No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-42127863,42127863,,10.1016/j.oraloncology.2026.108004,Efficacy of buparlisib according to PIK3CA mutation status in recurrent or metastatic head and neck squamous cell carcinoma: A multicenter phase II trial.,No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-42099435,42099435,PMC13148109,10.64898/2026.04.24.720709,Insulin receptor substrate 2 (IRS2) confers resistance to PI3K pathway inhibition in PIK3CA mutant breast cancer.,Automated XML was unusable for normalization.,publisher_pdf_or_user_download,PMCID resolved from NCBI idconv. PMC XML body element is missing. Unusable XML deleted from run artifacts.
pmid-42061572,42061572,,10.1016/j.jtho.2026.103894,Long-Term Impact of First-Line Amivantamab Plus Lazertinib Versus Osimertinib on Mechanisms of Acquired Resistance in MARIPOSA: A Brief Report.,No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-41932195,41932195,,10.1016/j.compbiolchem.2026.109028,Synergistic action of Yinyanghuo A and Magnograndiolide against ovarian cancer: A computational prediction of targets and mechanism via network pharmacology and molecular simulations.,No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-41902997,41902997,,10.1007/s12094-026-04314-8,The logarithmic phase as a therapeutic direction: evaluating pharmacological strategies against cancer progression.,No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-41785530,41785530,,10.1016/j.ygyno.2026.01.770,"Demographics, clinicopathological features, and survival outcomes of women with endometrial neuroendocrine tumors.",No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-41764610,41764610,,10.2174/0113895575418114251210151424,Inavolisib-based Combination Therapy for the Treatment of PIK3CAMutated HR+/HER2- Breast Cancer: An Overview.,No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-41756964,41756964,PMC12934813,10.64898/2026.02.16.706009,Targeting FGFR signaling overcomes therapeutic resistance and immune evasion in oncogenic PIK3CA-driven serous-like endometrial cancer.,Automated XML was unusable for normalization.,publisher_pdf_or_user_download,PMCID resolved from NCBI idconv. PMC XML body element is missing. Unusable XML deleted from run artifacts.
pmid-41690534,41690534,,10.1016/j.critrevonc.2026.105207,Beyond EGFR inhibition in head and neck squamous cell carcinoma: Overcoming resistance mechanisms and novel therapeutic frontiers.,No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-41664643,41664643,,10.1111/his.70115,Genomic and clinicopathological characteristics of low oncotype recurrent score breast cancers with subsequent metastasis.,No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-41519649,41519649,,10.1016/j.euf.2025.12.016,"Subsequent-line Systemic Therapy for Metastatic or Recurrent Penile Cancer: A Systematic Review of Efficacy, Toxicity, and Outcomes.",No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-41483371,41483371,,10.1007/s12094-025-04168-6,Clinical utility of longitudinal circulating tumor DNA analysis in metastatic colorectal cancer patients receiving palliative chemotherapy.,No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-41455323,41455323,,10.1016/j.oraloncology.2025.107827,"Head and neck squamous cell carcinoma following allogeneic bone marrow transplantation: Clinical features, genomic Alterations, and limited efficacy of palliative chemotherapy.",No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-41435752,41435752,,10.1016/j.ejca.2025.116194,PIK3CA mutations and first-line outcomes in endocrine-resistant HR+/HER2- metastatic breast cancer: A multicentric real-world study.,No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-41420845,41420845,,10.1002/cbdv.202502558,Bioactivity-Guided Isolation of Cytotoxic Compounds From Curcuma caesia: In Vitro and In Silico Investigation for Oral Cancer.,No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-41384708,41384708,,10.1111/his.15555,Molecular pathology of bladder cancer.,No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-41361165,41361165,,10.1097/CJI.0000000000000587,Identification of 2 Ubiquitin-Proteasome System-Related Subtypes in Esophageal Squamous Cell Carcinoma for Prognostic and Immunotherapeutic Response Prediction.,No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-41207908,41207908,,10.1007/s10620-025-09471-4,Deciphering Cancer Evolution Through Genomic Profiling of Patient-Derived Xenograft Together with Matched Primary Gallbladder Cancer.,No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-40804585,40804585,,10.1007/s00428-025-04218-y,"Characterizing neurofibromin 1-altered breast cancer through genomic, functional, and clinical analyses.",No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-41232383,41232383,,10.1016/j.bbrc.2025.152953,Cheminformatics-based analysis identified Novel compounds from Nelumbo nucifera as potential inhibitors targeting PI3k/Akt/mTOR Pathway of HR+/HER2- subtype for Breast Cancer.,No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-40791422,40791422,PMC12338597,10.1101/2025.07.11.664189,Tumor-initiating genetics and therapy drive divergent molecular evolution in IDH-mutant gliomas.,Automated XML was unusable for normalization.,publisher_pdf_or_user_download,PMCID resolved from NCBI idconv. PMC XML body element is missing. Unusable XML deleted from run artifacts.
pmid-40697693,40697693,PMC12278399,10.1016/j.mjafi.2024.01.006,"Heterogeneous ERBB gene pathways, their targeted treatment and possible molecular mechanisms of resistance in metastatic gallbladder cancer.",Automated XML was unusable for normalization.,publisher_pdf_or_user_download,PMCID resolved from NCBI idconv. PMC XML body element is missing. Unusable XML deleted from run artifacts.
pmid-40665666,40665666,,10.1177/03008916251353357,Breast cancer and large-cell neuroendocrine carcinoma harboring the same PIK3CA mutation: A case report.,No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-40657993,40657993,,10.1097/CCO.0000000000001168,Liquid biopsy in breast cancer: promises and challenges.,No automated full-text route was available at import time.,publisher_pdf_or_user_download,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
