paper_id,pmid,pmcid,doi,title,normalized_source_type,normalized_path,fulltext_decision,fulltext_rationale,mechanistic_relevance,objective_relevance,topic_centrality,review_confidence
pmid-42588596,42588596,PMC13465285,10.3390/cancers18152375,PAX3::FOXO1-Targeting PROTAC Induces Myogenic Differentiation of Fusion-Positive Rhabdomyosarcoma Cells.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC13465285.json,keep,PAX3::FOXO1-targeting PROTAC causes proteasome-dependent endogenous fusion-protein degradation and differentiation of fusion-positive rhabdomyosarcoma cells.,high,medium,central,high
pmid-42284071,42284071,PMC13348024,10.1021/acs.biochem.6c00040,PAX3-FOXO1 Contacts BRD4 through Its Acetylated Intrinsically Disordered Region.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC13348024.json,keep,"PAX3-FOXO1 uses an acetylated intrinsically disordered region to contact BRD4; useful for PAX-family PTM/cofactor targetability, though not direct degradation.",medium,medium,supporting,medium
pmid-38861275,38861275,PMC11174093,10.1167/iovs.65.6.17,IGF2BP2 Maintains Retinal Pigment Epithelium Homeostasis by Stabilizing PAX6 and OTX2.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC11174093.json,keep,IGF2BP2 stabilizes PAX6 and OTX2 mRNAs; supports abundance-control logic but is RNA-stability rather than protein turnover.,medium,medium,supporting,medium
pmid-38776375,38776375,PMC11145296,10.1073/pnas.2314619121,SUMO-specific protease 1 regulates germinal center B cell response through deSUMOylation of PAX5.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC11145296.json,keep,SENP1 deSUMOylates PAX5 and maintains PAX5 protein level in germinal center B-cell responses.,high,medium,central,high
pmid-37028762,37028762,PMC10164895,10.1016/j.jbc.2023.104680,The ups and downs of Pax6 in neural stem cells.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC10164895.json,keep,"Commentary summarizes KAT2A acetylation of Pax6, RNF8 ubiquitination, and proteasome-mediated Pax6 degradation.",high,medium,central,high
pmid-36791914,36791914,PMC10011063,10.1016/j.jbc.2023.103020,Histone acetyltransferase KAT2A modulates neural stem cell differentiation and proliferation by inducing degradation of the transcription factor PAX6.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC10011063.json,keep,"KAT2A acetylates PAX6 and facilitates RNF8-mediated ubiquitination and degradation, linking PTM to PAX protein turnover.",high,medium,central,high
pmid-35920196,35920196,PMC9827955,10.3724/abbs.2022043,PHD3 inhibits cell proliferation through hydroxylation of PAX2 at proline 9.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC9827955.json,keep,"PHD3 hydroxylates PAX2 at proline 9 and functionally suppresses proliferation, showing PAX-family hydroxylation as a regulatory mechanism.",high,medium,central,high
pmid-34059674,34059674,PMC8167170,10.1038/s41467-021-23577-z,Acetylation of PAX7 controls muscle stem cell self-renewal and differentiation potential in mice.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC8167170.json,keep,"PAX7 acetylation controls muscle stem cell self-renewal and differentiation potential, supporting PAX-family acetylation as a regulatory control point.",high,medium,central,high
pmid-33777928,33777928,PMC7990767,10.3389/fcell.2021.606403,c-Abl Kinase Is Required for Satellite Cell Function Through Pax7 Regulation.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC7990767.json,keep,c-Abl interacts with and phosphorylates Pax7; supports kinase-dependent PAX-family post-translational regulation.,medium,medium,supporting,medium
pmid-33490904,33490904,PMC7811140,10.1016/j.isci.2020.101996,17-DMAG dually inhibits Hsp90 and histone lysine demethylases in alveolar rhabdomyosarcoma.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC7811140.json,keep,"PAX3-FOXO1 is an Hsp90 client and is destabilized/degraded by geldanamycin and 17-DMAG, suggesting chaperone-dependence as a targetable PAX-family mechanism.",high,medium,central,high
