paper_id,pmid,doi,title,abstract,year,source_query,abstract_reviewer_decision,abstract_reviewer_rationale,abstract_reviewer2_decision,abstract_reviewer2_rationale,abstract_reviewer2_confidence,promotion_decision
pmid-42629042,42629042,10.1016/j.foodres.2026.119807,Retinoic acid priming enhances myogenesis of bovine muscle stem cells for cultivated meat production by modulating mitochondrial function.,"Large-scale production of cultivated meat will require robust myogenic differentiation of muscle stem cells (MuSCs) into muscle tissue using food-compatible cues. Retinoic acid (RA), a bioactive metabolite of dietary vitamin A, is an attractive candidate for this purpose. Here, we demonstrate that RA priming transitions fetal bovine MuSCs from a PAX7+ proliferative state to an activated pre-differentiation program. The pro-myogenic effect observed in two-dimensional (2D) culture was recapitulated in three-dimensional (3D) scaffolds, where RA priming accelerated and enhanced myotube formation in a setting that is more relevant to tissue. This response required canonical retinoic acid receptor (RAR) signaling. RA-RAR signaling increased the expression of peroxisome proliferator-activated receptor gamma coactivator 1-alpha (PPARGC1A) and nuclear respiratory factor 1 (NRF1), which is consistent with enhanced mitochondrial biogenesis and improved mitochondrial function. These findings are supported by elevated mitochondrial membrane potential and higher levels of respiratory chain components, together with modest changes in mitochondrial dynamics. In parallel, RA reduced the expression of PTEN-induced kinase 1 (PINK1), Parkin RBR E3 ubiquitin protein ligase (PRKN), and microtubule-associated protein 1 light chain 3 (LC3) and suppressed the transcriptional program associated with mitophagy. Taken together, these results suggest that the RA priming modulates mitochondrial function and quality-control pathways, reduces reliance on PINK1-PRKN-dependent mitophagy, and supports an activated, pro-myogenic primed state. This provides a food-compatible priming strategy with potential relevance for scalable cultivated beef production.",2026,"(""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX6""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""PAX9""[Title/Abstract] OR ""paired box""[Title/Abstract] OR ""paired-box""[Title/Abstract]) AND (stability[Title/Abstract] OR degradation[Title/Abstract] OR turnover[Title/Abstract] OR ""half-life""[Title/Abstract] OR ubiquitin*[Title/Abstract] OR proteasome[Title/Abstract] OR proteasomal[Title/Abstract] OR chaperone[Title/Abstract] OR folding[Title/Abstract] OR ""nuclear localization""[Title/Abstract] OR ""nuclear retention""[Title/Abstract] OR ""nuclear accumulation""[Title/Abstract] OR importin[Title/Abstract] OR exportin[Title/Abstract])",exclude,"Title/abstract does not show a mechanism regulating PAX8 or a PAX-family protein; likely marker, expression, disease, or unrelated mechanism context.",confirm_exclude,Confirmed: title/abstract does not provide PAX8 or PAX-family protein-level regulatory mechanism evidence in the requested classes.,high,stop
pmid-42597777,42597777,10.3389/fcell.2026.1833030,Replicable generation and stable maintenance of rhesus macaque iPSCs for in vitro modeling of genetic frontotemporal dementia.,"At the Wisconsin National Primate Research Center, we have identified a family of rhesus carrying the microtubule-associated protein tau (MAPT) R406W mutation linked to frontotemporal dementia (FTD). Rhesus induced pluripotent stem cells (RhiPSCs) derived from these monkeys present a unique opportunity for in vitro modeling and comparison with cells derived from MAPT R406W human carriers. Here, we report the development of a reproducible method to generate RhiPSCs compliant with the standards of the International Society for Stem Cell Research (ISSCR) to support in vitro modeling of FTD-MAPT R406W. Our stepwise approach identified efficient methods for fibroblast derivation, fibroblast reprogramming to RhiPSC, and RhiPSC maintenance over continued culture. To derive fibroblasts from MAPT wild type (WT) and R406W monkeys, a combination of manual processing and overnight enzymatic digestion was required to maximize the number of low passage fibroblasts available for reprogramming. Fibroblast reprogramming to RhiPSC using Sendai viral vectors versus oriP/EBNA1 episomal plasmids revealed the latter as most efficient. Electroporation conditions for oriP/EBNA1 reprogramming were optimized to maximize plasmid uptake and cell survival. Ultimately, eight RhiPSC lines were derived from 4 donor rhesus monkeys (n = 2 WT, n = 2 R406W; two clonal lines per donor) and fully characterized according to ISSCR standards. RhiPSC stemness and genetic stability was best maintained on mouse embryonic fibroblast feeders in Universal Primate Pluripotency Stem Cell medium, as opposed to Essential 12 medium supplemented with IWR1, which produced cytogenetic abnormalities. Rhesus neural progenitor cells were generated using a monolayer protocol and expressed PAX6 and NESTIN after 21 days of differentiation. Our reliable method will be useful to labs seeking to derive RhiPSCs for preclinical studies. Overall, the RhiPSCs generated from MAPT R406W carriers will be a critical resource for evaluating the molecular underpinnings of tau-related neurodegeneration across primate species.",2026,"(""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX6""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""PAX9""[Title/Abstract] OR ""paired box""[Title/Abstract] OR ""paired-box""[Title/Abstract]) AND (stability[Title/Abstract] OR degradation[Title/Abstract] OR turnover[Title/Abstract] OR ""half-life""[Title/Abstract] OR ubiquitin*[Title/Abstract] OR proteasome[Title/Abstract] OR proteasomal[Title/Abstract] OR chaperone[Title/Abstract] OR folding[Title/Abstract] OR ""nuclear localization""[Title/Abstract] OR ""nuclear retention""[Title/Abstract] OR ""nuclear accumulation""[Title/Abstract] OR importin[Title/Abstract] OR exportin[Title/Abstract])",exclude,"Title/abstract does not show a mechanism regulating PAX8 or a PAX-family protein; likely marker, expression, disease, or unrelated mechanism context.",confirm_exclude,Confirmed: title/abstract does not provide PAX8 or PAX-family protein-level regulatory mechanism evidence in the requested classes.,high,stop
pmid-42588596,42588596,10.3390/cancers18152375,PAX3::FOXO1-Targeting PROTAC Induces Myogenic Differentiation of Fusion-Positive Rhabdomyosarcoma Cells.,"Background/Objectives: Fusion-positive rhabdomyosarcoma (FP-RMS) is characterized by the presence of tumor-specific chromosomal translocation products, most commonly PAX3::FOXO1, and typically results in lower survival rates compared to fusion-negative RMS cases. PAX3::FOXO1 plays a critical role in FP-RMS oncogenesis in both tumor initiation and maintenance, making it an excellent target for therapeutic intervention in FP-RMS. Methods: We created Proteolysis Targeting Chimeras (PROTACs) by combining PAX3::FOXO1-binding small molecules with E3 ligase recruiters for cereblon (CRBN) or S-Phase Kinase Associated Protein 1 (SKP1). Results: The PROTACs achieved up to 70% degradation of the endogenous PAX3::FOXO1 protein in FP-RMS cell lines in a concentration-, time-, and proteasome-dependent manner. Moreover, the PROTAC-mediated targeted degradation of PAX3::FOXO1 in FP-RMS cells deregulated the endogenous PAX3::FOXO1 gene expression signature and induced myogenic differentiation. Importantly, treatment of FP-RMS cells with PAX3::FOXO1-PROTACs synergized with vincristine treatment and impaired >80% of anchorage-independent growth in soft agar. Conclusions: Taken together, we demonstrate the proof of principle of PROTACs targeting the oncogenic fusion protein PAX3::FOXO1 in FP-RMS cells. The PROTACs created in this study will not only be useful tools in studying PAX3::FOXO1 biology in laboratory models but could also serve as molecular scaffolds for designing clinical-grade molecules to assess the therapeutic potential of PAX3::FOXO1-targeting PROTACs in FP-RMS patients.",2026,"(""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX6""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""PAX9""[Title/Abstract] OR ""paired box""[Title/Abstract] OR ""paired-box""[Title/Abstract]) AND (stability[Title/Abstract] OR degradation[Title/Abstract] OR turnover[Title/Abstract] OR ""half-life""[Title/Abstract] OR ubiquitin*[Title/Abstract] OR proteasome[Title/Abstract] OR proteasomal[Title/Abstract] OR chaperone[Title/Abstract] OR folding[Title/Abstract] OR ""nuclear localization""[Title/Abstract] OR ""nuclear retention""[Title/Abstract] OR ""nuclear accumulation""[Title/Abstract] OR importin[Title/Abstract] OR exportin[Title/Abstract])",include,"Title/abstract indicates comparator PAX-family protein-level regulation relevant to stability, degradation, PTM, localization, or targeted degradation.",confirm_include,Confirmed: title/abstract provides plausible direct or comparator PAX-family protein-level regulation evidence within scope.,medium,advance_to_import
pmid-42533127,42533127,10.1007/s00467-026-07496-z,Novel PAX2 variants and phenotypic heterogeneity in pediatric kidney disease: a single-center retrospective study.,"BACKGROUND: PAX2 encodes a transcription factor critical for kidney development. Pathogenic PAX2 variants are associated with heterogeneous kidney and extrarenal manifestations. However, the clinical heterogeneity of PAX2-associated kidney disease and the functional consequences of newly identified variants remain incompletely characterized in pediatric cohorts.

METHODS: We retrospectively analyzed probands from a single-center pediatric genetic kidney disease program (2018-2024). Clinical data, imaging, kidney pathology, follow-up kidney function and genetic results were reviewed. Selected variants were functionally assessed in HEK293 cells using protein expression, cycloheximide-chase, and dual-luciferase reporter assays.

RESULTS: We identified 14 distinct PAX2 variants in 15 probands, including seven previously unreported variants: p.D2Y, p.T210A, p.S242N, p.V206D, p.A160T, p.F256Ffs*40, and p.L44_A45insV. The cohort showed substantial phenotypic heterogeneity, including variability in age at diagnosis, kidney manifestations, disease severity, extrarenal involvement, and intrafamilial expressivity. Kidney biopsy findings, available in seven patients, were heterogeneous and nonspecific. Functional analyses showed that several variants reduced PAX2 protein expression, impaired protein stability, and/or decreased transcriptional activity.

CONCLUSION: This study expands the clinical and molecular spectrum of PAX2-related kidney disease in Chinese children and highlights its substantial phenotypic and pathological heterogeneity. Early genetic testing, retrospective reanalysis, and longitudinal follow-up are valuable for children with unexplained kidney disease.",2026,"(""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX6""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""PAX9""[Title/Abstract] OR ""paired box""[Title/Abstract] OR ""paired-box""[Title/Abstract]) AND (stability[Title/Abstract] OR degradation[Title/Abstract] OR turnover[Title/Abstract] OR ""half-life""[Title/Abstract] OR ubiquitin*[Title/Abstract] OR proteasome[Title/Abstract] OR proteasomal[Title/Abstract] OR chaperone[Title/Abstract] OR folding[Title/Abstract] OR ""nuclear localization""[Title/Abstract] OR ""nuclear retention""[Title/Abstract] OR ""nuclear accumulation""[Title/Abstract] OR importin[Title/Abstract] OR exportin[Title/Abstract])",exclude,"Title/abstract does not show a mechanism regulating PAX8 or a PAX-family protein; likely marker, expression, disease, or unrelated mechanism context.",confirm_exclude,Confirmed: title/abstract does not provide PAX8 or PAX-family protein-level regulatory mechanism evidence in the requested classes.,high,stop
pmid-42471738,42471738,10.1186/s13062-026-00905-1,PAX5 alleviates atherosclerosis by transcriptionally regulating GSDMD and inhibiting STAT3-mediated pyroptosis.,"OBJECTIVE: This study aims to elucidate the role of PAX5 in the pathogenesis of atherosclerosis (AS) and its underlying mechanisms, with a particular focus on the transcriptional regulation of GSDMD and STAT3-mediated pyroptosis.

METHODS: Serum PAX5 and GSDMD levels were detected in AS patients and healthy controls. In vitro, human umbilical vein endothelial cells (HUVECs) were stimulated with oxidized low-density lipoprotein (ox-LDL) and transfected with PAX5 overexpression vectors, followed by assays for cell viability, tube formation, lipid accumulation, LDH release, and pro-inflammatory cytokine (IL-1β, IL-18) secretion. Immunofluorescence and dual-luciferase reporter assays were performed to verify the co-localization of PAX5 and GSDMD, and the transcriptional interaction between PAX5 and the GSDMD promoter. Co-immunoprecipitation (Co-IP) ubiquitination assays were conducted to determine whether PAX5 promotes GSDMD poly-ubiquitination. In vivo, ApoE⁻/⁻ AS mouse models were treated with AAV-mediated PAX5 overexpression, followed by histopathological assessment of atherosclerotic lesions, lipid metabolism detection, and Western blot analysis of pyroptosis and STAT3 signaling-related proteins.

RESULTS: Serum PAX5 was significantly downregulated in AS patients, while GSDMD was upregulated. In vitro, PAX5 overexpression reversed ox-LDL-induced viability reduction, lipid accumulation, LDH release, and IL-1β/IL-18 hypersecretion in HUVECs. Dual-luciferase assay confirmed that PAX5 directly binds to and activates the GSDMD promoter. Ubiquitination assays demonstrated that PAX5 promotes both K48-linked and K63-linked poly-ubiquitination of GSDMD, with the degradation pathway predominating over transcriptional activation, resulting in a net decrease in GSDMD protein abundance. In vivo, PAX5 overexpression reduced atherosclerotic lesion size, lipid deposition, and systemic inflammatory levels, improved serum lipid profiles, and inhibited STAT3 phosphorylation, GSDMD-N generation, and pyroptosis-related protein expression.

CONCLUSION: PAX5 alleviates AS progression through a dual regulatory mechanism involving transcriptional activation and ubiquitin-proteasome-mediated degradation of GSDMD, thereby inhibiting STAT3-associated pyroptosis. PAX5 represents a promising therapeutic target for AS intervention.",2026,"(""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX6""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""PAX9""[Title/Abstract] OR ""paired box""[Title/Abstract] OR ""paired-box""[Title/Abstract]) AND (stability[Title/Abstract] OR degradation[Title/Abstract] OR turnover[Title/Abstract] OR ""half-life""[Title/Abstract] OR ubiquitin*[Title/Abstract] OR proteasome[Title/Abstract] OR proteasomal[Title/Abstract] OR chaperone[Title/Abstract] OR folding[Title/Abstract] OR ""nuclear localization""[Title/Abstract] OR ""nuclear retention""[Title/Abstract] OR ""nuclear accumulation""[Title/Abstract] OR importin[Title/Abstract] OR exportin[Title/Abstract])",include,Abstract locally connects a PAX-family comparator to protein-level regulation within the requested mechanism classes.,confirm_include,Confirmed: title/abstract provides plausible direct or comparator PAX-family protein-level regulation evidence within scope.,medium,advance_to_import
pmid-42446761,42446761,10.1007/s12105-026-01951-x,Biphenotypic Sinonasal Sarcomas with Recurrent PAX3::FOXO6 Gene Fusion.,"BACKGROUND: Biphenotypic sinonasal sarcoma (BSNS) typically demonstrates expression of both neural and myogenic markers while harboring PAX3 gene fusions. Reported fusion partners include MAML3, NCOA1, NCOA2, FOXO1, FOXO6, WWTR1, and YAP1. Herein, we report two additional cases of BSNS harboring PAX3::FOXO6 gene fusions to aid in variant classification.

CASE PRESENTATION: Patient 1 was a 37-year-old female and patient 2 was 56-year-old male with BSNS involving the right nasal cavity and left middle turbinate, respectively. Both sarcomas were unencapsulated infiltrative spindle cell neoplasms that demonstrated morphologic features of BSNS. Case 1 demonstrated variable aberrant nuclear accumulation of beta-catenin protein and lacked expression of SMA and S100 protein. Positive reactions were observed with SMA and S100 protein in case 2. RNA sequencing identified PAX3::FOXO6 (exon 7::exon 2) in both cases.

CONCLUSION: The sinonasal location, morphology, and immunophenotype allow for discrimination against competing entities in most cases. In select cases genetic evaluation becomes necessary and to further aid in variant classification and to provide additional support for this rare finding we provide two examples of BSNS harboring PAX3::FOXO6.",2026,"(""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX6""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""PAX9""[Title/Abstract] OR ""paired box""[Title/Abstract] OR ""paired-box""[Title/Abstract]) AND (stability[Title/Abstract] OR degradation[Title/Abstract] OR turnover[Title/Abstract] OR ""half-life""[Title/Abstract] OR ubiquitin*[Title/Abstract] OR proteasome[Title/Abstract] OR proteasomal[Title/Abstract] OR chaperone[Title/Abstract] OR folding[Title/Abstract] OR ""nuclear localization""[Title/Abstract] OR ""nuclear retention""[Title/Abstract] OR ""nuclear accumulation""[Title/Abstract] OR importin[Title/Abstract] OR exportin[Title/Abstract])",exclude,"Title/abstract does not show a mechanism regulating PAX8 or a PAX-family protein; likely marker, expression, disease, or unrelated mechanism context.",confirm_exclude,Confirmed: title/abstract does not provide PAX8 or PAX-family protein-level regulatory mechanism evidence in the requested classes.,high,stop
pmid-42417999,42417999,10.1007/s00467-026-07456-7,Reno-ocular syndromes: pathophysiological mechanisms linking kidney and ocular disorders.,"The frequent association between renal and ocular anomalies suggests a common pathophysiological axis between the genetic and molecular mechanisms of the kidneys and multiple ocular structures during tissue formation, differentiation, and remodeling. The search was conducted in the PubMed, SciELO, Scopus, and Web of Science databases. This review article focuses on the common molecular and genetic bases of renal and ocular involvement in both systemic diseases and rare syndromes. The interdependence between renal and ocular morphogenesis is mediated by conserved molecular mechanisms, notably the Bone Morphogenetic Protein-7 (BMP-7) pathway, which regulates nephrogenesis and lens development, and the transcription factor Paired Box 2 (PAX2), which is essential for the formation of the genitourinary tract and the optic nerve. Shared expression of molecular components and dependency on their expression for the integrity of both the eye and the kidney lie in the stability of extracellular matrix components, specifically through laminin β2 (LAMB2) and type IV collagen, whose pathogenic variants underlie syndromic phenotypes such as Pierson and Alport syndromes. In addition, ciliopathies, developmental disorders, immune-mediated diseases, and inborn errors of metabolism, including Fabry disease, cystinosis, and primary hyperoxaluria, promote parallel injury to renal and ocular tissues through mechanisms involving abnormal cellular signaling, metabolite accumulation, complement activation and systemic inflammation. These mutual pathways affect diverse ocular structures, including the cornea, lens, retina, optic nerve, and basement membranes. Furthermore, the presence of the kidney-retina axis enables the use of the retina as a sentinel organ, allowing for non-invasive evaluation of glomerular microvasculature by means of high-resolution imaging technologies of retinal vessels. The kidneys and eyes share several genetic, developmental, structural, metabolic, and immunological mechanisms that explain the frequent association of congenital anomalies and acquired lesions in these organs and the associated diagnostic and prognostic implications.",2026,"(""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX6""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""PAX9""[Title/Abstract] OR ""paired box""[Title/Abstract] OR ""paired-box""[Title/Abstract]) AND (stability[Title/Abstract] OR degradation[Title/Abstract] OR turnover[Title/Abstract] OR ""half-life""[Title/Abstract] OR ubiquitin*[Title/Abstract] OR proteasome[Title/Abstract] OR proteasomal[Title/Abstract] OR chaperone[Title/Abstract] OR folding[Title/Abstract] OR ""nuclear localization""[Title/Abstract] OR ""nuclear retention""[Title/Abstract] OR ""nuclear accumulation""[Title/Abstract] OR importin[Title/Abstract] OR exportin[Title/Abstract])",exclude,"Title/abstract does not show a mechanism regulating PAX8 or a PAX-family protein; likely marker, expression, disease, or unrelated mechanism context.",confirm_exclude,Confirmed: title/abstract does not provide PAX8 or PAX-family protein-level regulatory mechanism evidence in the requested classes.,high,stop
pmid-42395371,42395371,10.64898/2026.06.23.734021,Composition and activity of the proteasome in human iPSC-derived neuronal model of early-stage sporadic Alzheimer's disease.,"INTRODUCTION: The proteasome is a critical cellular degradative machinery impaired in late-stage Alzheimer's disease (AD). However, the status and activity of the proteasome in early-stage sporadic AD (sAD) is unknown.

METHODS: A cellular model of human early-stage sAD was generated from sAD patient iPSC-derived cortical neurons by dual-SMAD inhibition. The iPSCs, neuroprogenitors, and cortical neurons were validated by the expressions of key markers. The level of total intraneuronal Aβ was measured by ELISA. Composition and native proteolytic activities of the proteasome in control and sAD cortical neurons were measured using complementary fluorogenic probes.

RESULTS: Control and sAD patients iPSCs expressed pluripotent markers OCT4, NANOG, and SSEA4 which induced into neuroprogenitors expressing NESTIN and PAX6. The neuroprogenitors terminally differentiated into cortical neurons expressing neuronal markers MAP2 and TUJ1, and cortical layer marker TBR1. The level of intraneuronal Aβ in the sAD cortical neurons was significantly higher compared to control. Control and sAD cortical neurons expressed native 30S, 26S, and 20S proteasome assemblies with the sAD cortical neurons displaying higher 20S assemblies. Increased active 20S assemblies was associated with higher β1, β2, and β5 proteolytic sites activities.

DISCUSSION: The significant elevation in the proteolytic activities of the β1, β2, and β5 subunits of 20S proteasome in sAD cortical neurons suggests that this may be a possible compensatory response to elevated intraneuronal Aβ.",2026,"(""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX6""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""PAX9""[Title/Abstract] OR ""paired box""[Title/Abstract] OR ""paired-box""[Title/Abstract]) AND (stability[Title/Abstract] OR degradation[Title/Abstract] OR turnover[Title/Abstract] OR ""half-life""[Title/Abstract] OR ubiquitin*[Title/Abstract] OR proteasome[Title/Abstract] OR proteasomal[Title/Abstract] OR chaperone[Title/Abstract] OR folding[Title/Abstract] OR ""nuclear localization""[Title/Abstract] OR ""nuclear retention""[Title/Abstract] OR ""nuclear accumulation""[Title/Abstract] OR importin[Title/Abstract] OR exportin[Title/Abstract])",exclude,"Title/abstract does not show a mechanism regulating PAX8 or a PAX-family protein; likely marker, expression, disease, or unrelated mechanism context.",confirm_exclude,Confirmed: title/abstract does not provide PAX8 or PAX-family protein-level regulatory mechanism evidence in the requested classes.,high,stop
pmid-42383016,42383016,10.1002/atn2.70026,Acromial Osteotomy for Dynamic Posterior Shoulder Instability.,"Posterior shoulder instability is less prevalent than anterior instability but shows a rising incidence, particularly among young and active individuals. Diagnosis is often challenging due to nonspecific symptoms, leading to delays and underestimation of prevalence. Its etiology is multifactorial, including traumatic events, iatrogenic causes, and developmental anomalies influenced by genetic factors such as Homeobox C6 and Paired Box 1, which regulate scapular and acromial development. Morphological variations of the acromion, including reduced posterior coverage and altered sagittal tilt, play a critical role in the pathophysiology of posterior instability. Dynamic posterior shoulder instability can be associated with altered acromial morphology, posterior subluxation, and glenoid retroversion. In such scenarios, acromial osteotomy with posterior repositioning may be performed to enhance posterior coverage and reduce sagittal tilt. This technique allows for improved containment of the humeral head, restoration of shoulder stability, and recovery of function. Radiographic consolidation, restoration of range of motion, pain resolution, and significant improvement in functional outcome scores can be expected following successful execution of the procedure. This Technical Note emphasizes the role of acromial morphology as a critical factor in the management of posterior instability. Acromial osteotomy offers a promising strategy to optimize osseous containment and glenohumeral stability, though additional cases and long-term follow-up are needed to confirm reproducibility and clinical efficacy.",2026,"(""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX6""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""PAX9""[Title/Abstract] OR ""paired box""[Title/Abstract] OR ""paired-box""[Title/Abstract]) AND (stability[Title/Abstract] OR degradation[Title/Abstract] OR turnover[Title/Abstract] OR ""half-life""[Title/Abstract] OR ubiquitin*[Title/Abstract] OR proteasome[Title/Abstract] OR proteasomal[Title/Abstract] OR chaperone[Title/Abstract] OR folding[Title/Abstract] OR ""nuclear localization""[Title/Abstract] OR ""nuclear retention""[Title/Abstract] OR ""nuclear accumulation""[Title/Abstract] OR importin[Title/Abstract] OR exportin[Title/Abstract])",exclude,"Title/abstract does not show a mechanism regulating PAX8 or a PAX-family protein; likely marker, expression, disease, or unrelated mechanism context.",confirm_exclude,Confirmed: title/abstract does not provide PAX8 or PAX-family protein-level regulatory mechanism evidence in the requested classes.,high,stop
pmid-42367806,42367806,10.3389/fimmu.2026.1853039,Dibutyl phthalate induces sarcopenia via TNFα/TNFR1-mediated proteolytic and pyroptotic axes: evidence from NHANES and experimental models.,"Environmental exposure to plasticizer dibutyl phthalate (DBP) is increasingly implicated in skeletal muscle decline, yet the effects and underlying mechanisms remain elusive. This study investigates the impact of DBP on skeletal muscle using a cross-scale integration of epidemiological modeling, computational toxicology, and experimental validations. Mixture modeling of 3,514 NHANES adults (2011-2018) demonstrated that combined phthalate exposure negatively correlated with skeletal muscle mass not only in aged but also in young populations. DBP metabolite monobutyl phthalate (MBP) emerged as the predominant toxic driver, mediated by inflammation and oxidative stress (Uric acid to High-density lipoprotein cholesterol Ratio, 20.8%). Phenotypically, in vitro/in vivo models showed that DBP exposure impairs myogenic differentiation, drives transition from oxidative-glycolytic type IIA fibers toward glycolytic type IIB fibers, and depletes regenerative Pax7+ satellite cells, accompanied by myofiber atrophy and lipid infiltration, mirroring environmentally-induced myosteatosis. Mechanistically, systems-level analyses and molecular docking suggest a predictive model wherein DBP/MBP could act as pseudo-ligands that dock into the active pocket of the primary trigger TNFα, which specifically upregulates TNFR1 (but not TNFR2), driving dual pathological axes: a proteostatic collapse (ubiquitin-proteasome overactivation and autophagy) and GSDMD-dependent pyroptosis. Pharmacological intervention with Morroniside successfully inhibited TNFα-driven dual axes, restoring homeostasis and alleviating DBP-induced atrophy. Ultimately, our findings expand the traditional paradigm of sarcopenia beyond age-related decline and nutritional deficits, establishing it additionally as an environmentally-driven metabolic pathology and a pressing public health risk. Furthermore, we redefine phthalate toxicity from generalized endocrine disruption to a targeted, receptor-mediated event driven by the TNFα/TNFR1 axis, culminating in environmental sarcopenia.",2026,"(""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX6""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""PAX9""[Title/Abstract] OR ""paired box""[Title/Abstract] OR ""paired-box""[Title/Abstract]) AND (stability[Title/Abstract] OR degradation[Title/Abstract] OR turnover[Title/Abstract] OR ""half-life""[Title/Abstract] OR ubiquitin*[Title/Abstract] OR proteasome[Title/Abstract] OR proteasomal[Title/Abstract] OR chaperone[Title/Abstract] OR folding[Title/Abstract] OR ""nuclear localization""[Title/Abstract] OR ""nuclear retention""[Title/Abstract] OR ""nuclear accumulation""[Title/Abstract] OR importin[Title/Abstract] OR exportin[Title/Abstract])",exclude,"Title/abstract does not show a mechanism regulating PAX8 or a PAX-family protein; likely marker, expression, disease, or unrelated mechanism context.",confirm_exclude,Confirmed: title/abstract does not provide PAX8 or PAX-family protein-level regulatory mechanism evidence in the requested classes.,high,stop
