paper_id,pmid,title,evidence_tier,evidence_type,directness,target_centrality,evidence_summary,supporting_text_locator,query_feedback_signal,review_confidence
pmid-42543051,42543051,Cost-effectiveness of inavolisib-based therapy in PIK3CA-mutated advanced breast cancer in the USA.,direct,bypass_or_feedback_resistance,direct_target,central,adaptive RTK/ERBB/IGF or bypass feedback; resistance/progression signal; sensitizing or synergistic combination signal; biomarker/genomic alteration signal; named PI3K-alpha inhibitor context.,"full_text near ""cost-effectiveness"": Cost-effectiveness of inavolisib-based therapy in PIK3CA-mutated advanced breast cancer in the USA 1 Introduction Breast cancer is the most common malignancy and the second cause of cancer-related death among women in the United States, with 313,510 new cases and 42,780 deaths in 2024 [ 1 ]. Hormon",none,high
pmid-42505223,42505223,"Evolving First-Line Endocrine Therapy in HR+/HER2- Metastatic Breast Cancer: CDK4/6 Inhibition, Biomarker-Guided Strategies and Emerging Therapeutic Paradigms.",direct,allosteric_or_mutant_selective,direct_target,central,adaptive RTK/ERBB/IGF or bypass feedback; resistance/progression signal; sensitizing or synergistic combination signal; biomarker/genomic alteration signal; named PI3K-alpha inhibitor context.,"full_text near ""endocrine therapy"": Evolving First-Line Endocrine Therapy in HR+/HER2− Metastatic Breast Cancer: CDK4/6 Inhibition, Biomarker-Guided Strategies and Emerging Therapeutic Paradigms 1. Introduction Metastatic breast cancer (MBC) remains a major cause of morbidity and mortality worldwide [ 1 ]. Hormone receptor-positive (HR+) disease, define",none,high
pmid-42471999,42471999,Dual targeting of PI3K and FGFR or CDK4/6 reveals synergistic responses in HPV-positive and HPV-negative oropharyngeal cancer spheroids.,direct,combination_sensitization,direct_target,central,resistance/progression signal; sensitizing or synergistic combination signal; biomarker/genomic alteration signal; named PI3K-alpha inhibitor context.,"full_text near ""cdk4/6"": Dual targeting of PI3K and FGFR or CDK4/6 reveals synergistic responses in HPV-positive and HPV-negative oropharyngeal cancer spheroids Introduction Human papillomavirus-positive (HPV + ) oropharyngeal squamous cell carcinoma (OPSCC), especially tonsillar and base-of-tongue cancer, its two major subsites, have increased in incidence",none,high
pmid-42357299,42357299,Synergistic Inhibition of Colorectal Cancer Growth by Combined PI3K and COX-2 Blockade in Cell Lines and Patient-Derived Organoids.,direct,bypass_or_feedback_resistance,direct_target,central,adaptive RTK/ERBB/IGF or bypass feedback; resistance/progression signal; sensitizing or synergistic combination signal; biomarker/genomic alteration signal; named PI3K-alpha inhibitor context.,"full_text near ""synergistic"": Synergistic Inhibition of Colorectal Cancer Growth by Combined PI3K and COX-2 Blockade in Cell Lines and Patient-Derived Organoids 1. Introduction PI3K/AKT/mTOR is a prominent pathway involved in the proliferation, metabolism, and survival of cells. There are three classes of phosphoinositide 3-kin",none,high
pmid-42351448,42351448,"Post-CDK4/6 Inhibitor Therapeutic Approaches in Hormone Receptor-Positive, HER2-Negative Metastatic Breast Cancer: Current Evidence and Emerging Strategies-A Narrative Review.",direct,allosteric_or_mutant_selective,direct_target,central,adaptive RTK/ERBB/IGF or bypass feedback; resistance/progression signal; sensitizing or synergistic combination signal; biomarker/genomic alteration signal; named PI3K-alpha inhibitor context.,"full_text near ""cdk4/6"": Post-CDK4/6 Inhibitor Therapeutic Approaches in Hormone Receptor-Positive, HER2-Negative Metastatic Breast Cancer: Current Evidence and Emerging Strategies—A Narrative Review 1. Introduction Hormone receptor-positive, human epidermal growth factor receptor 2-negative metastatic breast cancer (HR+/HER2−",none,high
pmid-42251335,42251335,Anti-NRP1 peptide-engineered ROS/pH dual-responsive nanoparticles for Alpelisib delivery regulate Sema3A-NRP1/PI3K-AKT signaling to balance oxidative stress and inhibit angiogenesis in endometriosis.,direct,combination_sensitization,direct_target,central,resistance/progression signal; sensitizing or synergistic combination signal; named PI3K-alpha inhibitor context.,"full_text near ""alpelisib"": Anti-NRP1 peptide-engineered ROS/pH dual-responsive nanoparticles for Alpelisib delivery regulate Sema3A-NRP1/PI3K-AKT signaling to balance oxidative stress and inhibit angiogenesis in endometriosis Introduction Endometriosis (EMS) is a common benign gynecological disorder with malignant tumor-like characteristics, defined by the ectopic growth of endometrial glands",none,high
pmid-42239750,42239750,A Novel Patient-Derived Xenograft Model of Inflammatory Breast Cancer.,direct,bypass_or_feedback_resistance,direct_target,central,adaptive RTK/ERBB/IGF or bypass feedback; resistance/progression signal; sensitizing or synergistic combination signal; biomarker/genomic alteration signal; named PI3K-alpha inhibitor context.,"full_text near ""her2"": s derived from a triple-negative IBC patient (lacking estrogen receptor, progesterone receptor, and HER2 protein expression), it does not model the biology of HER2-positive IBC. IBC is HER2 positive 40–60% of the time, considerably higher than the overall breast cancer population. Cell lines and animal models are the foundation of preclinical cancer research. These models provide evidence of effic",none,high
pmid-42226181,42226181,"In silico analysis of driver genes in squamous cell carcinoma of the cervix: insights into their biological functions, prognosis, immune infiltration, and therapy.",direct,bypass_or_feedback_resistance,direct_target,central,adaptive RTK/ERBB/IGF or bypass feedback; resistance/progression signal; sensitizing or synergistic combination signal; biomarker/genomic alteration signal; named PI3K-alpha inhibitor context.,"full_text near ""resistance"": s experiencing poor clinical outcomes, including lymph node metastasis, relapse, acquired treatment resistance, and reduced overall survival [ 7 ]. Thus, identifying molecular targets that may improve patient care is important. Infection with high-risk HPV and genetic changes have been shown to play crucial roles in cervical cancer [ 8 ]. Genome-wide studies in cervical cancer have indicated the o",none,high
pmid-42209458,42209458,Efficacy of dual KRAS(G12D)-EGFR blockade versus triple combinations in patient-derived models of KRAS(G12D)-mutant colorectal cancer.,direct,allosteric_or_mutant_selective,direct_target,central,adaptive RTK/ERBB/IGF or bypass feedback; resistance/progression signal; sensitizing or synergistic combination signal; biomarker/genomic alteration signal; named PI3K-alpha inhibitor context.,"full_text near ""mutant"": acy of dual KRASG12D–EGFR blockade versus triple combinations in patient-derived models of KRASG12D-mutant colorectal cancer Introduction RAS GTPases (KRAS, NRAS, and HRAS) are key molecular switches that transduce signals from growth factor receptors to intracellular pathways, promoting cellular growth and proliferation [ 1 , 2 ]. Mutations in RAS genes occur in approximately 20% of human cancer",none,high
pmid-42204977,42204977,(Phospho)proteomic Profiling Reveals Mutation-Specific Adaptive Signaling to PI3Kα Inhibition in PIK3CA Mutant Breast Epithelial Cells.,direct,allosteric_or_mutant_selective,direct_target,central,adaptive RTK/ERBB/IGF or bypass feedback; resistance/progression signal; sensitizing or synergistic combination signal; biomarker/genomic alteration signal; named PI3K-alpha inhibitor context.,"full_text near ""mutation"": (Phospho)proteomic Profiling Reveals Mutation-Specific Adaptive Signaling to PI3Kα Inhibition in PIK3CA Mutant Breast Epithelial Cells Introduction Phosphatidylinositol-3-kinase catalytic subunit alpha ( PIK3CA ) encodes the p110α catalytic subunit of PI3Kα, is an intracellular lipid kinase that plays a central role in mediating cell",none,high
