paper_id,pmid,pmcid,doi,title,normalized_source_type,normalized_path,fulltext_decision,fulltext_rationale,mechanistic_relevance,objective_relevance,topic_centrality,review_confidence
pmid-42505223,42505223,PMC13409238,10.3390/curroncol33070421,"Evolving First-Line Endocrine Therapy in HR+/HER2- Metastatic Breast Cancer: CDK4/6 Inhibition, Biomarker-Guided Strategies and Emerging Therapeutic Paradigms.",pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pi3k_alpha_inhibitor_resistance_sensitization_20260827/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13409238.json,keep,"Directly links named PI3K-alpha inhibitor evidence to response biology: alpelisib, inavolisib, resistance, resistant, acquired resistance, adaptive resistance, sensitivity, combination.",high,high,central,high
pmid-42471999,42471999,PMC13380164,10.1016/j.omton.2026.201283,Dual targeting of PI3K and FGFR or CDK4/6 reveals synergistic responses in HPV-positive and HPV-negative oropharyngeal cancer spheroids.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pi3k_alpha_inhibitor_resistance_sensitization_20260827/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13380164.json,keep,"Directly links named PI3K-alpha inhibitor evidence to response biology: alpelisib, byl719, resistant, sensitivity, sensitize, sensitizes, synergy, synergistic.",high,high,central,high
pmid-42445743,42445743,PMC13361340,10.2147/DDDT.S611371,Precision Endocrine-Based Combinations After CDK4/6 Inhibitor Progression in HR-Positive Metastatic Breast Cancer.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pi3k_alpha_inhibitor_resistance_sensitization_20260827/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13361340.json,keep,"Directly links named PI3K-alpha inhibitor evidence to response biology: alpelisib, resistance, resistant, acquired resistance, refractory, sensitivity, combination, adaptive.",high,high,central,high
pmid-42357299,42357299,PMC13305696,10.3390/pharmaceutics18060683,Synergistic Inhibition of Colorectal Cancer Growth by Combined PI3K and COX-2 Blockade in Cell Lines and Patient-Derived Organoids.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pi3k_alpha_inhibitor_resistance_sensitization_20260827/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13305696.json,keep,"Directly links named PI3K-alpha inhibitor evidence to response biology: alpelisib, inavolisib, resistance, sensitivity, synergy, synergistic, combination, feedback.",high,high,central,high
pmid-42351448,42351448,PMC13298351,10.3390/diagnostics16121790,"Post-CDK4/6 Inhibitor Therapeutic Approaches in Hormone Receptor-Positive, HER2-Negative Metastatic Breast Cancer: Current Evidence and Emerging Strategies-A Narrative Review.",pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pi3k_alpha_inhibitor_resistance_sensitization_20260827/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13298351.json,keep,"Directly links named PI3K-alpha inhibitor evidence to response biology: alpelisib, inavolisib, rly-2608, resistance, resistant, refractory, sensitivity, combination.",high,high,central,high
pmid-42251335,42251335,PMC13471664,10.1186/s12951-026-04560-6,Anti-NRP1 peptide-engineered ROS/pH dual-responsive nanoparticles for Alpelisib delivery regulate Sema3A-NRP1/PI3K-AKT signaling to balance oxidative stress and inhibit angiogenesis in endometriosis.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pi3k_alpha_inhibitor_resistance_sensitization_20260827/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13471664.json,keep,"Directly links named PI3K-alpha inhibitor evidence to response biology: alpelisib, resistance, refractory, sensitivity, synergy, synergistic, combination, egfr.",high,high,central,high
pmid-42239750,42239750,PMC13228831,10.21203/rs.3.rs-9372889/v1,A Novel Patient-Derived Xenograft Model of Inflammatory Breast Cancer.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pi3k_alpha_inhibitor_resistance_sensitization_20260827/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13228831.json,keep,"Directly links named PI3K-alpha inhibitor evidence to response biology: alpelisib, resistance, resistant, adaptive resistance, refractory, sensitivity, combination, adaptive.",high,high,central,high
pmid-42226181,42226181,PMC13435706,10.1186/s12957-026-04435-y,"In silico analysis of driver genes in squamous cell carcinoma of the cervix: insights into their biological functions, prognosis, immune infiltration, and therapy.",pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pi3k_alpha_inhibitor_resistance_sensitization_20260827/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13435706.json,keep,"Directly links named PI3K-alpha inhibitor evidence to response biology: alpelisib, resistance, resistant, sensitivity, mapk, her2, erbb, egfr.",high,high,central,high
pmid-42209458,42209458,PMC13402710,10.1038/s41419-026-08900-0,Efficacy of dual KRAS(G12D)-EGFR blockade versus triple combinations in patient-derived models of KRAS(G12D)-mutant colorectal cancer.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pi3k_alpha_inhibitor_resistance_sensitization_20260827/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13402710.json,keep,"Directly links named PI3K-alpha inhibitor evidence to response biology: alpelisib, resistance, resistant, refractory, sensitivity, synergy, synergistic, combination.",high,high,central,high
pmid-42204977,42204977,PMC13339826,10.1021/acs.jproteome.5c00907,(Phospho)proteomic Profiling Reveals Mutation-Specific Adaptive Signaling to PI3Kα Inhibition in PIK3CA Mutant Breast Epithelial Cells.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pi3k_alpha_inhibitor_resistance_sensitization_20260827/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13339826.json,keep,"Directly links named PI3K-alpha inhibitor evidence to response biology: alpelisib, resistance, adaptive resistance, refractory, sensitivity, sensitization, synergy, combination.",high,high,central,high
pmid-42194689,42194689,PMC13207896,10.3390/jcm15103715,"Molecular Profiling and Targeted Therapeutic Strategies in Breast Cancer: Clinical Integration of HER2, CDK4/6, and PI3K Inhibition with Trastuzumab, Abemaciclib and Alpelisib.",pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pi3k_alpha_inhibitor_resistance_sensitization_20260827/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13207896.json,keep,"Directly links named PI3K-alpha inhibitor evidence to response biology: alpelisib, resistance, resistant, acquired resistance, adaptive resistance, refractory, sensitivity, synergy.",high,high,central,high
