paper_id,pmid,pmcid,doi,title,year,final_decision,final_rationale,selection_basis,fulltext_access_status,normalized_source_type,normalized_path,review_confidence
pmid-42618991,42618991,PMC13490627,10.1002/cmdc.70452,Ligand‑Based Virtual Screening Discovery of Thienopyrimidinone Derivatives as Allosteric nSMase2 Modulators and Antivirals Against West Nile Virus.,2026,selected_for_reading,"Full text contains useful host-pathogen assay or pathway evidence, but the primary-virus mechanism is less central than in direct papers.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13490627.json,medium
pmid-42582102,42582102,PMC13457065,10.3389/fimmu.2026.1852583,Immune cells harbor their own microbiome-derived metabolome: a new layer of immunometabolic regulation.,2026,selected_for_reading,"Full text contains useful host-pathogen assay or pathway evidence, but the primary-virus mechanism is less central than in direct papers.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13457065.json,medium
pmid-42557952,42557952,PMC13444662,10.1002/jmv.71086,In-Vitro Evaluation of HIV/SARS-CoV-2 Co-Infection Mediated Proteomic Changes in Astrocytes and Pericytes Reveals Altered Signaling Pathways Associated With Neurodegenerative Disorders.,2026,selected_for_reading,"Full text centers a primary virus and provides assay-supported host interaction, host factor, or pathway mechanism evidence.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13444662.json,high
pmid-42538555,42538555,PMC13428414,10.1186/s12879-026-14111-x,A multicenter prospective observational multi-omics study protocol to identify biomarkers for severe dengue: COMBAT study clinical protocol.,2026,selected_for_reading,"Full text centers a primary virus and provides assay-supported host interaction, host factor, or pathway mechanism evidence.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13428414.json,high
pmid-42515605,42515605,PMC13431474,10.3390/v18070753,MicroRNAs Regulated by Pregnancy Target Antiviral and Cancer Immunity Overlapping with the HIV Interactome.,2026,selected_for_reading,"Full text centers a primary virus and provides assay-supported host interaction, host factor, or pathway mechanism evidence.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13431474.json,high
pmid-42515039,42515039,PMC13416049,10.3390/pathogens15070713,Omics-Level Approaches to Studying Gammaherpesvirus Infection.,2026,selected_for_reading,"Full text contains useful host-pathogen assay or pathway evidence, but the primary-virus mechanism is less central than in direct papers.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13416049.json,medium
pmid-42507754,42507754,PMC13405069,10.1371/journal.ppat.1014400,VRK3 promotes KSHV infection by suppressing the antiviral type I interferon response.,2026,selected_for_reading,"Full text centers a primary virus and provides assay-supported host interaction, host factor, or pathway mechanism evidence.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13405069.json,high
pmid-42495535,42495535,PMC13393711,10.1016/j.isci.2026.116865,Antiretroviral regimen and sex-specific metabolic heterogeneity in pediatric HIV.,2026,selected_for_reading,Full text links a primary virus to a host factor or host pathway mechanism.,fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13393711.json,medium
pmid-42494850,42494850,PMC13392929,10.3389/fcimb.2026.1899950,Host protein cleavage by Dengue and Zika virus NS3 proteases: from substrate identification to potential biological consequences.,2026,selected_for_reading,"Full text centers a primary virus and provides assay-supported host interaction, host factor, or pathway mechanism evidence.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13392929.json,high
pmid-42483197,42483197,PMC13384927,10.3389/fimmu.2026.1871641,Proteomic profiling of single extracellular vesicles reveals association of CD31(+) EV subpopulation with immune dysregulation in people living with HIV.,2026,selected_for_reading,"Full text centers a primary virus and provides assay-supported host interaction, host factor, or pathway mechanism evidence.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13384927.json,high
