paper_id,pmid,doi,title,abstract,publication_types,year,source_query,review_decision,review_rationale,review_confidence,topic_match_type,reviewer_type,review_frame_role,prescreen_hint,prescreen_rationale,prescreen_overlap_terms
pmid-42663228,42663228,10.31557/APJCP.2026.27.8.3063,Integrated Analysis of the STING1-IRF1 Signaling Pathway and Genomic Alterations in Breast Cancer: Implications for Immune Evasion and Patient Prognosis.,"BACKGROUND: The STING1-IRF1 axis plays a crucial role in sensing innate immunity within the tumor microenvironment. However, the genomic landscape of this axis and its clinical implications in breast cancer still require a deeper understanding, more comprehensive explanation, and greater detail. METHODS: This study adopted a multi-cohort integrated analytical approach. Gene expression and clinical survival data were retrieved from the GEO database under the serial number GSE42568, while somatic mutation data were obtained from the TCGA-BRCA database. A comprehensive bioinformatics analysis was performed, including survival analysis (Kaplan-Meier), differential gene expression analysis (volcano plots), and genomic mutation characterization (Oncoprint), using the R programming language and suitable packages. RESULTS: The results in cohort GSE42568 showed high expression of the STING1-IRF1 axis it is associated with a positive trend towards improved survival rates. Transcriptional analysis also revealed a decrease in the expression of HLA-B and HLA-C genes, immunotropic chemokines (CXCL9, CXCL 10) in tumors with low STING1 expression this suggests a ""cold"" immune pattern. Conversely parallel genomic analysis of the TCGA cohort has identified high frequency of mutations in the MAP3K1 (56%) and PIK3CA (53%), TP53 (46%) genes in addition to mutations in STING1which was directly linked to a disruption in tumor signaling pathways particularly in cell cycle pathways and TP53 and PIK3CA this contributes to strengthening immune escape mechanisms. CONCLUSION: Our results indicate that the STING1-IRF1 axis is a prognostic biomarker for predicting the course of the disease, targeting this pathway may help overcome immune evasion resulting from specific genomic changes in breast cancer patients.",Journal Article,2026,"((alpelisib[Title/Abstract] OR inavolisib[Title/Abstract] OR GDC-0077[Title/Abstract] OR STX478[Title/Abstract] OR ""STX-478""[Title/Abstract] OR RLY2608[Title/Abstract] OR ""RLY-2608""[Title/Abstract] OR PIK3CA[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract]) AND (""clinical trial""[Publication Type] OR trial[Title/Abstract] OR phase[Title/Abstract] OR randomized[Title/Abstract] OR cohort[Title/Abstract]) AND (response[Title/Abstract] OR progression[Title/Abstract] OR ""progression-free survival""[Title/Abstract] OR ""objective response""[Title/Abstract] OR benefit[Title/Abstract] OR failure[Title/Abstract] OR biomarker*[Title/Abstract] OR combination[Title/Abstract]))",exclude,Matches run-specific exclusion or deferred-context terms without enough primary objective evidence.,medium,background_only,agent,none,,,
pmid-42658660,42658660,10.1093/oncolo/oyag344,"Osimertinib plus anlotinib in untreated, EGFR-mutated, advanced non-small-cell lung cancer with concurrent alterations: a multicenter phase II study.","BACKGROUND: The standard first-line treatment for advanced EGFR-mutated non-small cell lung cancer (NSCLC) is EGFR tyrosine kinase inhibitors. However, concurrent mutations facilitate resistance evolution in EGFR-mutant lung adenocarcinoma and combination therapies may offer a superior approach. This study explores the efficacy and safety of osimertinib plus anlotinib as first-line treatment for advanced NSCLC with EGFR co-mutations. MATERIALS AND METHODS: This study prospectively enrolled patients with advanced NSCLC harboring EGFR (19Del/21L858R) mutations and ≥1 mutation in TP53, PIK3CA, or RB1, who had not undergone systemic treatment. Kaplan-Meier survival analysis tested the differences among patients with different concurrent mutations. ctDNA test was administered before and after treatment and its correlation with efficacy. RESULTS: A total of 38 patients were enrolled, with co-mutations in TP53 (76.3%), PIK3CA (26.3%), and RB1 (2.6%). With a median follow-up of 25.6 months, the median progression-free survival (PFS) was 29.0 months (95% CI,18.6-NR), and 1-year PFS rate was 85% (95% CI, 70.4-94.5%). Objective response rate was 73.7% (95% CI, 56.9-86.3%), and disease control rate was 97.4% (95% CI, 85.8-99.9%). Adverse events of any grade occurred in all patients. Seven (18.4%) patients experienced grade 3 treatment-related adverse events (TRAEs), with no grade 4 TRAEs or treatment-related deaths. CONCLUSION: Osimertinib plus anlotinib shows promising efficacy and manageable toxicity as first-line treatment for advanced NSCLC with EGFR co-mutations (ChiCTR2300070023). CLINICAL TRIAL REGISTRATION: This study was registered in the Chinese Clinical Trial Registry (ChiCTR) under the registration number ChiCTR2300070023 on March 31, 2023 (https://www.chictr.org.cn).",Journal Article,2026,"((""PI3K alpha""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR PI3Kalpha[Title/Abstract] OR PIK3CA[Title/Abstract] OR ""p110 alpha""[Title/Abstract] OR p110alpha[Title/Abstract]) AND (inhibitor*[Title/Abstract] OR inhibition[Title/Abstract] OR targeted[Title/Abstract] OR therapy[Title/Abstract]) AND (resistan*[Title/Abstract] OR refractory[Title/Abstract] OR ""non-response""[Title/Abstract] OR nonresponse[Title/Abstract] OR progression[Title/Abstract] OR relapse[Title/Abstract] OR ""loss of sensitivity""[Title/Abstract] OR bypass[Title/Abstract] OR adaptive[Title/Abstract]) AND (cancer[Title/Abstract] OR tumor[Title/Abstract] OR tumour[Title/Abstract] OR carcinoma[Title/Abstract] OR neoplasm*[Title/Abstract])); ((alpelisib[Title/Abstract] OR inavolisib[Title/Abstract] OR GDC-0077[Title/Abstract] OR STX478[Title/Abstract] OR ""STX-478""[Title/Abstract] OR RLY2608[Title/Abstract] OR ""RLY-2608""[Title/Abstract] OR PIK3CA[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract]) AND (""clinical trial""[Publication Type] OR trial[Title/Abstract] OR phase[Title/Abstract] OR randomized[Title/Abstract] OR cohort[Title/Abstract]) AND (response[Title/Abstract] OR progression[Title/Abstract] OR ""progression-free survival""[Title/Abstract] OR ""objective response""[Title/Abstract] OR benefit[Title/Abstract] OR failure[Title/Abstract] OR biomarker*[Title/Abstract] OR combination[Title/Abstract])); ((""PI3K alpha""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR PIK3CA[Title/Abstract] OR alpelisib[Title/Abstract] OR inavolisib[Title/Abstract] OR GDC-0077[Title/Abstract] OR STX478[Title/Abstract] OR ""STX-478""[Title/Abstract] OR RLY2608[Title/Abstract] OR ""RLY-2608""[Title/Abstract]) AND (combination[Title/Abstract] OR combined[Title/Abstract] OR ""dual inhibition""[Title/Abstract] OR ""overcome resistance""[Title/Abstract] OR ""restore sensitivity""[Title/Abstract] OR rechallenge[Title/Abstract]) AND (resistan*[Title/Abstract] OR progression[Title/Abstract] OR response[Title/Abstract] OR sensitivity[Title/Abstract] OR adaptive[Title/Abstract] OR bypass[Title/Abstract]))",exclude,Matches run-specific exclusion or deferred-context terms without enough primary objective evidence.,medium,background_only,agent,none,,,
pmid-42653655,42653655,10.3390/ph19081154,Thymoquinone Potentiates Docetaxel-Induced Antitumor Activity with the Involvement of ROS and PI3K/AKT Pathway Modulation in Triple-Negative Breast Cancer Cells.,"Background: Drug resistance and treatment-associated toxicity remain major limitations of conventional chemotherapy for triple-negative breast cancer (TNBC). Thymoquinone (TQ), a bioactive phytochemical derived from Nigella sativa, has demonstrated anticancer properties and may enhance the therapeutic efficacy of docetaxel (DTX) through complementary molecular mechanisms. Objective: To investigate whether TQ potentiates the antitumor activity of DTX in MDA-MB-231 TNBC cells by affecting apoptosis, oxidative stress, wound closure, and PI3K/AKT pathway-related gene expression. Methods: MDA-MB-231 TNBC cells and HaCaT keratinocytes were treated with TQ, DTX, or their combination. Cell viability was determined using the MTT assay, and drug interactions were evaluated by the Chou-Talalay combination index (CI) method. Apoptosis, intracellular reactive oxygen species (ROS) production, ROS rescue experiments using N-acetyl-L-cysteine (NAC), caspase-9 expression, wound closure, and gene-expression changes were assessed using Annexin V/PI flow cytometry, DCFH-DA-based flow cytometric and fluorescence analyses, immunocytochemistry, wound-healing assay, and quantitative real-time PCR (qRT-PCR), respectively. Bioinformatic analyses were performed to identify signaling pathways associated with the observed molecular alterations. Results: The TQ + DTX combination demonstrated synergistic cytotoxicity and significantly increased apoptotic cell death compared with either monotherapy. Combination treatment markedly enhanced intracellular ROS accumulation, whereas NAC pretreatment significantly attenuated ROS generation and partially reversed the cytotoxic and pro-apoptotic effects, suggesting the involvement of ROS in the observed antitumor effects. Caspase-9 immunoreactivity was markedly increased following combination treatment, suggesting the involvement of the intrinsic apoptotic pathway. Furthermore, the combination significantly suppressed wound closure and downregulated BCL2, PIK3CA, and AKT1 while upregulating BAX, CASP9, and PTEN. Bioinformatic analyses identified apoptosis, p53, PI3K/AKT, mTOR, and MAPK signaling as the principal pathways potentially associated with the observed gene expression changes. Conclusions: TQ potentiates the antitumor activity of DTX, with the involvement of oxidative stress, apoptotic signaling, suppression of wound closure, and regulation of PI3K/AKT pathway-related gene expression in TNBC cells. These findings provide evidence supporting further preclinical investigation of the TQ + DTX combination as a promising therapeutic strategy for triple-negative breast cancer.",Journal Article,2026,"((""PI3K alpha""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR PIK3CA[Title/Abstract] OR alpelisib[Title/Abstract] OR inavolisib[Title/Abstract] OR GDC-0077[Title/Abstract] OR STX478[Title/Abstract] OR ""STX-478""[Title/Abstract] OR RLY2608[Title/Abstract] OR ""RLY-2608""[Title/Abstract]) AND (combination[Title/Abstract] OR combined[Title/Abstract] OR ""dual inhibition""[Title/Abstract] OR ""overcome resistance""[Title/Abstract] OR ""restore sensitivity""[Title/Abstract] OR rechallenge[Title/Abstract]) AND (resistan*[Title/Abstract] OR progression[Title/Abstract] OR response[Title/Abstract] OR sensitivity[Title/Abstract] OR adaptive[Title/Abstract] OR bypass[Title/Abstract]))",include,"Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms.",high,direct,agent,none,,,
pmid-42649916,42649916,10.3390/cancers18162602,Deciphering the Molecular Landscape of Squamous Cell Carcinoma of the Anal Canal: From Biology to Precision Oncology.,"Squamous cell carcinoma of the anal canal (SCAC) is a rare malignancy whose incidence has been steadily increasing worldwide. Persistent infection with high-risk human papillomavirus (HPV), particularly HPV16 and HPV18 genotypes, is the main etiological factor and plays a central role in tumor development. While combined chemoradiotherapy remains the standard treatment for localized disease and achieves high rates of tumor control, a considerable proportion of patients experience recurrence or present with advanced disease. For the latter, therapeutic options remain limited. Over the last decade, advances in genomic profiling have significantly expanded our understanding of SCAC biology. Recurrent alterations affecting the PI3K/AKT/mTOR pathway, especially PIK3CA mutations, have emerged as the most common molecular events, particularly in HPV-positive tumors. Additional alterations involve receptor tyrosine kinase signaling, chromatin remodeling genes, DNA damage response pathways, and components of the MAPK cascade. Moreover, HPV-positive and HPV-negative tumors display distinct molecular features with important prognostic implications. Immunotherapy has recently become an important component of treatment for advanced SCAC, although reliable predictive biomarkers are still lacking. This review summarizes the current evidence on the molecular landscape of SCAC, discusses emerging prognostic and predictive biomarkers, and highlights potential opportunities for the development of more personalized therapeutic strategies.",Journal Article;Review,2026,"((""PI3K alpha""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR PIK3CA[Title/Abstract] OR alpelisib[Title/Abstract] OR inavolisib[Title/Abstract] OR GDC-0077[Title/Abstract] OR STX478[Title/Abstract] OR ""STX-478""[Title/Abstract] OR RLY2608[Title/Abstract] OR ""RLY-2608""[Title/Abstract]) AND (combination[Title/Abstract] OR combined[Title/Abstract] OR ""dual inhibition""[Title/Abstract] OR ""overcome resistance""[Title/Abstract] OR ""restore sensitivity""[Title/Abstract] OR rechallenge[Title/Abstract]) AND (resistan*[Title/Abstract] OR progression[Title/Abstract] OR response[Title/Abstract] OR sensitivity[Title/Abstract] OR adaptive[Title/Abstract] OR bypass[Title/Abstract]))",exclude,Matches run-specific exclusion or deferred-context terms without enough primary objective evidence.,medium,background_only,agent,none,,,
pmid-42640608,42640608,10.1080/1354750X.2026.2715050,"Integrated molecular, epigenetic, microbial and liquid biopsy biomarkers in colorectal cancer: implications for prognosis and precision therapy.","BACKGROUND: Colorectal cancer (CRC) is a biologically diverse malignancy driven by a complex interplay of genetic mutations, epigenetic changes, tumour microenvironmental factors and host-microbial interactions. Foundational molecular events including APC-associated Wnt/β-catenin dysregulation, TP53 inactivation, KRAS and BRAF mutations and aberrant PI3K/AKT signalling due to PIK3CA and PTEN alterations, contribute significantly to disease initiation, progression and therapeutic resistance. Microsatellite instability (MSI), arising from defective DNA mismatch repair, defines a distinct subset of CRC with characteristic biological and therapeutic behaviour. OBJECTIVE: This review critically evaluates established and emerging molecular biomarkers for CRC, highlighting their mechanistic significance and translational relevance in the evolving precision oncology landscape. METHODS: A comprehensive narrative evaluation of the literature was conducted, focusing on pathways regulating oncogenes, regulatory microRNAs, gut microbiota dysbiosis and liquid biopsy approaches, particularly circulating tumour cells (CTCs) and circulating free DNA (cfDNA). RESULTS: Core molecular alterations remain central to CRC pathogenesis and influence treatment responsiveness. Increasing evidence also supports the role of microRNA dysregulation and microbiome imbalance in modulating tumour progression and immune escape. Liquid biopsy technologies offer minimally invasive, real-time assessment of tumour development. DISCUSSION: An integrated understanding of molecular drivers and emerging biomarker platforms is essential for advancing personalized CRC management.",Journal Article;Review,2026,"((""PI3K alpha""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR PI3Kalpha[Title/Abstract] OR PIK3CA[Title/Abstract] OR ""p110 alpha""[Title/Abstract] OR p110alpha[Title/Abstract]) AND (inhibitor*[Title/Abstract] OR inhibition[Title/Abstract] OR targeted[Title/Abstract] OR therapy[Title/Abstract]) AND (resistan*[Title/Abstract] OR refractory[Title/Abstract] OR ""non-response""[Title/Abstract] OR nonresponse[Title/Abstract] OR progression[Title/Abstract] OR relapse[Title/Abstract] OR ""loss of sensitivity""[Title/Abstract] OR bypass[Title/Abstract] OR adaptive[Title/Abstract]) AND (cancer[Title/Abstract] OR tumor[Title/Abstract] OR tumour[Title/Abstract] OR carcinoma[Title/Abstract] OR neoplasm*[Title/Abstract]))",include,"Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms.",high,direct,agent,none,,,
pmid-42635598,42635598,10.1158/1078-0432.CCR-26-1816,"Elacestrant in Combination with Everolimus for Estrogen Receptor-Positive, HER2-Negative Previously Treated Advanced Breast Cancer: Results from ELEVATE.","PURPOSE: Treatment options for progression on first-line endocrine therapy (ET)+CDK4/6i for ER-positive/HER2-negative (ER+/HER2-) advanced breast cancer (ABC) include ET plus targeted agents (CDK4/6i or PI3K/AKT/mTOR-pathway inhibitors). Elacestrant is the first single-agent oral SERD that significantly improved progression-free survival (PFS) versus standard-of-care ET in ESR1-mutated and overall ER+/HER2- ABC populations. PATIENTS AND METHODS: This phase 1b/2, umbrella trial enrolled patients with ER+/HER2- ABC who received 1-2 lines of ET+CDK4/6i (including prior fulvestrant and primary endocrine resistance) and no prior chemotherapy for ABC. Patients received elacestrant with everolimus, alpelisib, capivasertib, abemaciclib, ribociclib, or palbociclib. We evaluated PFS of elacestrant plus everolimus. RESULTS: In phase 1b (n=23), the optimal RP2D was determined as elacestrant 345 mg plus everolimus 7.5 mg. The phase 2 patient population (n=50) included: 100% prior CDK4/6i, 50% prior fulvestrant, 72% visceral metastasis, 20% primary endocrine resistance, 42% ESR1mut, 50% PIK3CAmut. Median PFS was 8.3 months (95% CI:4.0-10.2) in all patients; 8.3 months (95% CI:3.5-12.9) in ESR1mut, 9.0 months (95% CI:4.2-12.7) in ESR1wt, 8.3 months (95% CI:3.6-10.2) in PIK3CAmut, and 9.4 months (95% CI:4.0-NR) in PIK3CAwt. Adverse events (AEs) were consistent with known safety of everolimus plus SOC ET. Most common AEs were grade 1-2. Any AE leading to drug withdrawal or dose reduction was 6% and 2%, respectively. CONCLUSIONS: Elacestrant plus everolimus showed a clinically meaningful PFS benefit across clinical/genomic subgroups, irrespective of ESR1 or PIK3CA-mutation status. Elacestrant has the potential to become an ET backbone for combinations to inhibit the PI3K/AKT/mTOR-pathway with everolimus as a promising all-oral treatment.",Journal Article,2026,"((""PI3K alpha""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR PI3Kalpha[Title/Abstract] OR PIK3CA[Title/Abstract] OR ""p110 alpha""[Title/Abstract] OR p110alpha[Title/Abstract]) AND (inhibitor*[Title/Abstract] OR inhibition[Title/Abstract] OR targeted[Title/Abstract] OR therapy[Title/Abstract]) AND (resistan*[Title/Abstract] OR refractory[Title/Abstract] OR ""non-response""[Title/Abstract] OR nonresponse[Title/Abstract] OR progression[Title/Abstract] OR relapse[Title/Abstract] OR ""loss of sensitivity""[Title/Abstract] OR bypass[Title/Abstract] OR adaptive[Title/Abstract]) AND (cancer[Title/Abstract] OR tumor[Title/Abstract] OR tumour[Title/Abstract] OR carcinoma[Title/Abstract] OR neoplasm*[Title/Abstract])); ((alpelisib[Title/Abstract] OR inavolisib[Title/Abstract] OR GDC-0077[Title/Abstract] OR STX478[Title/Abstract] OR ""STX-478""[Title/Abstract] OR RLY2608[Title/Abstract] OR ""RLY-2608""[Title/Abstract] OR ""PI3K alpha inhibitor""[Title/Abstract] OR ""PI3K-alpha inhibitor""[Title/Abstract]) AND (resistan*[Title/Abstract] OR refractory[Title/Abstract] OR progression[Title/Abstract] OR relapse[Title/Abstract] OR sensitivity[Title/Abstract] OR response[Title/Abstract] OR biomarker*[Title/Abstract] OR bypass[Title/Abstract] OR adaptive[Title/Abstract])); ((alpelisib[Title/Abstract] OR inavolisib[Title/Abstract] OR GDC-0077[Title/Abstract] OR STX478[Title/Abstract] OR ""STX-478""[Title/Abstract] OR RLY2608[Title/Abstract] OR ""RLY-2608""[Title/Abstract] OR PIK3CA[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract]) AND (""clinical trial""[Publication Type] OR trial[Title/Abstract] OR phase[Title/Abstract] OR randomized[Title/Abstract] OR cohort[Title/Abstract]) AND (response[Title/Abstract] OR progression[Title/Abstract] OR ""progression-free survival""[Title/Abstract] OR ""objective response""[Title/Abstract] OR benefit[Title/Abstract] OR failure[Title/Abstract] OR biomarker*[Title/Abstract] OR combination[Title/Abstract])); ((""PI3K alpha""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR PIK3CA[Title/Abstract] OR alpelisib[Title/Abstract] OR inavolisib[Title/Abstract] OR GDC-0077[Title/Abstract] OR STX478[Title/Abstract] OR ""STX-478""[Title/Abstract] OR RLY2608[Title/Abstract] OR ""RLY-2608""[Title/Abstract]) AND (combination[Title/Abstract] OR combined[Title/Abstract] OR ""dual inhibition""[Title/Abstract] OR ""overcome resistance""[Title/Abstract] OR ""restore sensitivity""[Title/Abstract] OR rechallenge[Title/Abstract]) AND (resistan*[Title/Abstract] OR progression[Title/Abstract] OR response[Title/Abstract] OR sensitivity[Title/Abstract] OR adaptive[Title/Abstract] OR bypass[Title/Abstract]))",include,"Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms.",high,direct,agent,none,,,
pmid-42634346,42634346,10.2174/0113816128447649260727055109,Efficacy and Mechanisms of Yuye Decoction for Diabetic Nephropathy: A Meta-Analysis and In Silico Study.,"INTRODUCTION: Yuye decoction (YYD), a traditional Chinese medicinal formula, has the potential to improve renal function and alleviate symptoms in diabetic nephropathy (DN). This study aimed to evaluate the potential clinical effects and explore the pharmacological mechanisms of YYD in DN using meta-analysis and in silico approaches. METHODS: We conducted a systematic review of randomized controlled trials (RCTs) on YYD for treating DN, searching databases including China National Knowledge Infrastructure (CNKI), SinoMed, Wanfang Data, VIP, PubMed, Embase, Cochrane Library, Web of Science, and Google Scholar, with a cutoff date of June 2025. Eligible RCTs compared YYD combined with standard Western treatment with Western treatment alone. The primary outcome was renal function improvement, while secondary outcomes included overall clinical efficacy, glycemic control, and adverse events. Network pharmacology and molecular dynamics simulations were conducted to explore potential mechanisms. RESULTS: Thirteen RCTs involving 961 patients were included. Compared with conventional treatment alone, YYD combination therapy was associated with reductions in serum creatinine (WMD = -11.64, 95% CI [-19.04, -4.24]), blood urea nitrogen (WMD = -0.59, 95% CI [-0.93, -0.25]), and 24-hour urinary protein excretion (MD = -39.59, 95% CI [-62.07, -17.11]). An increased overall clinical efficacy rate was observed as a secondary outcome (RR = 1.43, 95% CI [1.31, 1.56]). Network pharmacology suggested that YYD may modulate inflammation-, metabolism-, and fibrosis-related pathways via targets such as SRC, PIK3R1, and PIK3CA. Molecular dynamics simulations indicated stable binding between Bifendate and SRC kinase. DISCUSSION: These findings suggest that YYD may exert renoprotective effects through multi-target and multi-pathway mechanisms, particularly involving inflammatory regulation, metabolic processes, and fibrosis inhibition. However, the included studies showed variability in methodological quality and sample size, which may affect the robustness of the conclusions. Furthermore, the in silico results require experimental validation to confirm their biological relevance. CONCLUSION: YYD combined with conventional therapy may improve renal function in patients with DN. Nevertheless, the overall certainty of the evidence remains limited, and further large-scale, high-quality randomized trials and mechanistic studies are warranted.",Journal Article;Meta-Analysis,2026,"((alpelisib[Title/Abstract] OR inavolisib[Title/Abstract] OR GDC-0077[Title/Abstract] OR STX478[Title/Abstract] OR ""STX-478""[Title/Abstract] OR RLY2608[Title/Abstract] OR ""RLY-2608""[Title/Abstract] OR PIK3CA[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract]) AND (""clinical trial""[Publication Type] OR trial[Title/Abstract] OR phase[Title/Abstract] OR randomized[Title/Abstract] OR cohort[Title/Abstract]) AND (response[Title/Abstract] OR progression[Title/Abstract] OR ""progression-free survival""[Title/Abstract] OR ""objective response""[Title/Abstract] OR benefit[Title/Abstract] OR failure[Title/Abstract] OR biomarker*[Title/Abstract] OR combination[Title/Abstract]))",exclude,Matches run-specific exclusion or deferred-context terms without enough primary objective evidence.,medium,background_only,agent,none,,,
pmid-42630178,42630178,10.3389/fonc.2026.1888745,Prevalence and clinical impact of PIK3CA and PTEN alterations from reflex genomic testing of newly diagnosed colorectal cancer: a population-based series.,"BACKGROUND: Results from the Adjuvant Low dose Aspirin in Colorectal Cancer (ALASCCA) clinical trial demonstrate a survival benefit associated with aspirin use in patients with non-metastatic colorectal cancer (CRC) harbouring phosphoinositide 3-kinase (PI3K) pathway alterations. Identification of patients in routine clinical care is required for implementation of this therapeutic approach. A real-world analysis of reflex diagnostic testing was performed to assess prevalence of PI3KCA and PTEN gene alterations and potential clinical impact. METHODS: Next generation sequencing panel testing of all newly diagnosed CRC as part of a Lynch screening service began in the Northern Ireland Cancer Network in 2022. Profiling, using a capture hybridisation assay and custom Small Cancer Panel covers all coding regions of PTEN and PIK3CA with a limit of detection of 4% variant allele frequency (VAF). RESULTS: 1516 CRC patients underwent genomic profiling at the point of diagnosis from January 2024-March 2025. Across all CRC stages, 170 patients (11.2%) had tumours harbouring PIK3CA mutations with the majority occurring in exon 9 and 20. A further 51 of 1516 tumours (3.4%) demonstrated PTEN mutations. Of 221 patients with PIK3CA/PTEN alterations, 174 (79%) had non-metastatic CRC, of whom 6 (3.4%) had an absolute contraindication to aspirin use. Overall, 168 (11.1%) of 1516 patients in this cohort were therefore identified by this reflex testing pathway as potentially eligible for treatment. CONCLUSIONS: Prevalence of PIK3CA and PTEN alterations in this series (14.6%) was lower than in the ALASCCA trial (37%) but these results represent a real-world rather than a highly selected trial population. Regardless, our findings support implementing testing for use of a safe, inexpensive repurposed drug and underscore the importance of upfront testing for timely treatment decision-making and implementation of trial findings into routine practice.",Journal Article,2026,"((alpelisib[Title/Abstract] OR inavolisib[Title/Abstract] OR GDC-0077[Title/Abstract] OR STX478[Title/Abstract] OR ""STX-478""[Title/Abstract] OR RLY2608[Title/Abstract] OR ""RLY-2608""[Title/Abstract] OR PIK3CA[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract]) AND (""clinical trial""[Publication Type] OR trial[Title/Abstract] OR phase[Title/Abstract] OR randomized[Title/Abstract] OR cohort[Title/Abstract]) AND (response[Title/Abstract] OR progression[Title/Abstract] OR ""progression-free survival""[Title/Abstract] OR ""objective response""[Title/Abstract] OR benefit[Title/Abstract] OR failure[Title/Abstract] OR biomarker*[Title/Abstract] OR combination[Title/Abstract]))",exclude,Matches run-specific exclusion or deferred-context terms without enough primary objective evidence.,medium,background_only,agent,none,,,
pmid-42624799,42624799,10.1097/CM9.0000000000004271,PIK3CA in the transformation of EGFR‑mutant lung adenocarcinoma to small cell lung cancer following acquired targeted therapy resistance.,,Journal Article,2026,"((""PI3K alpha""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR PI3Kalpha[Title/Abstract] OR PIK3CA[Title/Abstract] OR ""p110 alpha""[Title/Abstract] OR p110alpha[Title/Abstract]) AND (inhibitor*[Title/Abstract] OR inhibition[Title/Abstract] OR targeted[Title/Abstract] OR therapy[Title/Abstract]) AND (resistan*[Title/Abstract] OR refractory[Title/Abstract] OR ""non-response""[Title/Abstract] OR nonresponse[Title/Abstract] OR progression[Title/Abstract] OR relapse[Title/Abstract] OR ""loss of sensitivity""[Title/Abstract] OR bypass[Title/Abstract] OR adaptive[Title/Abstract]) AND (cancer[Title/Abstract] OR tumor[Title/Abstract] OR tumour[Title/Abstract] OR carcinoma[Title/Abstract] OR neoplasm*[Title/Abstract]))",exclude,Matches run-specific exclusion or deferred-context terms without enough primary objective evidence.,medium,background_only,agent,none,,,
pmid-42622406,42622406,10.1128/aem.01232-26,"Influenza A deletion-containing viral genome production is altered by metabolites, metabolic signaling molecules, and cyanobacterial extracts.","RNA virus infections generate abundant non-standard viral genomes that have been associated with milder clinical outcomes, leading to research into harnessing them as novel antivirals. We recently showed that altering host cell metabolism away from pro-growth pathways using alpelisib increased the production of influenza A nonstandard viral genomes (specifically deletion-containing viral genomes, DelVGs). To uncover more drugs that could induce increased DelVGs, we subjected influenza infections (A/H1N1 and A/H3N2) to a screen of metabolites, metabolic signaling molecules, and cyanobacterium-derived biologics, and quantified DelVGs and total viral genomes using long-read sequencing. We show that metabolites and signaling molecules of host cell central carbon metabolism can significantly alter DelVG production early in influenza A infection. Adenosine emerged as a potent inducer of defective viral genomes, significantly amplifying DelVG production across both subtypes. Insulin had similar effects, albeit subtype-specific, predominantly enhancing polymerase segment DelVGs in A/H3N2 infections. Tricarboxylic acid (TCA) cycle inhibitors, 4-octyl itaconate and UK5099, along with the purine analog favipiravir, increased total viral genome production across subtypes. Cyanobacterial extracts primarily affected DelVGs and total viral genome production in A/H3N2 infections, with a specific, almost complete shutdown of influenza antigenic segments. These results suggest new avenues for antiviral intervention, including host metabolic pathways (PI3K-AKT, Ras-MAPK pathways, TCA, and purine-pyrimidine) and cyanotherapeutics that affect DelVG production. Our study advances our fundamental understanding of DelVG production mechanisms and highlights the potential of targeting host metabolism to develop broad-spectrum influenza therapeutics.IMPORTANCEAntivirals currently available for flu infections lack effectiveness or face rapid emergence of antiviral resistance. Flu infections naturally produce nonstandard viral genomes, which interfere with viral reproduction and lead to milder clinical outcomes. Here, we test drugs that alter the host metabolism to induce influenza infections to produce more of this ""natural antiviral."" We find that molecules generated from human metabolism, particularly adenosine, can increase these deletion-containing viral genomes (DelVGs) and also find evidence that biological extracts from cyanobacteria have antiviral effects. Our findings suggest that the social interactions observed between defective and full-length viral genomes depend not only on the viral actors but can also be altered by the stage provided by the host. Our findings have potential applications to increasing DelVG production for research or industrial uses; employing metabolites as biomarkers for flu infection severity; and using drugs to alter host metabolism to steer influenza infections to milder outcomes.",Journal Article,2026,"((alpelisib[Title/Abstract] OR inavolisib[Title/Abstract] OR GDC-0077[Title/Abstract] OR STX478[Title/Abstract] OR ""STX-478""[Title/Abstract] OR RLY2608[Title/Abstract] OR ""RLY-2608""[Title/Abstract] OR ""PI3K alpha inhibitor""[Title/Abstract] OR ""PI3K-alpha inhibitor""[Title/Abstract]) AND (resistan*[Title/Abstract] OR refractory[Title/Abstract] OR progression[Title/Abstract] OR relapse[Title/Abstract] OR sensitivity[Title/Abstract] OR response[Title/Abstract] OR biomarker*[Title/Abstract] OR bypass[Title/Abstract] OR adaptive[Title/Abstract]))",exclude,Matches run-specific exclusion or deferred-context terms without enough primary objective evidence.,medium,background_only,agent,none,,,
