paper_id,pmid,pmcid,doi,title,queue_reason,preferred_source,notes
pmid-42342900,42342900,,10.1038/s41418-026-01789-4,Inhibition of Pax6 sumoylation suppresses the tumorigenicity of pancreatic cancer cells.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-41951061,41951061,,10.1016/j.mcp.2026.102070,ZMIZ1 promotes PAX6 ubiquitination through SMAD3 to drive the malignant progression of acute myeloid leukemia.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-40834970,40834970,,10.1016/j.yexcr.2025.114709,Inhibition of HMGN2 SUMOylation ameliorates atherosclerosis by activating PAX5 expression to induce macrophage M2 polarization.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-40119193,40119193,,10.1038/s41590-025-02139-1,"Author Correction: Transcriptional function of E2A, Ebf1, Pax5, Ikaros and Aiolos analyzed by in vivo acute protein degradation in early B cell development.",No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-39256480,39256480,PMC11528059,10.1038/s41423-024-01213-2,Rack1 regulates B-cell development and function by binding to and stabilizing the transcription factor Pax5.,PMC XML unusable for normalization.,publisher_pdf_or_user_download,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-39179932,39179932,,10.1038/s41590-024-01933-7,"Transcriptional function of E2A, Ebf1, Pax5, Ikaros and Aiolos analyzed by in vivo acute protein degradation in early B cell development.",No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-37116471,37116471,,10.1016/j.cell.2023.03.018,Regulation of Pax3 by Proteasomal Degradation of Monoubiquitinated Protein in Skeletal Muscle Progenitors.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-35766845,35766845,,10.1051/medsci/2022073,[PAX7 acetylation controls muscle stem cell self-renewal].,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-34428276,34428276,,10.1093/brain/awab134,Amyloid-β toxicity modulates tau phosphorylation through the PAX6 signalling pathway.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-31888889,31888889,,10.1158/0008-5472.CAN-19-1479,Aurora A Kinase Inhibition Destabilizes PAX3-FOXO1 and MYCN and Synergizes with Navitoclax to Induce Rhabdomyosarcoma Cell Death.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-31391550,31391550,,10.1038/s41388-019-0907-2,HBx regulates transcription factor PAX8 stabilization to promote the progression of hepatocellular carcinoma.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-30526042,30526042,,10.1096/fj.201801977R,Activating β-catenin/Pax6 axis negatively regulates osteoclastogenesis by selectively inhibiting phosphorylation of p38/MAPK.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-30636604,30636604,,10.2174/1566524019666190111153310,"Analysis of Non-Sumoylated and Sumoylated Isoforms of Pax-6, the Master Regulator for Eye and Brain Development in Ocular Cell Lines.",No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-29607880,29607880,,10.1266/ggs.17-00057,A novel nuclear localization signal spans the linker of the two DNA-binding subdomains in the conserved paired domain of Pax6.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-29317485,29317485,PMC6596271,10.1523/JNEUROSCI.1545-17.2017,"Meis1 Coordinates Cerebellar Granule Cell Development by Regulating Pax6 Transcription, BMP Signaling and Atoh1 Degradation.",PMC XML unusable for normalization.,publisher_pdf_or_user_download,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-29205612,29205612,,10.1111/imb.12363,Homeodomain-interacting protein kinase phosphorylates the Drosophila Paired box protein 6 (Pax6) homologues Twin of eyeless and Eyeless.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-29079520,29079520,,10.1016/j.bbadis.2017.10.026,Zac1/GPR39 phosphorylating CaMK-II contributes to the distinct roles of Pax3 and Pax7 in myogenic progression.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-27555585,27555585,PMC5018744,10.1073/pnas.1600770113,Hedgehog-dependent E3-ligase Midline1 regulates ubiquitin-mediated proteasomal degradation of Pax6 during visual system development.,PMC XML unusable for normalization.,publisher_pdf_or_user_download,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
