paper_id,pmid,doi,title,year,publication_types,priority,evidence_category,learned_criteria_matched,shortlist_rationale
pmid-11601392,11601392,,[In vitro modelling of the interactions between the promoter and enhancer complexes].,2001,Comparative Study;Journal Article,high,strong_learned_match,nuclear; pax3; pax; pax5; protein degradation; pax7; pax8; protein stability; pax2; pax,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-15148315,15148315,10.1074/jbc.M402949200,"Cross-talk between the paired domain and the homeodomain of Pax3: DNA binding by each domain causes a structural change in the other domain, supporting interdependence for DNA Binding.",2004,"Journal Article;Research Support, Non-U.S. Gov't",high,strong_learned_match,pax3; pax; pax5; protein degradation; pax7; pax8; protein stability; pax2; pax; pax8,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-16669872,16669872,10.1111/j.1440-1827.2006.01959.x,Immunohistochemical analysis of thyroid-specific transcription factors in thyroid tumors.,2006,Journal Article,high,strong_learned_match,nuclear; pax3; pax; pax5; pax7; pax8; pax2; pax; pax8; localization,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-23055533,23055533,10.2967/jnumed.111.101295,Antitumor effects of proteasome inhibition in anaplastic thyroid carcinoma.,2012,Journal Article,high,strong_learned_match,nuclear; pax3; pax; pax5; protein degradation; pax7; pax8; protein stability; pax2; pax,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-29996314,29996314,10.3760/cma.j.issn.0529-5807.2018.07.005,"[Clinicopathologic and molecular characterizations of Sertoli cell tumor, not otherwise specified of the testis].",2018,Journal Article,high,strong_learned_match,nuclear; pax3; pax; pax5; pax7; pax8; pax2; pax; pax8; evidence,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-31494105,31494105,10.1016/j.cbi.2019.108813,"""Verteporfin exhibits anti-proliferative activity in embryonal and alveolar rhabdomyosarcoma cell lines"".",2019,Journal Article,high,strong_learned_match,nuclear; pax3; pax; pax5; protein degradation; pax7; pax8; protein stability; pax2; pax,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-30676333,30676333,10.1097/PAS.0000000000001219,Adenocarcinoma of the Rete Testis: Clinicopathologic and Immunohistochemical Characterization of 6 Cases and Review of the Literature.,2019,Journal Article;Review,high,strong_learned_match,nuclear; pax3; pax; pax5; pax7; pax8; pax2; pax; pax8; localization,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-29561272,29561272,10.1097/PAI.0000000000000635,Novel Finding of Paired Box 5 (PAX5) Cytoplasmic Staining in Well-differentiated Rectal Neuroendocrine Tumors (Carcinoids) and Its Diagnostic and Potentially Prognostic Utility.,2019,Journal Article,high,strong_learned_match,nuclear; pax3; pax; pax5; pax7; pax8; pax2; pax; pax8; localization,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-30352879,30352879,10.2337/db18-0285,"Transient PAX8 Expression in Islets During Pregnancy Correlates With β-Cell Survival, Revealing a Novel Candidate Gene in Gestational Diabetes Mellitus.",2019,"Journal Article;Research Support, Non-U.S. Gov't",high,strong_learned_match,nuclear; pax3; pax; pax5; protein degradation; pax7; pax8; protein stability; pax2; pax,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-31441945,31441945,10.1111/cup.13571,Concurrent cutaneous localization of Langerhans cell sarcoma and chronic lymphocytic leukemia/small lymphocytic lymphoma in a patient with a history of chronic lymphocytic leukemia/small lymphocytic lymphoma.,2020,Case Reports;Journal Article,high,strong_learned_match,nuclear; pax3; pax; pax5; pax7; pax8; pax2; pax; pax8; localization,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
