paper_id,pmid,title,evidence_tier,evidence_type,directness,target_centrality,evidence_summary,supporting_text_locator,query_feedback_signal,review_confidence
pmid-42588596,42588596,PAX3::FOXO1-Targeting PROTAC Induces Myogenic Differentiation of Fusion-Positive Rhabdomyosarcoma Cells.,comparator,ptm_degradation,same_family_comparator,central,PAX3::FOXO1-targeting PROTAC causes proteasome-dependent endogenous fusion-protein degradation and differentiation of fusion-positive rhabdomyosarcoma cells.,full text: PROTAC degradation results,none,high
pmid-42284071,42284071,PAX3-FOXO1 Contacts BRD4 through Its Acetylated Intrinsically Disordered Region.,comparator,interaction_cofactor,same_family_comparator,supporting,"PAX3-FOXO1 uses an acetylated intrinsically disordered region to contact BRD4; useful for PAX-family PTM/cofactor targetability, though not direct degradation.",full text: acetylated IDR-BRD4 interaction,none,medium
pmid-38861275,38861275,IGF2BP2 Maintains Retinal Pigment Epithelium Homeostasis by Stabilizing PAX6 and OTX2.,comparator,stability_turnover,same_family_comparator,supporting,IGF2BP2 stabilizes PAX6 and OTX2 mRNAs; supports abundance-control logic but is RNA-stability rather than protein turnover.,full text: mRNA stability section,none,medium
pmid-38776375,38776375,SUMO-specific protease 1 regulates germinal center B cell response through deSUMOylation of PAX5.,comparator,ptm_degradation,same_family_comparator,central,SENP1 deSUMOylates PAX5 and maintains PAX5 protein level in germinal center B-cell responses.,full text: PAX5 deSUMOylation mechanism,none,high
pmid-37028762,37028762,The ups and downs of Pax6 in neural stem cells.,comparator,ptm_degradation,same_family_comparator,central,"Commentary summarizes KAT2A acetylation of Pax6, RNF8 ubiquitination, and proteasome-mediated Pax6 degradation.",full text: Pax6 degradation discussion,none,high
pmid-36791914,36791914,Histone acetyltransferase KAT2A modulates neural stem cell differentiation and proliferation by inducing degradation of the transcription factor PAX6.,comparator,ptm_degradation,same_family_comparator,central,"KAT2A acetylates PAX6 and facilitates RNF8-mediated ubiquitination and degradation, linking PTM to PAX protein turnover.",full text: KAT2A/RNF8/PAX6 results,none,high
pmid-35920196,35920196,PHD3 inhibits cell proliferation through hydroxylation of PAX2 at proline 9.,comparator,ptm_degradation,same_family_comparator,central,"PHD3 hydroxylates PAX2 at proline 9 and functionally suppresses proliferation, showing PAX-family hydroxylation as a regulatory mechanism.",full text: PAX2 hydroxylation mechanism,none,high
pmid-34059674,34059674,Acetylation of PAX7 controls muscle stem cell self-renewal and differentiation potential in mice.,comparator,ptm_degradation,same_family_comparator,central,"PAX7 acetylation controls muscle stem cell self-renewal and differentiation potential, supporting PAX-family acetylation as a regulatory control point.",full text: PAX7 acetylation results,none,high
pmid-33777928,33777928,c-Abl Kinase Is Required for Satellite Cell Function Through Pax7 Regulation.,comparator,ptm_degradation,same_family_comparator,supporting,c-Abl interacts with and phosphorylates Pax7; supports kinase-dependent PAX-family post-translational regulation.,full text: Pax7 phosphorylation results,none,medium
pmid-33490904,33490904,17-DMAG dually inhibits Hsp90 and histone lysine demethylases in alveolar rhabdomyosarcoma.,comparator,protein_folding_chaperone,same_family_comparator,central,"PAX3-FOXO1 is an Hsp90 client and is destabilized/degraded by geldanamycin and 17-DMAG, suggesting chaperone-dependence as a targetable PAX-family mechanism.",full text: Hsp90 inhibitor degradation results,none,high
