paper_id,pmid,pmcid,doi,title,normalized_source_type,normalized_path,fulltext_decision,fulltext_rationale,mechanistic_relevance,objective_relevance,topic_centrality,review_confidence
pmid-42533127,42533127,,10.1007/s00467-026-07496-z,Novel PAX2 variants and phenotypic heterogeneity in pediatric kidney disease: a single-center retrospective study.,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-42533127.json,keep,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",high,high,central,high
pmid-42471738,42471738,,10.1186/s13062-026-00905-1,PAX5 alleviates atherosclerosis by transcriptionally regulating GSDMD and inhibiting STAT3-mediated pyroptosis.,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-42471738.json,keep,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",high,high,central,high
pmid-42446761,42446761,PMC13369112,10.1007/s12105-026-01951-x,Biphenotypic Sinonasal Sarcomas with Recurrent PAX3::FOXO6 Gene Fusion.,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-42446761.json,drop,Readable full text has document-level overlap but no sentence- or local section-level evidence tying the mechanism/evidence claim to the primary entity and required outcome.,low,medium,supporting,medium
pmid-42122242,42122242,PMC13162904,10.3390/cancers18091446,"Hodgkin Reed-Sternberg Cells of Classic Hodgkin Lymphoma: Morphology, Phenotype, Genotype, and Cell of Origin.",pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC13162904.json,drop,Readable full text is dominated by run-specific exclusion or deferred-context signals.,low,low,incidental,medium
pmid-41414839,41414839,PMC13243919,10.5713/ab.250773,MYSM1 regulates the proliferation and differentiation of bovine skeletal muscle satellite cells via BRG1-mediated activation of the AKT/mTOR/NF-κB signaling pathway.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC13243919.json,drop,Readable full text is dominated by run-specific exclusion or deferred-context signals.,low,low,incidental,medium
pmid-41417852,41417852,PMC12716760,10.1371/journal.pone.0338446,Deciphering the pathogenicity of three NKX2-1 variants in ultra-severe forms of childhood interstitial lung disease.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC12716760.json,keep,"Full text has primary-topic, declared-evidence, and outcome overlap and supports an explicit review-frame retention role.",medium,medium,supporting,medium
pmid-41054284,41054284,PMC12501411,10.1002/jcsm.70081,ARC-18 Improved Motor Performance Through Inhibiting ACLY-Mediated Smad2/3 Acetylation in a Model of Duchenne Muscular Dystrophy.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC12501411.json,drop,Readable full text is dominated by run-specific exclusion or deferred-context signals.,low,low,incidental,medium
pmid-40229275,40229275,PMC11997201,10.1038/s41467-025-58872-6,Programmable protein stabilization with language model-derived peptide guides.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC11997201.json,keep,"Full text has primary-topic, declared-evidence, and outcome overlap and supports an explicit review-frame retention role.",medium,medium,supporting,medium
pmid-40119193,40119193,,10.1038/s41590-025-02139-1,"Author Correction: Transcriptional function of E2A, Ebf1, Pax5, Ikaros and Aiolos analyzed by in vivo acute protein degradation in early B cell development.",pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-40119193.json,keep,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",high,high,central,high
pmid-39862739,39862739,,10.1016/j.bioorg.2025.108169,A promising future for breast cancer therapy with hydroxamic acid-based histone deacetylase inhibitors.,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-39862739.json,drop,Readable full text does not provide enough evidence for the run objective.,low,low,incidental,medium
