"paper_id","pmid","doi","title","abstract","publication_types","year","source_query","abstract_reviewer_decision","abstract_reviewer_rationale","abstract_reviewer2_decision","abstract_reviewer2_rationale","abstract_reviewer2_confidence","promotion_decision","review_frame_role"
"pmid-42635598","42635598","10.1158/1078-0432.CCR-26-1816","Elacestrant in Combination with Everolimus for Estrogen Receptor-Positive, HER2-Negative Previously Treated Advanced Breast Cancer: Results from ELEVATE.","PURPOSE: Treatment options for progression on first-line endocrine therapy (ET)+CDK4/6i for ER-positive/HER2-negative (ER+/HER2-) advanced breast cancer (ABC) include ET plus targeted agents (CDK4/6i or PI3K/AKT/mTOR-pathway inhibitors). Elacestrant is the first single-agent oral SERD that significantly improved progression-free survival (PFS) versus standard-of-care ET in ESR1-mutated and overall ER+/HER2- ABC populations. PATIENTS AND METHODS: This phase 1b/2, umbrella trial enrolled patients with ER+/HER2- ABC who received 1-2 lines of ET+CDK4/6i (including prior fulvestrant and primary endocrine resistance) and no prior chemotherapy for ABC. Patients received elacestrant with everolimus, alpelisib, capivasertib, abemaciclib, ribociclib, or palbociclib. We evaluated PFS of elacestrant plus everolimus. RESULTS: In phase 1b (n=23), the optimal RP2D was determined as elacestrant 345 mg plus everolimus 7.5 mg. The phase 2 patient population (n=50) included: 100% prior CDK4/6i, 50% prior fulvestrant, 72% visceral metastasis, 20% primary endocrine resistance, 42% ESR1mut, 50% PIK3CAmut. Median PFS was 8.3 months (95% CI:4.0-10.2) in all patients; 8.3 months (95% CI:3.5-12.9) in ESR1mut, 9.0 months (95% CI:4.2-12.7) in ESR1wt, 8.3 months (95% CI:3.6-10.2) in PIK3CAmut, and 9.4 months (95% CI:4.0-NR) in PIK3CAwt. Adverse events (AEs) were consistent with known safety of everolimus plus SOC ET. Most common AEs were grade 1-2. Any AE leading to drug withdrawal or dose reduction was 6% and 2%, respectively. CONCLUSIONS: Elacestrant plus everolimus showed a clinically meaningful PFS benefit across clinical/genomic subgroups, irrespective of ESR1 or PIK3CA-mutation status. Elacestrant has the potential to become an ET backbone for combinations to inhibit the PI3K/AKT/mTOR-pathway with everolimus as a promising all-oral treatment.","Journal Article","2026","((alpelisib[Title/Abstract] OR inavolisib[Title/Abstract] OR GDC-0077[Title/Abstract] OR STX478[Title/Abstract] OR ""STX-478""[Title/Abstract] OR RLY2608[Title/Abstract] OR ""RLY-2608""[Title/Abstract] OR ""PI3K-alpha inhibitor""[Title/Abstract] OR ""PI3K alpha inhibitor""[Title/Abstract]) AND (trial[Title/Abstract] OR ""clinical trial""[Publication Type] OR phase[Title/Abstract] OR randomized[Title/Abstract]) AND (response[Title/Abstract] OR progression[Title/Abstract] OR ""progression-free survival""[Title/Abstract] OR biomarker*[Title/Abstract] OR ctDNA[Title/Abstract] OR failure[Title/Abstract] OR resistance[Title/Abstract] OR combination[Title/Abstract]))","include","Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms.","confirm_include","Confirmed include: Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms.","high","advance_to_import","none"
"pmid-42618717","42618717","10.1038/s41388-026-03936-0","Tumor-derived PTX3 drives an immunosuppressive myeloid landscape and inhibits CD8 T cell-mediated anti-tumor immunity via PI3K-dependent signaling.","Cancer immunotherapy, particularly immune checkpoint inhibitors (ICIs), has emerged as a pillar of modern oncology. However, clinical response rates in head and neck squamous cell carcinoma (HNSCC) remain modest, underscoring the need to identify novel therapeutic targets. Here, we investigated the role of Pentraxin 3 (PTX3) in orchestrating an immunosuppressive tumor microenvironment (TME) in HNSCC. Analysis of the TCGA dataset revealed that elevated PTX3 expression correlates with poor prognosis in HNSCC patients. Moreover, PTX3 is markedly upregulated in aggressive, ICI-resistant TAb2 tumors harboring an activated PIK3CA allele and TP53 deficiency. Using a CRISPR/Cas9 approach to delete PTX3 in TAb2 cells (PTX3-KO), we found that PTX3-KO tumors grew significantly slower than wild-type tumors in vivo. This reduced tumor growth was partially dependent on CD8+ T cells and occurred independently of tumor-intrinsic effects on cell proliferation. Genetic deletion of PTX3 profoundly reprogrammed the TME, increasing CD8+ tumor-infiltrating lymphocytes (TILs) and shifting the myeloid landscape by reducing immunosuppressive M2-like tumor-associated macrophages (TAMs) while promoting pro-inflammatory M1-like TAMs. Mechanistically, PTX3 drives M2-TAM polarization by activating downstream PI3K-γ/δ-dependent signaling, with evidence implicating the CD44 receptor. Crucially, anti-CD44 treatment or pharmacological blockade of PI3K-γ or PI3K-δ phenocopied the effects of PTX3 loss, substantially reducing M2-like TAMs and elevating M1-like TAMs. Collectively, our findings establish the innate immune molecule PTX3 as a critical regulator of myeloid-driven immune suppression in HNSCC. While PTX3 deficiency alone did not sensitize these models to PD-L1 blockade, therapeutic targeting of the PTX3-CD44-PI3K axis represents a promising strategy for remodeling the immunosuppressive TME.","Journal Article","2026","((""PI3K alpha""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR PI3Kalpha[Title/Abstract] OR PIK3CA[Title/Abstract] OR ""p110 alpha""[Title/Abstract] OR p110alpha[Title/Abstract]) AND (alpelisib[Title/Abstract] OR inavolisib[Title/Abstract] OR GDC-0077[Title/Abstract] OR inhibitor*[Title/Abstract] OR inhibition[Title/Abstract]) AND (""acquired resistance""[Title/Abstract] OR ""intrinsic resistance""[Title/Abstract] OR ""drug resistance""[Title/Abstract] OR resistant[Title/Abstract] OR refractory[Title/Abstract] OR ""loss of sensitivity""[Title/Abstract]))","exclude","Matches run-specific exclusion or deferred-context terms without enough primary objective evidence.","confirm_exclude","Confirmed exclude: Matches run-specific exclusion or deferred-context terms without enough primary objective evidence.","medium","stop","none"
"pmid-42575435","42575435","10.1016/j.jbc.2026.113426","Insulin receptor substrate 2 (IRS2) confers resistance to PI3K pathway inhibition in PIK3CA mutant breast cancer.","Activating mutations in PI3K are one of the most frequent mutations in breast cancer and are associated with worse patient outcomes in many breast cancer subtypes. Despite intense interest, cancer treatments that target the PI3K pathway have been only modestly effective due to intrinsic and acquired resistance mechanisms which reactivate PI3K signaling. Here, we characterize a feedback mechanism by which PI3K pathway inhibitors increase insulin receptor substrate 2 (IRS2) abundance and demonstrate the role of IRS2 in promoting resistance to these drugs. In PIK3CA mutant breast tumors and cell lines, there is a significant reduction in IRS2 mRNA and protein abundance which is reversed by PI3K pathway inhibition and mediated by the transcription factors FOXO1 and FOXO3. PIK3CA mutations do not alter IRS1 expression. IRS2 confers resistance to PI3K pathway inhibition by sustaining PI3K signaling in PIK3CA mutant, but not wild-type breast cancer cells. Increased IRS2 abundance also correlates with PI3K pathway inhibitor resistance across PIK3CA mutant cancer cell lines from a variety of tissues. The clinical relevance of these findings is highlighted by the frequency of PI3K mutations in cancer and the identification of a new target to address the challenges associated with prior efforts to block the reactivation of PI3K signaling during PI3K inhibition.","Journal Article","2026","((""PI3K alpha""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR PI3Kalpha[Title/Abstract] OR PIK3CA[Title/Abstract] OR ""p110 alpha""[Title/Abstract] OR p110alpha[Title/Abstract]) AND (alpelisib[Title/Abstract] OR inavolisib[Title/Abstract] OR GDC-0077[Title/Abstract] OR inhibitor*[Title/Abstract] OR inhibition[Title/Abstract]) AND (""acquired resistance""[Title/Abstract] OR ""intrinsic resistance""[Title/Abstract] OR ""drug resistance""[Title/Abstract] OR resistant[Title/Abstract] OR refractory[Title/Abstract] OR ""loss of sensitivity""[Title/Abstract]))","include","Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms.","confirm_include","Confirmed include: Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms.","high","advance_to_import","none"
"pmid-42544389","42544389","10.1039/d6fo02435a","Phenolics from Phyllanthus emblica Linn. ameliorate glucose homeostasis and insulin resistance in high-fat diet/streptozotocin-induced type 2 diabetic mice.","Phyllanthus emblica Linn. contains abundant free phenolic (PEFP) and bound phenolic (PEBP), both of which have demonstrated potential antidiabetic activities. However, their comparative hypoglycemic effects and underlying mechanisms remain unclear. This study investigated the effects of PEFP and PEBP using insulin-resistant HepG2 (IR-HepG2) cells and a high-fat diet/streptozotocin (HFD/STZ)-induced type 2 diabetes mellitus (T2DM) mouse model. PEFP and PEBP showed no cytotoxicity toward HepG2 cells and significantly enhanced glucose consumption, glycogen synthesis, and hexokinase and pyruvate kinase activities in IR-HepG2 cells. Treatment with 160 μg mL-1 PEFP and PEBP increased glucose consumption in IR-HepG2 cells to 7.13 ± 0.30 and 6.73 ± 0.37 mmol L-1, respectively, restoring levels comparable to control cells (7.23 ± 0.69 mmol L-1). In HFD/STZ-induced T2DM mice, PEFP and PEBP significantly improved glucose homeostasis, insulin sensitivity, dyslipidemia, oxidative stress, and inflammatory responses after 10 weeks of intervention. High-dose PEFP and PEBP reduced fasting blood glucose from 13.02 ± 1.19 mmol L-1 in diabetic mice to 7.47 ± 1.18 and 9.87 ± 0.93 mmol L-1, respectively. At the molecular level, both treatments were associated with upregulation of insulin signaling-related genes (Insr, Irs1, Pik3r1, Pik3ca, and Akt1) and suppression of gluconeogenic genes (Foxo1, Pck1, and G6pc) in the liver. Notably, distinct functional patterns were observed. PEFP, particularly at high doses, showed stronger associations with restoration of insulin signaling and inhibition of gluconeogenesis, whereas PEBP was more closely associated with glucose utilization and glycogen storage. In addition, PEFP and PEBP inhibited jejunal α-glucosidase and α-amylase activities and altered gut microbiota composition. These findings demonstrate that PEFP and PEBP exert multifaceted antidiabetic effects, which were closely associated with the modulation of hepatic insulin signaling-related gene expression, intestinal carbohydrate digestion, and gut microbiota composition, highlighting their potential as functional food ingredients for T2DM management.","Journal Article","2026","((""PI3K alpha""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR PI3Kalpha[Title/Abstract] OR PIK3CA[Title/Abstract] OR ""p110 alpha""[Title/Abstract] OR p110alpha[Title/Abstract]) AND (alpelisib[Title/Abstract] OR inavolisib[Title/Abstract] OR GDC-0077[Title/Abstract] OR inhibitor*[Title/Abstract] OR inhibition[Title/Abstract]) AND (""acquired resistance""[Title/Abstract] OR ""intrinsic resistance""[Title/Abstract] OR ""drug resistance""[Title/Abstract] OR resistant[Title/Abstract] OR refractory[Title/Abstract] OR ""loss of sensitivity""[Title/Abstract]))","exclude","Matches run-specific exclusion or deferred-context terms without enough primary objective evidence.","confirm_exclude","Confirmed exclude: Matches run-specific exclusion or deferred-context terms without enough primary objective evidence.","medium","stop","none"
"pmid-42543051","42543051","10.1016/j.breast.2026.104889","Cost-effectiveness of inavolisib-based therapy in PIK3CA-mutated advanced breast cancer in the USA.","PURPOSE: Inavolisib plus palbociclib and fulvestrant has been approved for treating PIK3CA-mutated, hormone receptor-positive human epidermal growth factor receptor 2-negative (HR + HER2-), advanced breast cancer in the USA. This study evaluated the cost-effectiveness of inavolisib plus palbociclib and fulvestrant compared with palbociclib plus fulvestrant from the US payer perspective. METHODS: We developed a partitioned survival model at a 28-day cycle length over 15-year time horizons to predict total costs, life-years, quality-adjusted life-years (QALYs), incremental cost-effectiveness ratio (ICER), and incremental cost-utility ratio (ICUR) at willingness-to-pay (WTP) threshold of $150,000 per QALY. Survival data were extracted from the INAVO120 clinical trial, costs and utilities were obtained from the department of Veterans Affairs, published literature and quality-of-life studies using the EQ-5D-5L scale. Uncertainty was addressed via scenario, one-way and probabilistic sensitivity analyses. RESULTS: In the base-case, inavolisib plus palbociclib and fulvestrant resulted in 1.99 life-years and 1.43 QALYs at an incremental cost of $211,639.64 with an ICER of $106,595.61 per life-year and an ICUR of $148,417.37 per QALY. The utility value of progression-free survival was the most influential parameter on the base-case results. Alterations in each model parameter did not significantly impact on the conclusions. The probability of inavolisib plus palbociclib and fulvestrant was cost-effective at the WTP threshold of $150,000 was 54.59%. CONCLUSION: Inavolisib plus palbociclib and fulvestrant may be a high-value treatment option for patients with PIK3CA-mutated, HR + HER2-, advanced breast cancer in the USA.","Journal Article","2026","((alpelisib[Title/Abstract] OR inavolisib[Title/Abstract] OR GDC-0077[Title/Abstract] OR STX478[Title/Abstract] OR ""STX-478""[Title/Abstract] OR RLY2608[Title/Abstract] OR ""RLY-2608""[Title/Abstract] OR ""PI3K-alpha inhibitor""[Title/Abstract] OR ""PI3K alpha inhibitor""[Title/Abstract]) AND (trial[Title/Abstract] OR ""clinical trial""[Publication Type] OR phase[Title/Abstract] OR randomized[Title/Abstract]) AND (response[Title/Abstract] OR progression[Title/Abstract] OR ""progression-free survival""[Title/Abstract] OR biomarker*[Title/Abstract] OR ctDNA[Title/Abstract] OR failure[Title/Abstract] OR resistance[Title/Abstract] OR combination[Title/Abstract]))","exclude","Matches run-specific exclusion or deferred-context terms without enough primary objective evidence.","confirm_exclude","Confirmed exclude: Matches run-specific exclusion or deferred-context terms without enough primary objective evidence.","medium","stop","none"
"pmid-42518131","42518131","10.1007/s40265-026-02347-5","Emerging Strategies Targeting the PI3K/AKT/mTOR Pathway in HR+/HER2- Advanced Breast Cancer.","Hormone receptor-positive (HR+), human epidermal growth factor receptor 2-negative (HER2-) breast cancer accounts for approximately 70% of breast cancer cases. Despite recent advances with cyclin-dependent kinase 4/6 inhibitors (CDK4/6i), resistance inevitably develops, often driven by activation of the phosphatidylinositol 3-kinase (PI3K)-AKT-mammalian target of rapamycin (mTOR) pathway. Genetic alterations such as PIK3CA mutations (present in ~ 45% of HR+/HER2- tumors), AKT1 mutations, and PTEN loss contribute to endocrine resistance and poor outcomes. This review summarizes emerging strategies targeting this pathway to overcome resistance in advanced disease. Isoform-specific PI3K inhibitors, including alpelisib and inavolisib, have demonstrated clinically meaningful progression-free survival benefits in PIK3CA-mutated populations, with inavolisib showing improved tolerability and efficacy. In contrast, pan-PI3K inhibitors such as buparlisib have been constrained by toxicity. Targeting downstream signaling, AKT inhibitors have also shown benefit: capivasertib has demonstrated clinical efficacy leading to US Food and Drug Administration approval, while ipatasertib has yielded encouraging results, particularly in tumors harboring PIK3CA, AKT1, or PTEN alterations. Mammalian target of rapamycin inhibitors, notably everolimus, have shown efficacy irrespective of mutation status. The dual PI3K-mTOR inhibitor (gedatolisib) has also shown promising progression-free survival benefit in a PIK3CA wild-type population. Next-generation agents, including mutant-selective PI3Kα inhibitors and bi-steric mTOR complex 1 inhibitors, are under active investigation. Optimal sequencing of these agents alongside endocrine therapy and CDK4/6i options remain a critical question, as does integration of genomic testing to guide therapy. Future directions include rational combination strategies, improved biomarker-driven selection, and novel modalities such as proteolysis-targeting chimeras (PROTACs). Collectively, these advances aim to enhance durability of response, minimize toxicity, and improve survival in HR+/HER2- metastatic breast cancer.","Journal Article;Review","2026","((""PI3K alpha""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR PIK3CA[Title/Abstract] OR alpelisib[Title/Abstract] OR inavolisib[Title/Abstract] OR GDC-0077[Title/Abstract]) AND (""adaptive resistance""[Title/Abstract] OR ""bypass signaling""[Title/Abstract] OR ""feedback activation""[Title/Abstract] OR ""compensatory signaling""[Title/Abstract] OR ""pathway reactivation""[Title/Abstract] OR ""restore sensitivity""[Title/Abstract] OR ""overcome resistance""[Title/Abstract]))","exclude","Matches run-specific exclusion or deferred-context terms without enough primary objective evidence.","confirm_exclude","Confirmed exclude: Matches run-specific exclusion or deferred-context terms without enough primary objective evidence.","medium","stop","none"
"pmid-42513228","42513228","10.3390/molecules31142551","Breast Cancer: Epidemiology, Molecular Classification, Diagnostics and Evolving Treatment Paradigms.","Breast cancer remains one of the most prevalent malignancies affecting women worldwide and continues to be a leading cause of cancer-related morbidity and mortality. Patients may present with either localized or advanced disease, with clinical outcomes increasingly influenced by molecular subtype and genetic profile. This review highlights the key genetic factors involved in breast cancer, current diagnostic and therapeutic strategies, and promising emerging approaches that may shape future clinical management. Breast cancer diagnosis typically involves clinical breast examination, imaging techniques such as mammography and ultrasound, and confirmatory biopsies. Genetic mutations in specific genes are strongly linked to the development, progression, and metastasis of the disease. Treatment options for localized breast cancer continue to include surgery (lumpectomy or mastectomy) and radiotherapy, combined with systemic therapies tailored to tumor biology, such as endocrine therapy, human epidermal growth factor receptor 2 (HER2)-targeted therapy, and cyclin-dependent kinase (CDK)4/6 inhibitors. For advanced or metastatic breast cancer, recent therapeutic advances include the use of immunotherapy (e.g., immune checkpoint inhibitors), Poly (ADP-ribose) polymerase (PARP) inhibitors for Breast Cancer gene (BRCA)-mutated cancers, antibody-drug conjugates, and novel targeted agents, which have significantly improved patient outcomes in selected populations. Recent findings in breast cancer genetics have highlighted the critical role of germline and somatic mutations, particularly in genes such as BRCA1, BRCA2, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha (PIK3CA), and TP53, in driving tumor initiation, progression, and therapeutic response. Molecular profiling and next-generation sequencing technologies have enabled more precise tumor classification and facilitated the development of personalized treatment strategies. Despite these advances, treatment resistance and disease recurrence remain major challenges, particularly in aggressive subtypes such as triple-negative breast cancer. Consequently, ongoing research is exploring alternative and complementary approaches, including nanotechnology-based drug delivery systems, gene editing techniques such as clustered regularly interspaced short palindromic repeats-Cas9 (CRISPR-associated protein 9) (CRISPR-Cas9), cancer vaccines, and the integration of traditional and plant-derived compounds. These strategies aim to enhance therapeutic efficacy, reduce systemic toxicity, and overcome resistance mechanisms.","Journal Article;Review","2026","((""PI3K alpha""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR PIK3CA[Title/Abstract] OR alpelisib[Title/Abstract] OR inavolisib[Title/Abstract] OR GDC-0077[Title/Abstract]) AND (""adaptive resistance""[Title/Abstract] OR ""bypass signaling""[Title/Abstract] OR ""feedback activation""[Title/Abstract] OR ""compensatory signaling""[Title/Abstract] OR ""pathway reactivation""[Title/Abstract] OR ""restore sensitivity""[Title/Abstract] OR ""overcome resistance""[Title/Abstract]))","include","Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms.","confirm_include","Confirmed include: Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms.","high","advance_to_import","none"
"pmid-42505223","42505223","10.3390/curroncol33070421","Evolving First-Line Endocrine Therapy in HR+/HER2- Metastatic Breast Cancer: CDK4/6 Inhibition, Biomarker-Guided Strategies and Emerging Therapeutic Paradigms.","Hormone receptor-positive (HR+), human epidermal growth factor receptor 2-negative (HER2-) metastatic breast cancer (MBC) is the most prevalent subtype of advanced breast cancer and is predominantly driven by estrogen receptor (ER) signaling. Endocrine therapy (ET) has become the backbone of first-line treatment; however, both intrinsic and acquired resistance limit long-term disease control. The introduction of cyclin-dependent kinase 4/6 (CDK4/6) inhibitors has fundamentally reshaped the therapeutic landscape even in subsets of patients with aggressive or symptomatic visceral metastatic disease. Advances in molecular profiling have also enabled more precise, adaptive therapy. Circulating tumor DNA (ctDNA)-based liquid biopsy now allows real-time detection of emerging resistance mutations, particularly in ESR1. Additionally, patients with PIK3CA-mutated tumors who had progressed on or within 12 months of completing adjuvant ET and had no prior systemic therapy for metastatic disease had better treatment outcomes when treated with the PI3K inhibitor inavolisib in combination with palbociclib and fulvestrant. Together, these developments mark a shift from fixed treatment sequencing toward a more dynamic, biomarker-driven approach in first-line HR+/HER2- MBC. Integration of CDK4/6 inhibitors with next-generation endocrine agents and liquid biopsy-guided therapy offers the potential to delay resistance, improve survival outcomes, and individualize treatment.","Journal Article;Review","2026","((""PI3K alpha""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR PI3Kalpha[Title/Abstract] OR PIK3CA[Title/Abstract] OR ""p110 alpha""[Title/Abstract] OR p110alpha[Title/Abstract]) AND (alpelisib[Title/Abstract] OR inavolisib[Title/Abstract] OR GDC-0077[Title/Abstract] OR inhibitor*[Title/Abstract] OR inhibition[Title/Abstract]) AND (""acquired resistance""[Title/Abstract] OR ""intrinsic resistance""[Title/Abstract] OR ""drug resistance""[Title/Abstract] OR resistant[Title/Abstract] OR refractory[Title/Abstract] OR ""loss of sensitivity""[Title/Abstract]))","include","Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms.","confirm_include","Confirmed include: Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms.","high","advance_to_import","none"
"pmid-42500590","42500590","10.32604/or.2026.085387","Research Advances in Drug Resistance Mechanisms to Anti-HER2 Therapy in HER2-Positive Breast Cancer.","HER2-positive breast cancer accounts for 15-20% of all breast cancer cases. Although the development of monoclonal antibodies (e.g., trastuzumab, pertuzumab), tyrosine kinase inhibitors (e.g., lapatinib, pyrotinib), and antibody-drug conjugates (e.g., T-DM1, trastuzumab deruxtecan) has greatly improved patient prognosis, primary or acquired resistance to anti-HER2 therapy remains a major clinical challenge, leading to treatment failure and disease progression. Recent research has elucidated diverse resistance mechanisms, including HER2 signaling pathway aberrations (such as receptor mutations, alternative splicing, and bypass activation), tumor microenvironment remodeling (involving immunosuppressive cells, metabolic reprogramming, and immune checkpoint molecules), and ADC-specific resistance (impaired internalization, lysosomal dysfunction, payload efflux, and ferroptosis blockade). However, existing reviews primarily focus on trastuzumab and classical signaling pathways, with insufficient integration of ADC-specific mechanisms or microenvironmental immune evasion. Furthermore, the translation of mechanistic discoveries into clinical strategies remains weak, and a systematic summary of validated biomarkers (e.g., PIK3CA mutations, PTEN loss, p95HER2, ADAR1, HLA-G) and related clinical trials is lacking. The purpose of this review is threefold: (1) to systematically integrate recent advances in anti-HER2 resistance mechanisms from three perspectives-HER2 signaling abnormalities, tumor microenvironment remodeling, and ADC-specific barriers; (2) to provide an evidence-based framework for target prioritization by categorizing mechanisms according to their validation stage (clinically validated, substantial in vivo evidence, or in vitro studies only); and (3) to summarize current biomarker-driven clinical trials and emerging therapeutic strategies, including combination immunotherapy, CDK4/6 inhibitors, PI3K PROTACs, and cold atmospheric plasma. Ultimately, this review aims to bridge the gap between basic research and clinical practice, offering practical guidance for overcoming anti-HER2 resistance through precision combination strategies in HER2-positive breast cancer.","Journal Article;Review","2026","((""PI3K alpha""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR PI3Kalpha[Title/Abstract] OR PIK3CA[Title/Abstract] OR ""p110 alpha""[Title/Abstract] OR p110alpha[Title/Abstract]) AND (alpelisib[Title/Abstract] OR inavolisib[Title/Abstract] OR GDC-0077[Title/Abstract] OR inhibitor*[Title/Abstract] OR inhibition[Title/Abstract]) AND (""acquired resistance""[Title/Abstract] OR ""intrinsic resistance""[Title/Abstract] OR ""drug resistance""[Title/Abstract] OR resistant[Title/Abstract] OR refractory[Title/Abstract] OR ""loss of sensitivity""[Title/Abstract]))","include","Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms.","confirm_include","Confirmed include: Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms.","high","advance_to_import","none"
"pmid-42496151","42496151","10.1080/17425255.2026.2710110","Inavolisib: a second-generation PI3Kα inhibitor in HR+/HER2-negative breast cancer.","INTRODUCTION: Hormone receptor-positive/human epidermal growth factor receptor 2-negative (HR+/HER2-) breast cancer is the most common subtype, yet resistance to therapy remains a major clinical challenge. Up to 40% of patients carry PIK3CA mutations that activate PI3K/AKT/mTOR signaling and drive relapse, highlighting the need for more selective and tolerable targeted therapies. AREAS COVERED: This review summarizes the pharmacology, development, and therapeutic role of inavolisib, a next-generation, PI3Kα-selective inhibitor with dual inhibitory and degradation activity against mutant p110α. Preclinical studies demonstrate improved isoform selectivity versus earlier agents, reducing off-target toxicity while maintaining potent pathway suppression. In the phase III INAVO120 trial, adding inavolisib to palbociclib and fulvestrant nearly doubled progression-free survival and extended overall survival by seven months versus standard therapy. Safety data indicates a manageable profile, with hyperglycemia and stomatitis as the most common adverse events. Additional phase III trials are testing inavolisib in CDK4/6 inhibitor-resistant disease and HER2-positive settings, as well as in novel combinations. EXPERT OPINION: Inavolisib offers a significant advance for PIK3CA-mutated HR+/HER2-negative breast cancer by pairing potent PI3Kα selectivity with degradation of mutant p110α. Its clinical activity and improved tolerability position it as a strong candidate for future therapeutic strategies and evolving precision-oncology applications.","Journal Article;Review","2026","((""PI3K alpha""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR PI3Kalpha[Title/Abstract] OR PIK3CA[Title/Abstract] OR ""p110 alpha""[Title/Abstract] OR p110alpha[Title/Abstract]) AND (alpelisib[Title/Abstract] OR inavolisib[Title/Abstract] OR GDC-0077[Title/Abstract] OR inhibitor*[Title/Abstract] OR inhibition[Title/Abstract]) AND (""acquired resistance""[Title/Abstract] OR ""intrinsic resistance""[Title/Abstract] OR ""drug resistance""[Title/Abstract] OR resistant[Title/Abstract] OR refractory[Title/Abstract] OR ""loss of sensitivity""[Title/Abstract])); ((alpelisib[Title/Abstract] OR inavolisib[Title/Abstract] OR GDC-0077[Title/Abstract] OR STX478[Title/Abstract] OR ""STX-478""[Title/Abstract] OR RLY2608[Title/Abstract] OR ""RLY-2608""[Title/Abstract] OR ""PI3K-alpha inhibitor""[Title/Abstract] OR ""PI3K alpha inhibitor""[Title/Abstract]) AND (trial[Title/Abstract] OR ""clinical trial""[Publication Type] OR phase[Title/Abstract] OR randomized[Title/Abstract]) AND (response[Title/Abstract] OR progression[Title/Abstract] OR ""progression-free survival""[Title/Abstract] OR biomarker*[Title/Abstract] OR ctDNA[Title/Abstract] OR failure[Title/Abstract] OR resistance[Title/Abstract] OR combination[Title/Abstract]))","exclude","Matches run-specific exclusion or deferred-context terms without enough primary objective evidence.","confirm_exclude","Confirmed exclude: Matches run-specific exclusion or deferred-context terms without enough primary objective evidence.","medium","stop","none"
