paper_id,pmid,title,evidence_tier,evidence_type,directness,target_centrality,evidence_summary,supporting_text_locator,query_feedback_signal,review_confidence,retention_role
pmid-42653655,42653655,Thymoquinone Potentiates Docetaxel-Induced Antitumor Activity with the Involvement of ROS and PI3K/AKT Pathway Modulation in Triple-Negative Breast Cancer Cells.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: patient-derived;or combination;combinations;progression;cell-cycle;resistance,tighten_query,medium,exclude
pmid-42513228,42513228,"Breast Cancer: Epidemiology, Molecular Classification, Diagnostics and Evolving Treatment Paradigms.",direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pik3ca;intrinsic resistance;bypass signaling;resistance,none,high,direct_mechanistic
pmid-42505223,42505223,"Evolving First-Line Endocrine Therapy in HR+/HER2- Metastatic Breast Cancer: CDK4/6 Inhibition, Biomarker-Guided Strategies and Emerging Therapeutic Paradigms.",direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pik3ca;progression;resistance,none,high,direct_mechanistic
pmid-42500590,42500590,Research Advances in Drug Resistance Mechanisms to Anti-HER2 Therapy in HER2-Positive Breast Cancer.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pik3ca;drug resistance;resistance,none,high,direct_mechanistic
pmid-42494592,42494592,Clinical features and treatment challenges of HER2-positive primary breast squamous cell carcinoma: a case report and literature review.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression-free survival;treatment failure;bypass signaling;progression-free;progression;resistance,tighten_query,medium,exclude
pmid-42461627,42461627,Novel Immunotherapy Agents in Early-Phase Trials for Head and Neck Cancer.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression-free survival;clinical benefit;progression-free;progression;resistance;biomarker,tighten_query,medium,exclude
pmid-42449589,42449589,A Real-World Study on the Effectiveness and Safety of Elacestrant in Patients with ESR1-Mutated Metastatic Breast Cancer Progressing After CDK4/6 Inhibitors and Endocrine Therapy.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression-free survival;clinical benefit;progression-free;discontinuation;or combination;progression,tighten_query,medium,exclude
pmid-42445743,42445743,Precision Endocrine-Based Combinations After CDK4/6 Inhibitor Progression in HR-Positive Metastatic Breast Cancer.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression-free survival;biomarker-defined;clinical benefit;progression-free;discontinuation;or combination,tighten_query,medium,exclude
pmid-42396524,42396524,Alirocumab Plus Cemiplimab in Immunorefractory NSCLC: A Single Arm Phase 2 Study.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pik3ca;progression;response,none,high,direct_mechanistic
pmid-42391607,42391607,Molecular tumor board-guided osimertinib therapy in EGFR L858R/Q701L-mutant lung adenocarcinoma supported by functional validation.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pik3ca;bypass signaling;response,none,high,direct_mechanistic
