paper_id,pmid,pmcid,doi,title,queue_reason,preferred_source,notes
pmid-42635598,42635598,,10.1158/1078-0432.CCR-26-1816,"Elacestrant in Combination with Everolimus for Estrogen Receptor-Positive, HER2-Negative Previously Treated Advanced Breast Cancer: Results from ELEVATE.",No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42518131,42518131,,10.1007/s40265-026-02347-5,Emerging Strategies Targeting the PI3K/AKT/mTOR Pathway in HR+/HER2- Advanced Breast Cancer.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42496151,42496151,,10.1080/17425255.2026.2710110,Inavolisib: a second-generation PI3Kα inhibitor in HR+/HER2-negative breast cancer.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42411503,42411503,,10.31083/FBL48694,AKT-mTOR/P53 PathwayDriven RapamycinAlpelisib Efficacy in Animal Models of TIE2Mutant Venous Malformations.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42373848,42373848,,10.1038/s41598-026-57970-9,A phase II study of alpelisib and capecitabine in patients with previously treated metastatic colorectal cancer (KCSG-CO21-04).,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42341421,42341421,,10.1016/j.bbrc.2026.154189,Functional characterization of PIK3CA E545A mutation in MCF-7 breast cancer cells reveals enhanced proliferation and resistance to Alpelisib.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42332790,42332790,,10.1186/s13048-026-02171-1,"Alpelisib enhances cisplatin mediated cytotoxicity in non-mutated, PIK3CA-dependent high-grade serous ovarian cancer.",No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42310675,42310675,,10.1186/s13046-026-03763-x,CDK4-selective inhibitor AU2-94 for the treatment of advanced and therapy-resistant prostate cancer.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42263466,42263466,,10.1016/j.clbc.2026.05.004,"Pharmacologic Features, Clinical Applications, and Drug Safety Evaluation of Inavolisib in the Treatment of Metastatic Breast Cancer.",No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42041166,42041166,,10.1158/1535-7163.MCT-25-0675,Targeting Semaphorin 7a Signaling in Preclinical Models of Endocrine Therapy-Resistant Breast Cancer.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
