paper_id,pmid,title,evidence_tier,evidence_type,directness,target_centrality,evidence_summary,supporting_text_locator,query_feedback_signal,review_confidence
pmid-42539190,42539190,The HIV-1 restriction factor RPRD2 does not inhibit transcription of HIV-1 or endogenous retroelements.,direct,interaction_cofactor,direct_target,central,"ranscripts. RPRD2 (Regulation of nuclear Pre-mRNA Domain containing 2, also known as REAF, reviewed in (5)) has been characterized as a generalized lentiviral restriction factor (6) via inhibition of reverse transcription (6-9), limiting the completion of proviral DNA synthesis and integration of the viral genome (6,8,9). The proposed mechanism of restriction was RPRD2 interaction with DNA:RNA products of reverse transcription as vir",INTRODUCTION,none,high
pmid-42515605,42515605,MicroRNAs Regulated by Pregnancy Target Antiviral and Cancer Immunity Overlapping with the HIV Interactome.,direct,localization_retention,direct_target,central,"are ~22-nucleotide long non-coding RNAs that control gene expression by binding to the 3′ untranslated regions of target mRNAs, leading to either inhibition of translation or degradation of the mRNA [10]. miRNAs are present not only within cells but also as cell-free molecules in body fluids such as blood, serum, and urine, where they are carried in extracellular vesicles or bound to proteins like Argonaute 2 that protect and t",1. Introduction,none,high
pmid-42507754,42507754,VRK3 promotes KSHV infection by suppressing the antiviral type I interferon response.,direct,localization_retention,direct_target,central,"expression. Upon reactivation, KSHV enters its lytic phase with robust viral replication to produce infectious virions. KSHV encodes viral factors and co-opts host factors to evade immune detection and dysregulate cellular processes that support viral persistence [1–3]. The innate immune system is the first line of antiviral defense. Pattern recognition receptors (PRRs) are sensors of pathogen-associated molecular patterns (PA",Introduction,none,high
pmid-42418426,42418426,Independent proviral and antiviral host factors recognize the same capsid protein in divergent human herpesviruses.,indirect,ptm_degradation,pathway_or_context,supporting,"[3,4]. These limitations highlight the need for new antiviral strategies with different targets that are less susceptible to the emergence of drug resistance. Host factors that promote viral replication are attractive drug targets because viruses cannot readily mutate to escape. Understanding HSV-1–host interactions at the molecular level is therefore essential for identifying host factors that could be targeted by antiviral dr",Introduction,reviewer_calibration,medium
pmid-42391313,42391313,"RNF31 restricts EV-A71 replication through innate immune activation and VP4 degradation, and is antagonized by viral 3C proteases.",indirect,ptm_degradation,pathway_or_context,supporting,"FMD outbreaks in the Asia-Pacific region, posing a serious threat to infant and child health [6]. EV-A71 enters host cells primarily through receptor-mediated endocytosis. Subsequent endosomal acidification induces conformational changes in the viral capsid, leading to the release of the positive-sense single-stranded RNA genome into the cytoplasm [7,8]. The genomic RNA functions directly as mRNA and is translated into a singl",Introduction,reviewer_calibration,medium
pmid-42391287,42391287,"GRHAL1, a novel lncRNA, regulates HIV-1 gene expression by modulating Tat- and Sp1-mediated HIV-1 LTR activation.",direct,ptm_degradation,direct_target,central,"In addition to the HIV accessory proteins, HIV-1 is dependent on host cellular factors to replicate and survive [13]. Several crucial host factors for HIV-1 biology have been identified in the last few decades. With the recent discovery of thousands of long non-coding RNAs (lncRNAs), there has been a paradigm shift in identifying the role of host factors in the HIV-1 life cycle [45]. In fact, several ln",Introduction,none,medium
pmid-42312836,42312836,Palmitoylation of CLDN12 regulated by ZDHHC7 and APT1/2 promotes hepatitis C virus entry.,direct,ptm_degradation,direct_target,central,"tively explore new therapeutic strategies that target different mechanisms of action, particularly those aimed at other stages of the viral life cycle, such as viral entry. Interventions targeting the viral entry phase have shown unique potential (4), not only holding promise for preventing both infection and reinfection but also potentially providing broader antiviral coverage, thus serving as an important complementary strate",INTRODUCTION,none,medium
pmid-42287495,42287495,The role of DPP4 in viral infections: from receptor biology to antiviral target.,indirect,localization_retention,pathway_or_context,supporting,"]. Additionally, on antigen-presenting cells, mDPP4 binds to Cav-1. This interaction enhances the expression, promotes T cell proliferation, and activates the NF-κB pathway [54, 77]. Because of these varied roles, DPP4 is widely regarded as a key marker of T cell function (Table 2). Table 2Viruses and DPP4Virus Family/GenusVirus speciesInteracting viral proteinDPP4 domain of interactionFunctional consequenceReferences R",DPP4 and the immune system,reviewer_calibration,medium
pmid-42253925,42253925,Human Coronavirus 229E Uses ORF4/4a to Antagonize the Host Restriction Factor SERINC5.,indirect,ptm_degradation,pathway_or_context,supporting,"hey can cause severe complications in vulnerable populations, such as infants, elderly, and/or immunocompromised individuals [6]. A better understanding of the host factors that influence coronavirus infection and spread might help to develop new antiviral strategies and improve preparedness against future viral outbreaks. Host restriction factors play key roles in viral zoonoses and subsequent spread in human populations [10,",Introduction,reviewer_calibration,low
pmid-42231789,42231789,UCHL3 Regulates Subgenomic Flaviviral RNA Condensates to Promote Virus Propagation.,indirect,ptm_degradation,pathway_or_context,supporting,"and birth defects [1]. These positive‐sense RNA viruses have evolved intricate strategies to hijack cellular machinery for efficient replication while evading innate immune responses [2]. A hallmark of flavivirus transmissibility and their epidemic potential is the generation of subgenomic flavivirus RNA (sfRNA), a highly structured noncoding RNA produced when the host 5'‐3' exoribonuclease XRN1 stalls on RNA secondary structur",Introduction,reviewer_calibration,medium
pmid-42231329,42231329,CircRNA profiles of extracellular vesicle-enriched fractions from ART suppressed pregnant women living with HIV identifies interactome networks key to inflammation and viral latency.,direct,localization_retention,direct_target,central,"actions [28]. CircRNAs are covalently closed continuous loop structures comprised of single-stranded RNA (lack 5’ and 3’ poly(A) ends) and generated from back splicing events of exons and/or introns [29]. Although circRNAs were originally considered artifactual, progression in sequencing and computational technologies has uncovered considerable gene regulatory function within physiological and pathological processes integra",Introduction,none,high
pmid-42230819,42230819,BST-2 inhibits SARS-CoV-2 egress at intracellular membranes and is neutralized by ORF7a.,indirect,ptm_degradation,pathway_or_context,supporting,"Bone marrow stromal antigen 2 (BST-2), also known as tetherin or CD317, is an interferon-inducible transmembrane protein that acts as a broad-spectrum antiviral restriction factor. It inhibits the release of a wide range of enveloped viruses by physically tethering budding virions to the host ce",Introduction,reviewer_calibration,medium
pmid-42149692,42149692,An integrative meta-analysis of SARS-CoV-2 RNA-protein interactomes identifies conserved host factors shared with other RNA viruses.,indirect,ptm_degradation,pathway_or_context,supporting,"eutic solutions [3, 4]. The life cycle of RNA viruses relies heavily on host cell molecules to compensate for their limited coding capacity. In response, host innate immune mechanisms have evolved to detect viral RNAs and replication intermediates, triggering antiviral defenses [5, 6]. Specifically, the host system recognizes unconventional molecular signatures such as 5′ triphosphates and double-stranded RNA to suppress viral g",Introduction,reviewer_calibration,medium
pmid-42148122,42148122,Transcriptomic and bioinformatics analysis reveals the host response feature and potential treatment strategy of patients with dengue fever.,direct,localization_retention,direct_target,central,"on (4). Intriguingly, DENV employs multiple mechanisms to evade the host’s innate and adaptive immune responses, thereby establishing infection (5). Activating type I interferon (IFN) results in antiviral activity, a typical immune response against DENV. However, DENV nonstructural proteins can block IFN signaling pathways after virus recognition, even subvert apoptosis to ensure viral replication in the early stage of the DENV invas",Introduction,none,medium
pmid-42146390,42146390,MX2 Mediates Collapse of the HIV-1 Capsid.,direct,localization_retention,direct_target,central,"Inositol hexakisphosphate (IP6) is a host cofactor that facilitates HIV-1 maturation and stabilises the capsid lattice by binding to a ring Arg-18 and Lys-25 residues at the central pore of capsid hexamers and pentamers26–28. IP6 also induces assembly of the capsid lattice in vitro29, with IP6-mediated assemb",MX2 induces capsid lattice collapse,none,medium
pmid-42139316,42139316,Characterization of the virus-host RNA-RNA interactome across important human pathogenic RNA viruses.,indirect,ptm_degradation,pathway_or_context,supporting,"encephalitis virus (EEEV), an emerging mosquito-borne alphavirus, which is repressed by miR-142-3p binding to its 3’UTR. This restricts replication and evades interferon production specifically in antigen presenting cells, thereby allowing the virus to partially escape the immune system [5]. Contrarily, hepatitis C virus (HCV) critically depends on direct interactions between the liver specific miR-122-5p and two binding site",Introduction,reviewer_calibration,medium
pmid-42095660,42095660,Replication-competent SIVcpz CRISPR screen identifies barriers to successful cross-species transmission.,indirect,ptm_degradation,pathway_or_context,supporting,"icient spread of HIV-1 group M strains is their ability to counteract human restriction factors. For example, their accessory protein Vpu evolved to antagonize tetherin (BST-2), a host factor that inhibits virion release (11, 12). Because HIV-1 group M strains are already well adapted to the human host and effectively evade innate immune defenses, they are poorly suited for identifying the antiviral mechanisms that were over",INTRODUCTION,reviewer_calibration,medium
pmid-42094387,42094387,Bloom syndrome helicase is required for efficient HIV-1 reverse transcription in macrophages.,direct,localization_retention,direct_target,central,"erse transcription complex (RTC) that includes viral reverse transcriptase (RT), nucleocapsid (NC), and integrase (IN). Several putative and suspected cellular host factors are associated with the RTC that influence reverse transcription. Factors including the RNA helicase DHX9 and DNA topoisomerase TOP1 independently enhance RT activity (5–8). In contrast, increased levels of the RNA helicase MOV10 restricts the first and secon",Introduction,none,high
pmid-41955099,41955099,Incorporation of genome-bound cellular proteins into HIV-1 particles regulates viral infection.,direct,localization_retention,direct_target,central,"s of the viral life cycle, which starts with the transcription of viral RNAs by the host RNA polymerase II and its co-factors and continues with their capping, splicing, and polyadenylation.1 HIV-1 produces several viral RNA species that can be divided into single spliced, fully spliced, and unspliced (i.e., genome) RNAs.2 Fully spliced HIV-1 RNAs are transported to the cytoplasm using the canonical mRNA export pathways.3 Ho",Introduction,none,high
pmid-41953939,41953939,FAM134B isoform 2/RETREG1-2 defines a calnexin-TOLLIP-coupled ER-phagy pathway that restricts Ebola virus glycoprotein and is antagonized by VP40 through macro-autophagy.,direct,ptm_degradation,direct_target,central,"rivileged sites, and the continual risk of re-emergence [1]. At the cellular level, productive EBOV infection critically depends on the synthesis, folding, and trafficking of its envelope glycoprotein (GP), a heavily glycosylated class I fusion protein that matures in the endoplasmic reticulum (ER) and is essential for viral entry and infectivity [2]. The ER is a central hub for protein quality control, and aberrant or misfold",Introduction,none,high
