paper_id,pmid,pmcid,doi,title,queue_reason,preferred_source,notes
pmid-42645154,42645154,,10.1097/CCE.0000000000001439,"Proteomic Immune Signatures of Severe HIV-Associated Tuberculosis in Sub-Saharan Africa: A Prospective, Multicenter Analysis From Uganda.",No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42634427,42634427,,10.1177/10430342261463565,Triple-Target CRISPR Strategy to Block HIV Entry and Replication in Permissive Cells.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42620239,42620239,PMC13484676,10.64898/2026.08.04.742754,Peptide tiling across viral proteomes identifies modular regulators of stress-induced cell death.,PMC XML unusable for normalization.,publisher_pdf_or_user_download,PMC XML body text is too short for normalization. Unusable PMC XML deleted from run artifacts.
pmid-42620025,42620025,PMC13484655,10.64898/2026.08.03.742552,HIV-1 Hijacks HGF/c-MET Signaling to Promote Viral Entry and Replication in Primary CD4 (+) T Cells.,PMC XML unusable for normalization.,publisher_pdf_or_user_download,PMC XML body text is too short for normalization. Unusable PMC XML deleted from run artifacts.
pmid-42619998,42619998,PMC13484650,10.64898/2026.08.03.742570,SAMHD1 enhances HIV-1-induced glycolysis in monocytic cells through hexokinase 2 upregulation.,PMC XML unusable for normalization.,publisher_pdf_or_user_download,PMC XML body text is too short for normalization. Unusable PMC XML deleted from run artifacts.
pmid-42562331,42562331,,10.1016/j.bcp.2026.118321,The L-type calcium channel Ca(v)1.2 mediates influenza A virus infection by regulating viral internalization and endoplasmic reticulum homeostasis.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42556014,42556014,,10.1016/j.compbiolchem.2026.109297,A machine learning-derived aging-related gene signature for diagnosing HCV cirrhosis: Insights into immune microenvironment and therapeutic targets.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42532196,42532196,,10.1016/j.antiviral.2026.106494,A high-throughput screen to identify potential inhibitors of HSV-2.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42526681,42526681,,10.1016/j.ibmb.2026.104643,Aedes aegypti calreticulin promotes dengue virus replication and transmission by glycan-dependent binding to the prM protein.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42520937,42520937,,10.1016/j.jbc.2026.113369,FOXA2 potently represses NF-κB-dependent transcription from viral promoters in liver cells.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42517334,42517334,,10.1080/07391102.2026.2708780,Computational insights into dengue virus envelope protein triggered membrane fusion process.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42508644,42508644,,10.1016/j.ajt.2026.07.028,KSHV-Associated Diseases in Solid Organ Transplantation: Toward a Coordinated National Strategy in the United States.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42501872,42501872,,10.1016/j.bcp.2026.118282,Pharmacological inhibition of neddylation by MLN4924 protects against Coxsackievirus B3-induced myocarditis.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42496957,42496957,,10.1007/s11033-026-12203-0,Small nucleolar RNA host genes in hepatocellular carcinoma: an evidence-weighted and etiology-aware framework for mechanistic and translational interpretation.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42476261,42476261,,10.1016/j.virs.2026.07.007,ZNF598 enhances FAT10-mediated non-covalent stabilization of Tat to promote HIV-1 transcription and replication.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42462823,42462823,,10.1016/j.jhep.2026.06.045,Disruption of carbon metabolism by the hepatic mononuclear phagocytic system drives liver injury in a mouse model of severe dengue.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42424865,42424865,,10.1016/j.virol.2026.111025,Development of a virus particle fusion assay to study and target virus entry.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42415087,42415087,,10.1186/s12985-026-03239-6,Cellular receptors and host factors mediating orthoflavivirus entry.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42403244,42403244,PMC13349425,10.1002/jmv.71043,JQKD82 Inhibits HIV Infection of Macrophages Through Blocking Viral Entry and Enhancing Antiviral ISG Responses.,PMC XML unusable for normalization.,publisher_pdf_or_user_download,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-42367932,42367932,PMC13308050,10.64898/2026.06.14.732158,HIV-1-induced small T cell syncytia: susceptibility to direct NK cell killing.,PMC XML unusable for normalization.,publisher_pdf_or_user_download,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-42336219,42336219,,10.1016/j.antiviral.2026.106471,ITGA4 drives pathogenesis of flavivirus and inhibition of it protects mice against Japanese encephalitis virus infection.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42334524,42334524,,10.1007/s11010-026-05599-7,Hijacking the cytoskeleton: association of HCV polymerase with α/β-tubulin and its potential relation to the viral replication and cell proliferation.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42327289,42327289,PMC13278084,10.64898/2026.06.11.731520,Gene duplication and retrotransposition diversify the antiviral repertoire of macaque IFITM proteins.,PMC XML unusable for normalization.,publisher_pdf_or_user_download,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-42322610,42322610,,10.1016/j.celrep.2026.117558,Comprehensive mapping of the virus and host factors that guide the paths of HIV-1 escape from a therapeutic.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42257816,42257816,,10.1007/s12013-026-02094-0,Consensus transcriptional signature of dengue virus infection reveals coordinated interferon suppression and stress-response activation.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42224936,42224936,,10.1016/j.ejmech.2026.119011,"Dengue virus nonstructural proteins as small-molecule targets: Advances, challenges, and future directions.",No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42173631,42173631,,10.1016/bs.pmbts.2026.02.005,AI in multi-omics analysis in viral diseases.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42173436,42173436,,10.1016/j.jmb.2026.169875,Biophysical Characterization of Ebola VP35 Protein Binding to Host Mindbomb Protein 2.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42152487,42152487,,10.1080/15548627.2026.2677196,USF2 restricts enterovirus replication and transmission by inhibiting autophagy and vesicle-mediated viral spread.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42138644,42138644,,10.1093/bbb/zbag070,Roquefortine C isolated from a quail feces-derived fungus exhibits aryl hydrocarbon receptor antagonistic and broad-spectrum antiviral activities.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42129077,42129077,,10.1007/978-3-032-22340-1_9,Proteomic Analysis of Influenza.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42048450,42048450,PMC13142951,10.1073/pnas.2532659123,HIV-1 infection induces Vif-mediated SUMOylation of host RNA splicing factors important for proper viral RNA splicing.,PMC XML unusable for normalization.,publisher_pdf_or_user_download,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-42014928,42014928,,10.1021/acsinfecdis.6c00091,Drug Discovery of Antiviral Inhibitors Targeting Dengue Virus NS4B Protein.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-41993345,41993345,PMC13081887,10.64898/2026.04.08.717209,The ENL-USP7 Complex Regulates HIV Latency Through BRD4 Stabilization.,PMC XML unusable for normalization.,publisher_pdf_or_user_download,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-41968303,41968303,PMC13140791,10.1093/molecular-omics/aaiag015,Placental metabolomics for assessment of pregnancy complications: a systematic review.,PMC XML unusable for normalization.,publisher_pdf_or_user_download,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-41808998,41808998,PMC12970332,10.64898/2026.02.25.708077,Calcium-phosphate bridge is a novel phosphorylation switch that stabilises protein-complexes during HIV assembly.,PMC XML unusable for normalization.,publisher_pdf_or_user_download,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-41779781,41779781,PMC12974410,10.1073/pnas.2529289123,EIF4H and YBX1 are essential host factors for hepatitis E virus replication and pathogenesis.,PMC XML unusable for normalization.,publisher_pdf_or_user_download,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-41640362,41640362,,10.1093/infdis/jiag072,Multiancestry Genome-Wide Association Study Identifies Variants in a Zinc Finger Gene Cluster as Novel Regulators of HIV Control.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-41629003,41629003,,10.1016/j.pestbp.2025.106934,Aedes albopictus CYP6Z8 metabolizes multiple AChE-inhibiting insecticides.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-41478287,41478287,,10.1016/j.str.2025.12.008,Cross-linking mass spectrometry and structural modeling identifies compact conformation of DENV NS2B cofactor region bound to NS3.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-41447542,41447542,,10.1021/acs.analchem.5c04822,High Na-Adducted Ion Selectivity in Laser Desorption/Ionization Mass Spectrometry with a Steric-Tuned COF.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-41329415,41329415,,10.1007/s11262-025-02204-9,Exploring potential gene signatures in dengue through machine learning and deep learning approaches.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-41326089,41326089,,10.1016/j.pestbp.2025.106719,"Larvicidal efficacy of Varronia curassavica leaf phytochemicals against Aedes aegypti: anatomical, histological and cytotoxic analyses.",No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-41056822,41056822,,10.1016/j.ejmech.2025.118208,Antiviral strategies based on targeted protein degradation: An overview of the literature and future outlook.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-41035123,41035123,,10.1097/FTD.0000000000001397,Liquid Chromatography-Tandem Mass Spectrometry Method for Simultaneous Quantification of Four Endocannabinoids and Endocannabinoid-Like Substances in Plasma: Application in an HIV-Hepatitis C Virus Coinfected Population.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-39987330,39987330,,10.1007/s12033-025-01407-7,"Analyzing the Molecular Signature Genes and Pathways of Dengue Fever, Dengue Hemorrhagic Fever and Dengue Shock Syndrome Caused by Dengue Virus in India.",No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-41502203,41502203,,,Typhoid Fever in Indonesia: Pitfalls in the Diagnosis of Typhoid Fever.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-41197812,41197812,,10.1016/j.antiviral.2025.106307,Repurposed doxepin targeting host AXL kinase to disrupt viral 2C-mediated immune evasion in Coxsackievirus B infection.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-41137368,41137368,,10.1515/jcim-2025-0132,"Molecular docking, molecular dynamic simulation, and ADME analysis of Moringa oleifera phytochemicals targeting NS5 protein: towards the development of novel anti-dengue therapeutics.",No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-41033169,41033169,,10.1016/j.jiph.2025.102981,Long-term effects of HCV eradication on lipid profiles associated with MASLD among people with HIV with advanced fibrosis or cirrhosis.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-40919324,40919324,PMC12409738,10.1093/narmme/ugaf015,Zika and dengue viruses differentially modulate host mRNA processing factors defining its virulence.,PMC XML unusable for normalization.,publisher_pdf_or_user_download,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-40812145,40812145,,10.1002/cbdv.202500951,Secondary Metabolites of Mansonia gagei and Their Potential Anti-dengue Properties.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-40791402,40791402,PMC12338683,10.1101/2025.07.15.664896,Dual Role of Glycosylation in Resistance to CD4-binding Site Broadly Neutralizing Antibodies.,PMC XML unusable for normalization.,publisher_pdf_or_user_download,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-40791337,40791337,PMC12338750,10.1101/2025.07.18.665639,Abnormal Vaginal Microbiota Associated with miRNA Targeting the HIV-Host Interactome.,PMC XML unusable for normalization.,publisher_pdf_or_user_download,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-40780477,40780477,,10.1016/j.jep.2025.120388,"Exploring the protective effects of Huangyangning dispersible tablets against Doxorubicin-induced cardiotoxicity based on UHPLC-Q-TOF-MS/MS, network pharmacology, molecular docking and experimental validation in vivo and in vitro.",No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-40777346,40777346,PMC12330720,10.1101/2025.07.21.665982,MICRORNAS REGULATED BY PREGNANCY TARGET THE HIV INTERACTOME.,PMC XML unusable for normalization.,publisher_pdf_or_user_download,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-40777276,40777276,PMC12330700,10.1101/2025.07.18.665572,"RNase L regulates the antiviral proteome by accelerating mRNA decay, inhibiting nuclear mRNA export, and repressing RNAPII-mediated transcription.",PMC XML unusable for normalization.,publisher_pdf_or_user_download,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-40772600,40772600,,10.1002/jmv.70543,Dynamic Interplay Between miR-133a and RBMX During Dengue Virus Infection.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-40766577,40766577,PMC12324263,10.1101/2025.07.28.667227,Arf GTPases Define BST-2-Independent Pathways for HIV-1 Assembly and Release.,PMC XML unusable for normalization.,publisher_pdf_or_user_download,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-40689623,40689623,PMC12345215,10.1128/mbio.01465-25,ASCT2 inhibits HIV-1 infectivity by promoting the incorporation of a gp160/ASCT2 complex into virions.,PMC XML unusable for normalization.,publisher_pdf_or_user_download,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-40672252,40672252,PMC12265676,10.1101/2025.07.07.663519,BST-2 inhibits SARS-CoV-2 egress at intracellular membranes and is neutralized by ORF7a.,PMC XML unusable for normalization.,publisher_pdf_or_user_download,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-40645353,40645353,,10.1016/j.micpath.2025.107885,Computational Screening and Cytotoxic Analysis of Beta vulgaris L. phytoconstituents as potent Dengue virus-NS5 Polymerase inhibitors.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-40582629,40582629,,10.1016/j.reprotox.2025.108980,Deep RNA analyses for BeWo cells and placentae of HIV positive pregnant women treated with lopinavir/ritonavir.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-40568118,40568118,PMC12191102,10.1101/2025.04.08.647834,Caspase Cleavage of Kaposi Sarcoma-Associated Herpesvirus Proteins: A role for K5 in Preventing Caspase-Mediated Cell Death during Lytic Replication.,PMC XML unusable for normalization.,publisher_pdf_or_user_download,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-40562220,40562220,,10.1016/j.antiviral.2025.106219,Antisense oligonucleotides as drugs with both direct and indirect antiviral actions.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-40502057,40502057,PMC12157544,10.1101/2025.06.03.657666,Global proteomic analysis of Cryptococcus neoformans clinical strains reveals significant differences between latent and lethal infection.,PMC XML unusable for normalization.,publisher_pdf_or_user_download,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-40501710,40501710,PMC12154660,10.1101/2025.05.24.655874,High-throughput screening for class I peptide MHC binding via yeast surface display.,PMC XML unusable for normalization.,publisher_pdf_or_user_download,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-40463274,40463274,PMC12132369,10.1101/2025.05.13.653779,A compact viral IRES translates a downstream open reading frame.,PMC XML unusable for normalization.,publisher_pdf_or_user_download,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-40448527,40448527,,10.1002/1873-3468.70084,Development of a chemically induced dissociation system via phage surface-displayed nanobody screening.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-40353973,40353973,,10.1134/S1607672925600149,New Cellular Partners of HIV-1 Integrase and their Role in Viral Replication.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-40353321,40353321,,10.1002/1873-3468.70054,Structure-based identification of herbacetin and caffeic acid phenethyl ester as inhibitors of S-adenosylmethionine-dependent viral methyltransferase.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-40262431,40262431,,10.1016/j.virol.2025.110531,Investigation of endocytic pathways during entry of RNA viruses reveal novel host proteins as lipid raft dependent endocytosis mediators.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-40250655,40250655,,10.1016/j.ijbiomac.2025.143217,Decoding potential host protein targets against Flaviviridae using protein-protein interaction network.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-40029387,40029387,,10.1007/s00210-025-03893-7,MicroRNAs in HIV infection: dual regulators of viral replication and host immunity.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-40015031,40015031,,10.1016/j.virol.2025.110461,"Viral oncogenesis of δ-retroviruses, HTLV-1 and BLV, and recent advances in its diagnosis.",No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-39984034,39984034,,10.1016/j.jprot.2025.105410,Expanded characterization and localization of male seminal fluid proteins within the female reproductive tract of the dengue vector mosquito Aedes aegypti.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-39900759,39900759,,10.1007/978-1-0716-4276-4_8,RNA-Seq and Gene Set Enrichment Analysis (GSEA) in Peripheral Blood Mononuclear Cells (PBMCs).,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-39896566,39896566,PMC11785233,10.1101/2025.01.22.634336,Host microRNA-31-5p represses oncogenic herpesvirus lytic reactivation by restricting the RNA-binding protein KHDRBS3-mediated viral gene expression.,PMC XML unusable for normalization.,publisher_pdf_or_user_download,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-39733555,39733555,,10.1016/j.compbiomed.2024.109573,ViroNia: LSTM based proteomics model for precise prediction of HCV.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-39633541,39633541,,10.1097/COH.0000000000000896,Advances in the mathematical modeling of posttreatment control of HIV-1.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-39585616,39585616,,10.1007/978-1-0716-4256-6_7,Proximity Proteomics to Profile Ebola Virus Protein Interactome in Its Functional Context.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-39581368,39581368,,10.1016/j.envpol.2024.125383,"Mixtures of toxic organic micropollutants compromise the safety of water resources in urban agglomerations in low- and medium-income countries: The example of Lahore, Pakistan.",No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-39508307,39508307,PMC12506910,10.1080/21688370.2024.2424628,Dengue virus NS1 hits hard at the barrier integrity of human cerebral microvascular endothelial cells via cellular microRNA dysregulations.,PMC XML unusable for normalization.,publisher_pdf_or_user_download,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-39469906,39469906,,10.1002/ps.8495,The V410L kdr allele in the VGSC confers higher levels of field resistance to permethrin in urban mosquito populations of Aedes aegypti (L.).,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-39414178,39414178,,10.1016/j.bbi.2024.09.038,Acute effects of interferon-alpha on cellular anabolic and catabolic processes are associated with the development of fatigue during Interferon-alpha-based therapy for Hepatitis-C: A preliminary study.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-39276980,39276980,,10.1016/j.aohep.2024.101582,Surveillance and management of hepatocellular carcinoma after treatment of hepatitis C with direct-acting antiviral drugs.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-39490942,39490942,,10.1016/j.micpath.2024.107060,Targeting PI3Kγ Pathway for Treating Dengue virus Infection.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-39480090,39480090,PMC11575316,10.1128/jvi.00947-24,Cyclophilin A facilitates HIV-1 integration.,PMC XML unusable for normalization.,publisher_pdf_or_user_download,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-39389033,39389033,,10.1016/j.chom.2024.09.002,MX2 forms nucleoporin-comprising cytoplasmic biomolecular condensates that lure viral capsids.,No PMCID coverage available.,publisher_pdf_or_user_download,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-39345617,39345617,PMC11429871,10.1101/2024.09.14.613037,Extracellular condensates (ECs) are endogenous modulators of HIV transcription and latency reactivation.,PMC XML unusable for normalization.,publisher_pdf_or_user_download,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
