paper_id,pmid,pmcid,doi,title,normalized_source_type,normalized_path,fulltext_decision,fulltext_rationale,mechanistic_relevance,objective_relevance,topic_centrality,review_confidence
pmid-42539190,42539190,PMC13419777,10.64898/2026.07.21.739879,The HIV-1 restriction factor RPRD2 does not inhibit transcription of HIV-1 or endogenous retroelements.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC13419777.json,keep,"Full text centers a primary virus and provides assay-supported host interaction, host factor, or pathway mechanism evidence.",high,high,central,high
pmid-42515605,42515605,PMC13431474,10.3390/v18070753,MicroRNAs Regulated by Pregnancy Target Antiviral and Cancer Immunity Overlapping with the HIV Interactome.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC13431474.json,keep,"Full text centers a primary virus and provides assay-supported host interaction, host factor, or pathway mechanism evidence.",high,high,central,high
pmid-42507754,42507754,PMC13405069,10.1371/journal.ppat.1014400,VRK3 promotes KSHV infection by suppressing the antiviral type I interferon response.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC13405069.json,keep,"Full text centers a primary virus and provides assay-supported host interaction, host factor, or pathway mechanism evidence.",high,high,central,high
pmid-42418426,42418426,PMC13345423,10.1371/journal.ppat.1014376,Independent proviral and antiviral host factors recognize the same capsid protein in divergent human herpesviruses.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC13345423.json,keep,"Full text contains useful host-pathogen assay or pathway evidence, but the primary-virus mechanism is less central than in direct papers.",medium,medium,supporting,medium
pmid-42391313,42391313,PMC13345468,10.1371/journal.ppat.1014415,"RNF31 restricts EV-A71 replication through innate immune activation and VP4 degradation, and is antagonized by viral 3C proteases.",pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC13345468.json,keep,"Full text contains useful host-pathogen assay or pathway evidence, but the primary-virus mechanism is less central than in direct papers.",medium,medium,supporting,medium
pmid-42391287,42391287,PMC13334546,10.1099/jgv.0.002288,"GRHAL1, a novel lncRNA, regulates HIV-1 gene expression by modulating Tat- and Sp1-mediated HIV-1 LTR activation.",pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC13334546.json,keep,Full text links a primary virus to a host factor or host pathway mechanism.,high,high,central,medium
pmid-42312836,42312836,PMC13386948,10.1128/jvi.00638-26,Palmitoylation of CLDN12 regulated by ZDHHC7 and APT1/2 promotes hepatitis C virus entry.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC13386948.json,keep,Full text links a primary virus to a host factor or host pathway mechanism.,high,high,central,medium
pmid-42287495,42287495,PMC13264558,10.1007/s00705-026-06669-3,The role of DPP4 in viral infections: from receptor biology to antiviral target.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC13264558.json,keep,"Full text contains useful host-pathogen assay or pathway evidence, but the primary-virus mechanism is less central than in direct papers.",medium,medium,supporting,medium
pmid-42253925,42253925,PMC13240522,10.1002/mco2.70785,Human Coronavirus 229E Uses ORF4/4a to Antagonize the Host Restriction Factor SERINC5.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC13240522.json,keep,"Full text has plausible host pathway or host-factor mechanism context for a primary virus, but evidence is not strongly assay-centered.",medium,medium,supporting,low
pmid-42231789,42231789,PMC13336449,10.1002/advs.202521781,UCHL3 Regulates Subgenomic Flaviviral RNA Condensates to Promote Virus Propagation.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC13336449.json,keep,"Full text contains useful host-pathogen assay or pathway evidence, but the primary-virus mechanism is less central than in direct papers.",medium,medium,supporting,medium
