paper_id,pmid,doi,title,year,publication_types,priority,evidence_category,learned_criteria_matched,shortlist_rationale
pmid-18220729,18220729,10.2174/187152907782793545,Role of PI3 kinase gamma in excitation-contraction coupling and heart disease.,2007,"Journal Article;Research Support, Non-U.S. Gov't;Review",high,strong_learned_match,pik3ca; progression; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; pi3k; pi3k alpha; resistance,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-21420991,21420991,10.1016/j.steroids.2011.02.023,Importance of PI3-kinase pathway in response/resistance to aromatase inhibitors.,2011,Journal Article;Review,high,strong_learned_match,pik3ca; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; pi3k; endocrine resistance; pi3k alpha; resistance,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-21876152,21876152,10.1073/pnas.1108237108,PI3K-targeted therapy can be evaded by gene amplification along the MYC-eukaryotic translation initiation factor 4E (eIF4E) axis.,2011,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S.",high,strong_learned_match,pik3ca; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; pi3k; pi3k alpha; resistance; pi3k-alpha,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-21258250,21258250,10.1097/JTO.0b013e31820a3a6b,Phosphoinositide-3-kinase catalytic alpha and KRAS mutations are important predictors of resistance to therapy with epidermal growth factor receptor tyrosine kinase inhibitors in patients with advanced non-small cell lung cancer.,2011,"Journal Article;Research Support, Non-U.S. Gov't",high,strong_learned_match,pik3ca; progression; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; pi3k; pi3k alpha; resistance,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-21289267,21289267,10.1210/jc.2010-2644,The Akt-specific inhibitor MK2206 selectively inhibits thyroid cancer cells harboring mutations that can activate the PI3K/Akt pathway.,2011,"Journal Article;Research Support, N.I.H., Extramural",high,strong_learned_match,pik3ca; alpelisib; inavolisib; adaptive resistance; feedback activation; bypass signaling; compensatory signaling; pi3k; pi3k alpha; pathway reactivation,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-22925034,22925034,10.1111/cas.12004,Establishment of phosphatidylinositol 3-kinase inhibitor-resistant cancer cell lines and therapeutic strategies for overcoming the resistance.,2012,"Journal Article;Research Support, Non-U.S. Gov't",high,strong_learned_match,pik3ca; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; pi3k; pi3k alpha; resistance; pi3k-alpha,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-21996585,21996585,10.1016/j.cellsig.2011.09.030,Features of the reversible sensitivity-resistance transition in PI3K/PTEN/AKT signalling network after HER2 inhibition.,2012,"Journal Article;Research Support, Non-U.S. Gov't",high,strong_learned_match,pik3ca; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; pi3k; pi3k alpha; resistance; pi3k-alpha,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-23533233,23533233,10.1210/jc.2012-3933,Clinical outcomes and molecular profile of differentiated thyroid cancers with radioiodine-avid distant metastases.,2013,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",high,strong_learned_match,pik3ca; progression; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; pi3k; cancers; pi3k alpha,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-23664448,23664448,10.1016/j.lungcan.2013.02.021,Clinical perspective of afatinib in non-small cell lung cancer.,2013,"Journal Article;Research Support, Non-U.S. Gov't;Review",high,strong_learned_match,pik3ca; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; pi3k; pi3k alpha; resistance; pi3k-alpha,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-23478237,23478237,10.1016/j.molonc.2013.02.003,Genetically engineered mouse models of PI3K signaling in breast cancer.,2013,"Journal Article;Research Support, Non-U.S. Gov't;Review",high,strong_learned_match,pik3ca; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; pi3k; cancers; pi3k alpha; resistance,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-23948972,23948972,10.1158/1078-0432.CCR-13-0661,Identification of multiple mechanisms of resistance to vemurafenib in a patient with BRAFV600E-mutated cutaneous melanoma successfully rechallenged after progression.,2013,"Journal Article;Research Support, Non-U.S. Gov't",high,strong_learned_match,pik3ca; progression; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; pi3k; pi3k alpha; resistance,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-23940356,23940356,10.1073/pnas.1303204110,Mutant PIK3CA accelerates HER2-driven transgenic mammary tumors and induces resistance to combinations of anti-HER2 therapies.,2013,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S.",high,strong_learned_match,pik3ca; progression; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; pi3k; cancers; pi3k alpha,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-23281932,23281932,10.1517/14712598.2012.756469,Optimizing treatment of metastatic colorectal cancer patients with anti-EGFR antibodies: overcoming the mechanisms of cancer cell resistance.,2013,"Journal Article;Research Support, Non-U.S. Gov't;Review",high,strong_learned_match,pik3ca; progression; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; pi3k; pi3k alpha; resistance,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-23341541,23341541,10.1182/blood-2012-10-460832,"P110α-mediated constitutive PI3K signaling limits the efficacy of p110δ-selective inhibition in mantle cell lymphoma, particularly with multiple relapse.",2013,"Evaluation Study;Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",high,strong_learned_match,pik3ca; progression; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; pi3k; pi3k alpha; resistance,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-25285632,25285632,10.1016/j.bbrc.2014.09.129,An IL6-STAT3 loop mediates resistance to PI3K inhibitors by inducing epithelial-mesenchymal transition and cancer stem cell expansion in human breast cancer cells.,2014,Journal Article,high,strong_learned_match,pik3ca; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; adaptive resistance; feedback activation; bypass signaling; compensatory signaling,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-24354593,24354593,10.1517/14728214.2014.873403,Emerging protein kinase inhibitors for non-small cell lung cancer.,2014,Journal Article;Review,high,strong_learned_match,pik3ca; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; pi3k; pi3k alpha; resistance; pi3k-alpha,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-24597478,24597478,10.1111/bph.12668,Increased drug resistance is associated with reduced glucose levels and an enhanced glycolysis phenotype.,2014,"Journal Article;Research Support, Non-U.S. Gov't",high,strong_learned_match,pik3ca; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; pi3k; pi3k alpha; resistance; pi3k-alpha,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-24735368,24735368,10.2174/0929867321666140414100127,Targeting drug-resistant prostate cancer with dual PI3K/mTOR inhibition.,2014,"Journal Article;Research Support, Non-U.S. Gov't;Review",high,strong_learned_match,pik3ca; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; pi3k; pi3k alpha; resistance; pi3k-alpha,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-24566025,24566025,10.1016/j.pneumo.2013.12.005,[Therapeutic impact of molecular diagnosis in metastatic non-small cell lung cancer: targeted therapies in 2013].,2014,Journal Article;Review,high,strong_learned_match,pik3ca; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; pi3k; cancers; pi3k alpha; resistance,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-25641339,25641339,10.1016/j.canlet.2015.01.024,Genetic profiling of advanced radioactive iodine-resistant differentiated thyroid cancer and correlation with axitinib efficacy.,2015,"Journal Article;Research Support, Non-U.S. Gov't",high,strong_learned_match,pik3ca; progression; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; pi3k; pi3k alpha; resistance,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-26537074,26537074,,High selectivity of PI3Kβ inhibitors in SETD2-mutated renal clear cell carcinoma.,2015,Journal Article,high,strong_learned_match,pik3ca; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; pi3k; pi3k alpha; resistance; pi3k-alpha,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-25628917,25628917,,MYC-xing it up with PIK3CA mutation and resistance to PI3K inhibitors: summit of two giants in breast cancers.,2015,Journal Article;Review,high,strong_learned_match,pik3ca; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; pi3k; cancers; pi3k alpha; resistance,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-26019172,26019172,10.1158/1078-0432.CCR-15-0211,Maintenance Treatment with Cetuximab and BAY86-9766 Increases Antitumor Efficacy of Irinotecan plus Cetuximab in Human Colorectal Cancer Xenograft Models.,2015,"Journal Article;Research Support, Non-U.S. Gov't",high,strong_learned_match,pik3ca; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; adaptive resistance; feedback activation; bypass signaling; compensatory signaling,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
