paper_id,pmid,title,evidence_tier,evidence_type,directness,target_centrality,evidence_summary,supporting_text_locator,query_feedback_signal,review_confidence,retention_role
pmid-41541182,41541182,"Ovarian mesonephric-like adenocarcinoma mimicking serous carcinoma: A case report integrating cytologic, frozen, histological, immunohistochemistry, and molecular analyses.",direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax8;nuclear;nuclear,none,high,direct_mechanistic
pmid-41417852,41417852,Deciphering the pathogenicity of three NKX2-1 variants in ultra-severe forms of childhood interstitial lung disease.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: nuclear localization;mechanistic;pax8,tighten_query,medium,exclude
pmid-41054284,41054284,ARC-18 Improved Motor Performance Through Inhibiting ACLY-Mediated Smad2/3 Acetylation in a Model of Duchenne Muscular Dystrophy.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: nuclear localization;pax7;pax,tighten_query,medium,exclude
pmid-40229275,40229275,Programmable protein stabilization with language model-derived peptide guides.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: pax3,tighten_query,medium,exclude
pmid-40203790,40203790,CUL4B regulates thyroid cancer differentiation and treatment sensitivity by ubiquitinating ARID1A.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: transcriptional regulation;pax8,tighten_query,medium,exclude
pmid-39615561,39615561,Myofibers cultured in viscoelastic hydrogels reveal the effects of integrin-binding and mechanosensing on muscle satellite cells.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: or pax7;pax7,tighten_query,medium,exclude
pmid-39424985,39424985,A SIRT7-dependent acetylation switch regulates early B cell differentiation and lineage commitment through Pax5.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax5;protein stability;half-life;stability,none,high,direct_mechanistic
pmid-39108486,39108486,Programmable Protein Stabilization with Language Model-Derived Peptide Guides.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: or degradation;pax3,tighten_query,medium,exclude
pmid-39094501,39094501,In ovo betaine injection improves breast muscle growth in newly hatched goslings through FXR/IGF-2 pathway.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax7;nuclear;nuclear,none,high,direct_mechanistic
pmid-39056058,39056058,Dietary fishmeal replacement by Clostridium autoethanogenum protein meal influences the nutritional and sensory quality of turbot (Scophthalmus maximus) via the TOR/AAR/AMPK pathways.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: pax,tighten_query,medium,exclude
pmid-38776375,38776375,SUMO-specific protease 1 regulates germinal center B cell response through deSUMOylation of PAX5.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax5;protein stability;stability,none,high,direct_mechanistic
pmid-38657865,38657865,PTIP UFMylation promotes replication fork degradation in BRCA1-deficient cells.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: pax2;pax,tighten_query,medium,exclude
pmid-36860866,36860866,An arrayed CRISPR screen of primary B cells reveals the essential elements of the antibody secretion pathway.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: or degradation;pax5,tighten_query,medium,exclude
