paper_id,pmid,doi,title,abstract,year,journal,authors,source_query,retrieval_batch,record_path
pmid-42619998,42619998,10.64898/2026.08.03.742570,SAMHD1 enhances HIV-1-induced glycolysis in monocytic cells through hexokinase 2 upregulation.,"UNLABELLED: SAMHD1 is a mitochondria-associated cellular protein that restricts HIV-1 replication by depleting intracellular dNTP pools in non-dividing immune cells, such as macrophages, dendritic cells, and resting CD4 + T cells; however, its role in host metabolism remains unclear. Building on our previous finding that SAMHD1 promotes mitochondrial membrane damage in HIV-1-infected monocytic cells, here we identify a new function for SAMHD1 in enhancing HIV-1-induced glycolysis through upregulation of hexokinase 2 (HK2). In monocytic THP-1 cells, but not differentiated macrophage-like cells, SAMHD1 amplifies HIV-1-triggered glucose uptake and basal glycolysis. Mechanistically, SAMHD1 increases HK2 expression and promotes its cytosolic accumulation, leading to elevated reactive oxygen species (ROS) production. This SAMHD1-dependent metabolic rewiring links antiviral restriction to glycolytic control and cellular stress responses. Our findings reveal a cell state-specific role for SAMHD1 in regulating glycolysis during HIV-1 infection, identify HK2 as a key effector, and uncover an unanticipated layer of host-virus interaction in monocytic cells.

IMPORTANCE: SAMHD1 is best known as a restriction factor that inhibits HIV-1 replication mainly through its dNTPase activity. However, emerging evidence suggests that SAMHD1 also regulates mitochondrial homeostasis and cellular metabolism. We previously demonstrated that SAMHD1 promotes HIV-1-induced apoptosis in monocytic cells through a mitochondrial pathway, implicating SAMHD1 in the control of mitochondrial function during infection. Because mitochondria are central regulators of cellular energy metabolism, we investigated whether SAMHD1 influences glycolytic reprogramming in HIV-1-infected monocytic cells. Our results show that SAMHD1 enhances glucose uptake, glycolysis, HK2 expression, and ROS production during HIV-1 infection. These findings reveal a previously unrecognized role for SAMHD1 in coordinating metabolic and oxidative stress responses to HIV-1 infection and provide new mechanistic insight into the interplay between antiviral factors, cellular metabolism, and HIV-1 pathogenesis. Understanding how SAMHD1 regulates glucose metabolism may uncover novel links between innate immune defenses and metabolic disease.",2026,bioRxiv : the preprint server for biology,Yang H;Cheung PH;Wu L,"((HIV[tiab] OR ""human immunodeficiency virus""[tiab]) AND (""host factor""[tiab] OR ""restriction factor""[tiab] OR ""dependency factor""[tiab] OR ""entry factor""[tiab] OR ""host E3 ubiquitin ligase""[tiab] OR ""viral protein-host protein""[tiab]) AND (interacts[tiab] OR binds[tiab] OR recruits[tiab] OR cleaves[tiab] OR degrades[tiab] OR modulates[tiab] OR antagonizes[tiab] OR restricts[tiab] OR promotes[tiab] OR mechanism*[tiab]))",20260827,passes/pass_002/artifacts/metadata_collection/records/pmid-42619998.json
pmid-42588574,42588574,10.3390/molecules31152728,Cross-Family Mechanistic Analysis of Plant Alkaloids Against Neglected Arboviruses and Related RNA Viruses.,"Neglected arboviruses dengue (DENV), Zika (ZIKV), yellow fever (YFV), Japanese encephalitis (JEV), and chikungunya collectively affect hundreds of millions of people annually, yet no specific antiviral drug has been approved for any of them. Alkaloids, nitrogen-containing specialized metabolites produced by diverse plant families, have emerged as a promising source of broad-spectrum antiviral scaffolds. This review compiles and critically analyzes over 100 alkaloid-virus pairs across several RNA virus families, providing a comparative mechanistic analysis. Lycorine, narciclasine, emetine, and berbamine, among others, exhibit potent activity against phylogenetically distant viruses, with the most potent activities reported against flaviviruses (narciclasine: EC50 0.02 µM against DENV, ZIKV, YFV, and JEV; pancratistatine: 0.0063 µM against ZIKV). Structure-activity analysis of multiple alkaloid classes identifies key pharmacophoric features, including the phenanthridine nucleus (lycorine derivatives) and the bis-benzylisoquinoline scaffold (tetrandrine, berbamine), as determinants of antiviral potency, selectivity, and broad-spectrum activity. Genetic resistance data in West Nile virus challenge the widely accepted model of lycorine as a direct nucleoside inhibitor, instead pointing toward the involvement of the membrane-associated NS4A-2K-NS4B replication complex, though direct validation remains limited for other flaviviruses. Converging structural, biochemical, and transcriptomic evidence suggests that ribosome-mediated translational stress may represent an additional host-directed antiviral mechanism for isoquinoline-type alkaloids, though the causal chain from ribosome binding to activation of the integrated stress response and to antiviral effect has not been established. The present analysis highlights that in vivo validation remains limited to a few alkaloid-virus pairs. Unbiased target deconvolution and formal testing of the ribosome/integrated stress response hypothesis stand out as essential research priorities.",2026,"Molecules (Basel, Switzerland)",Régis M;Sanchez Moreno MF;Germain H;Mérindol N;Desgagné-Penix I,"((dengue[tiab] OR DENV[tiab]) AND (""host factor""[tiab] OR ""restriction factor""[tiab] OR ""dependency factor""[tiab] OR ""entry factor""[tiab] OR ""host E3 ubiquitin ligase""[tiab] OR ""viral protein-host protein""[tiab] OR ""replication complex""[tiab]) AND (interacts[tiab] OR binds[tiab] OR recruits[tiab] OR cleaves[tiab] OR degrades[tiab] OR modulates[tiab] OR antagonizes[tiab] OR restricts[tiab] OR promotes[tiab] OR mechanism*[tiab]))",20260827,passes/pass_002/artifacts/metadata_collection/records/pmid-42588574.json
pmid-42580411,42580411,10.1016/j.virs.2026.08.003,Enteroviruses antagonize the host restriction factor ABL2 via proteasomal degradation to facilitate viral replication.,"Enteroviruses, including Coxsackievirus B3 (CVB3), are significant human pathogens that cause severe diseases, such as viral myocarditis, pancreatitis, and encephalitis. ABL proto-oncogene 2 (ABL2), a non-receptor tyrosine-protein kinase, regulates diverse physiological processes and participates in virus infection; however, its role in enterovirus infection remains uncharacterized. Here, we demonstrate a novel host-virus interaction: enteroviruses degrade ABL2 via the ubiquitin-proteasome system through their non-structural protein 2B. Furthermore, ABL2 functions as an antiviral restriction factor during enterovirus infection, specifically inhibiting the early stages of viral replication. Mechanistically, ABL2 directly interacts with RAC1, a Rho family GTPase, and downregulates RAC1 protein levels, thereby suppressing RAC1-dependent activation of the PI3K/AKT signaling pathway. In summary, our study reveals a post-translational mechanism by which enteroviruses evade host antiviral defenses, providing a rationale for therapeutic development against enteroviral diseases.",2026,Virologica Sinica,Yuan M;Qiao X;Wang H;Chen N;Wang Y;Li Y;Zhou X;Ji Z;Shen H,"((coxsackievirus[tiab] OR ""coxsackie virus""[tiab] OR CVB[tiab]) AND (""host factor""[tiab] OR ""restriction factor""[tiab] OR ""dependency factor""[tiab] OR ""entry factor""[tiab] OR ""host E3 ubiquitin ligase""[tiab] OR ""viral protein-host protein""[tiab] OR ""replication complex""[tiab]) AND (interacts[tiab] OR binds[tiab] OR recruits[tiab] OR cleaves[tiab] OR degrades[tiab] OR modulates[tiab] OR antagonizes[tiab] OR restricts[tiab] OR promotes[tiab] OR mechanism*[tiab]))",20260827,passes/pass_002/artifacts/metadata_collection/records/pmid-42580411.json
pmid-42562331,42562331,10.1016/j.bcp.2026.118321,The L-type calcium channel Ca(v)1.2 mediates influenza A virus infection by regulating viral internalization and endoplasmic reticulum homeostasis.,"Influenza A virus (IAV) remains a major global health threat due to its high mutation rate and the emergence of antiviral resistance. Targeting host factors provides an alternative therapeutic strategy to overcome these challenges. Previous studies have shown that the L-type calcium channel Cav1.2 was implicated in viral infections. In this study, we aimed to clarify the mechanism by which Cav1.2 acts as a critical host factor mediating IAV infection, using the dihydropyridine-type calcium channel blocker nisoldipine. Nisoldipine showed notable antiviral activity in both in vitro and in vivo models. Mechanistically, nisoldipine inhibited IAV internalization by targeting Cav1.2, thereby suppressing calcium-dependent activation of the Ras-PI3K-Akt, RhoA-ROCK, and JNK pathways associated with viral internalization. Moreover, nisoldipine modulated the unfolded protein response (UPR) in host cells by promoting adaptive XBP1 splicing and contributed to the maintenance of endoplasmic reticulum (ER) homeostasis during IAV infection. Collectively, these observations support a sequential cascade model: Cav1.2 inhibition restrains viral entry and indirectly mitigates virus-triggered ER stress. Furthermore, nisoldipine exhibits broad-spectrum in vitro antiviral activity against multiple enveloped RNA and DNA viruses, including human coronavirus OC43 (HCoV-OC43), respiratory syncytial virus (RSV), Zika virus (ZIKV), Dengue virus Type 2 (DENV2), and Herpes Simplex Virus Type 1/2 (HSV-1/2). This study clarifies the mechanistic involvement of Cav1.2 in IAV infection and further identifies it as a promising broad-spectrum antiviral target with potential applications in preventing and treating influenza, human coronavirus infections, and other emerging viral diseases.",2026,Biochemical pharmacology,Chen Z;Luo R;Luo S;Zhong H;He X;Li Y;Chen J;Yang J,"((dengue[tiab] OR DENV[tiab]) AND (""host factor""[tiab] OR ""restriction factor""[tiab] OR ""dependency factor""[tiab] OR ""entry factor""[tiab] OR ""host E3 ubiquitin ligase""[tiab] OR ""viral protein-host protein""[tiab] OR ""replication complex""[tiab]) AND (interacts[tiab] OR binds[tiab] OR recruits[tiab] OR cleaves[tiab] OR degrades[tiab] OR modulates[tiab] OR antagonizes[tiab] OR restricts[tiab] OR promotes[tiab] OR mechanism*[tiab]))",20260827,passes/pass_002/artifacts/metadata_collection/records/pmid-42562331.json
pmid-42539190,42539190,10.64898/2026.07.21.739879,The HIV-1 restriction factor RPRD2 does not inhibit transcription of HIV-1 or endogenous retroelements.,"A vital question in transcription regulation is how and to what extent transcription of different DNA species, including viral DNA, episomal DNA and endogenous retroelements, is differentially regulated to transcription of host genes. RPRD2 has previously been characterized as an HIV restriction factor that blocks reverse transcription. However, RPRD2 has also been characterized as a regulator of global transcription of host genes. Therefore, we hypothesized that RPRD2 may also regulate nascent transcription from HIV provirus and endogenous retroelements. First, we used a combination of experimental and computational methods to characterize the binding of RPRD2 to RNA and DNA:RNA hybrids. Using immunoprecipitation, we identified that RPRD2 interacts with both the transcription regulator PAF1 and the HUSH complex member TASOR, independently. Immunofluorescence revealed that GFP-RPRD2 localizes to foci in the nucleus, and these foci overlap with nuclear speckles. To measure the effect of RPRD2 on transcription, we used plasmid-borne HIV LTR-driven reporter constructs and observed that RPRD2 depletion increased transcription of constructs both with and without an intron. We next investigated transcription from integrated proviruses and found no effect of RPRD2 depletion using several different systems. Lastly, we measured transcription of endogenous retroelements and found that RPRD2 depletion did not affect transcription of LINE-1 or HERV-K. Finally, we investigated whether RPRD2 regulates production of IFN in response to nucleic acid species or affects transcription of IFN-stimulated genes. We found that depletion of RPRD2 had no effect on IFN production or ISG expression. Together, our findings demonstrate how regulation of transcription is not universal for host genes, integrated provirus, unintegrated plasmid and endogenous retroviruses, and confirmed that although RPRD2 governs cellular transcription, it does not regulate transcription of HIV-1 provirus or of endogenous retroelements.",2026,bioRxiv : the preprint server for biology,Jackson-Jones KA;Loh HX;Tarcan A;Arif R;Duckett K;Fu RM;Hird C;Ferguson C;Castillo A;Sloan RD,"((HIV[tiab] OR ""human immunodeficiency virus""[tiab]) AND (""host factor""[tiab] OR ""restriction factor""[tiab] OR ""dependency factor""[tiab] OR ""entry factor""[tiab] OR ""host E3 ubiquitin ligase""[tiab] OR ""viral protein-host protein""[tiab]) AND (interacts[tiab] OR binds[tiab] OR recruits[tiab] OR cleaves[tiab] OR degrades[tiab] OR modulates[tiab] OR antagonizes[tiab] OR restricts[tiab] OR promotes[tiab] OR mechanism*[tiab]))",20260827,passes/pass_002/artifacts/metadata_collection/records/pmid-42539190.json
pmid-42525534,42525534,10.1016/j.celrep.2026.117773,MITD1 restricts HIV-1 release by targeting ESCRT-III proteins.,"HIV-1 release from infected cells requires coordinated action of the viral Gag protein and the host endosomal sorting complexes required for transport (ESCRT) machinery. How innate immunity regulates ESCRT function to limit viral egress remains unclear. Here, we show that MITD1, a cell type-specific interferon-stimulated gene, is a potent inhibitor of ESCRT-dependent HIV-1 budding. MITD1 engages ESCRT-III subunits CHMP1B and CHMP4B, driving their incorporation into aggregates and impairing ESCRT-III assembly during HIV-1 budding. This disrupts the final steps of virion release, causing an accumulation of immature particles at the plasma membrane. MITD1 overexpression reduces HIV-1 release from cell lines, primary peripheral blood mononuclear cells (PBMCs), and human microglia, while sparing the release of ESCRT-independent viruses. These findings establish MITD1 as an interferon-stimulated restriction factor that limits HIV-1 egress by perturbing ESCRT-III assembly.",2026,Cell reports,Zoladek J;Cannac M;Lacouture C;Perdriau E;Burlaud-Gaillard J;Roingeard P;Muriaux D;Nisole S,"((HIV[tiab] OR ""human immunodeficiency virus""[tiab]) AND (""host factor""[tiab] OR ""restriction factor""[tiab] OR ""dependency factor""[tiab] OR ""entry factor""[tiab] OR ""host E3 ubiquitin ligase""[tiab] OR ""viral protein-host protein""[tiab]) AND (interacts[tiab] OR binds[tiab] OR recruits[tiab] OR cleaves[tiab] OR degrades[tiab] OR modulates[tiab] OR antagonizes[tiab] OR restricts[tiab] OR promotes[tiab] OR mechanism*[tiab]))",20260827,passes/pass_002/artifacts/metadata_collection/records/pmid-42525534.json
pmid-42520937,42520937,10.1016/j.jbc.2026.113369,FOXA2 potently represses NF-κB-dependent transcription from viral promoters in liver cells.,"The transcription factor Forkhead box A2 (FOXA2) is a key regulator of endoderm development and mature endoderm-derived organs, including the liver, and tight control of its expression and activity is paramount for proper execution of developmental and homeostatic gene programs. Despite its established role as a pioneer transcription factor and transcriptional activator, FOXA2 exhibited robust repressive activity in differentiated liver cells. FOXA2 overexpression led to widespread repression of endogenous genes, including autorepression of the FOXA2 locus, and to dramatic suppression of viral regulatory elements. Among these, the SV40 virus early promoter-an essential driver of viral replication and cellular transformation-was strongly repressed by FOXA2. Repression was most pronounced on regulatory elements whose activity is dependent on nuclear factor κB (NF-κB). For the SV40 early promoter, NF-κB binding sites were necessary and sufficient for FOXA2-dependent repression. Consistent with this, the DNA binding domain of FOXA2 was sufficient to mediate repression of NF-κB-driven promoters. EMSA and immunoblot analyses indicated that FOXA2 does not repress these promoters through direct competition with NF-κB for DNA binding. Instead, FOXA2 expression was associated with reduced NF-κB protein abundance, at least in part through proteasome-dependent degradation, revealing a novel indirect mechanism by which FOXA2 constrains NF-κB-dependent transcription. Since many viruses, including SV40 and HIV-1, rely heavily on NF-κB activity to drive early gene expression and the transition from latency to productive infection, our findings suggest that FOXA2 may function as a host-derived, context-dependent restriction factor that limits viral gene expression in differentiated tissues.",2026,The Journal of biological chemistry,Suleiman T;Walker MD,"((HIV[tiab] OR ""human immunodeficiency virus""[tiab]) AND (""host factor""[tiab] OR ""restriction factor""[tiab] OR ""dependency factor""[tiab] OR ""entry factor""[tiab] OR ""host E3 ubiquitin ligase""[tiab] OR ""viral protein-host protein""[tiab]) AND (interacts[tiab] OR binds[tiab] OR recruits[tiab] OR cleaves[tiab] OR degrades[tiab] OR modulates[tiab] OR antagonizes[tiab] OR restricts[tiab] OR promotes[tiab] OR mechanism*[tiab]))",20260827,passes/pass_002/artifacts/metadata_collection/records/pmid-42520937.json
pmid-42515639,42515639,10.3390/v18070787,Structural Basis of Intermolecular Interactions Between APOBEC3 and HIV-1 Vif.,"The human APOBEC3 (A3) family of cytidine deaminases, including A3G, A3F, and A3H, participates in cellular anti-retroviral immunity. In contrast, to antagonize the anti-retroviral activities of these A3 family proteins, HIV-1 produces its gene product called viral infectivity factor (Vif) in infected cells. Vif is a pleiotropic hub protein that specifically binds to various A3 proteins with the aid of host core-binding factor subunit β (CBF-β) and mediates their proteasomal degradation. To date, numerous biological and structural studies have been performed to understand the arms race between A3 and Vif. Previous extensive mutagenesis and structural analyses have suggested that there are three distinct types of Vif-binding interfaces among human A3s and three largely nonoverlapping interfaces on Vif for binding with these A3s. Moreover, recent cryo-electron microscopy (cryo-EM) structural analyses have clarified further details of the different intermolecular interactions of Vif with each of three human A3s (A3G, A3F, and A3H) and have proposed a possible mechanism by which one Vif molecule can recognize all three types of A3s. In this review, we summarize the current understanding of the structural basis of the interaction between A3 and Vif. This information may be helpful for developing drugs targeting these interfaces.",2026,Viruses,Ode H;Iwatani Y,"((HIV[tiab] OR ""human immunodeficiency virus""[tiab]) AND (""host factor""[tiab] OR ""restriction factor""[tiab] OR ""dependency factor""[tiab] OR ""entry factor""[tiab] OR ""host E3 ubiquitin ligase""[tiab] OR ""viral protein-host protein""[tiab]) AND (interacts[tiab] OR binds[tiab] OR recruits[tiab] OR cleaves[tiab] OR degrades[tiab] OR modulates[tiab] OR antagonizes[tiab] OR restricts[tiab] OR promotes[tiab] OR mechanism*[tiab]))",20260827,passes/pass_002/artifacts/metadata_collection/records/pmid-42515639.json
pmid-42515605,42515605,10.3390/v18070753,MicroRNAs Regulated by Pregnancy Target Antiviral and Cancer Immunity Overlapping with the HIV Interactome.,"Innate immunity predictors of HIV-1 risk and pathogenesis vary with reproductive hormones, pregnancy, and lactation, yet the underlying mechanisms remain unclear. We hypothesized that pregnancy-associated physiological adaptations alter systemic microRNA (miRNA) expression, thereby regulating immunity, pathogenesis and susceptibility to infection. We analyzed 174 serum samples from 88 participants in a longitudinal cohort from Uganda and Zimbabwe across pre-pregnancy (PP), pregnancy (P), and postpartum breastfeeding (BF). Cell-free peripheral blood miRNAs (n = 2083) were profiled using HTG EdgeSeq. Pregnancy-specific miRNAs were identified by intersecting differentially expressed (DE) miRNAs from P vs. PP and P vs. BF comparisons. miRNA targets and pathways were analyzed using miRWalk, Cytoscape/ClueGO, and cytoHubba. Pregnancy was associated with DE miRNAs (29 upregulated and 131 downregulated) targeting 2733 validated genes. Enriched pathways (FDR < 0.05) included adaptive immune response, Hippo Signaling, Cellular Senescence, HSV-1 infection, and two cancer-related pathways. Pregnancy-enriched targets within each pathway overlapped with the HIV-host interactome by 37-88%. Network analysis identified 47 hub genes interacting with 18 HIV-1 proteins, with Tat and gp120 being most connected viral and HLA-A being the most connected host protein. These findings indicate that pregnancy-driven systemic miRNAs target the HIV-host interactome and specifically identify pregnancy-enriched central hub genes involved in cell cycle control, viral immune evasion and replication to be further investigated for their predictive value in HIV acquisition and pathogenesis in longitudinal cohorts and experimental settings.",2026,Viruses,Cezar-de-Mello PFT;Dreyfuss JM;Chen PL;Yamamoto H;Gao X;Pan H;Morrison C;Doncel GF;Barbieri RL;Fichorova RN,"((HIV[tiab] OR ""human immunodeficiency virus""[tiab]) AND (interactome[tiab] OR AP-MS[tiab] OR ""affinity purification mass spectrometry""[tiab] OR ""proximity proteomics""[tiab] OR ""proximity labeling""[tiab] OR BioID[tiab] OR ""protein interaction mapping""[tiab] OR (""viral protein""[tiab] AND (""host protein""[tiab] OR ""cellular protein""[tiab]))))",20260827,passes/pass_002/artifacts/metadata_collection/records/pmid-42515605.json
pmid-42515093,42515093,10.3390/pathogens15070766,"Hiding in Plain Sight: HIV-1 Membraneless Organelles as Nuclear Hubs-Host Hijacking, Replication, Immune Evasion, and Drug-Access Implications.","Theories on the early steps of the HIV-1 life cycle have been radically revised over the past five years. The long-held assumption that the capsid fully disassembles in the cytoplasm has given way to a more nuanced view: Cytoplasmic disassembly does occur and, in several myeloid systems, is increasingly linked to cytosolic cDNA sensing and to abortive infection. However, a substantial fraction of intact or nearly intact capsid cores instead traverse the nuclear pore complex (NPC) and, upon interacting with the host factor CPSF6, induce liquid-liquid phase separation. This leads to the formation of biomolecular condensates, termed HIV-1 membraneless organelles (HIV-1-MLOs), which subsequently merge with nuclear speckles (NSs). In this Perspective we read these condensates along five interlocking axes. First, the virus drives the host phase separation of cleavage and polyadenylation specificity factor 6 (CPSF6), which quickly fuses with another MLO: the NS composed of the speckle scaffold factors, SON and SRRM2. Second, the resulting condensate behaves as a catalytic site that concentrates the reverse-transcription machinery and thereby promotes integration of the viral DNA into speckle-associated chromatin (SPADs). Third, the same compartment is the final layer of a stratified programme of innate immune evasion, shielding nascent double-stranded DNA from cGAS-STING after cytoplasmic restriction factors and sensors have been outmanoeuvred. Fourth, although demonstrated only in vitro, stable HIV-1-MLOs can maintain the viral RNA genome in the presence of a reverse-transcription inhibitor. Upon removal of the inhibitor, reverse transcription resumes, mirroring, to some extent, the situation in individuals undergoing interruption of antiretroviral therapy and suggesting that these structures may act as a pre-integration reservoir. Fifth, and still largely unexplored, the sanctuary has a pharmacological dimension: anatomical lymphoid compartments, and possibly the condensate itself through selective small-molecule partitioning, may limit antiretroviral drug access. We situate HIV-1-MLOs within the convergent condensate strategies of SARS-CoV-2 and other viruses, and we discuss the clinical, diagnostic, therapeutic, and vaccine implications, including capsid inhibitors as ""block-and-expose"" tools.",2026,"Pathogens (Basel, Switzerland)",Broccolo F;Sannino A;Pollini M;Paladini F;Mourer T;Di Nunzio F,"((HIV[tiab] OR ""human immunodeficiency virus""[tiab]) AND (""host factor""[tiab] OR ""restriction factor""[tiab] OR ""dependency factor""[tiab] OR ""entry factor""[tiab] OR ""host E3 ubiquitin ligase""[tiab] OR ""viral protein-host protein""[tiab]) AND (interacts[tiab] OR binds[tiab] OR recruits[tiab] OR cleaves[tiab] OR degrades[tiab] OR modulates[tiab] OR antagonizes[tiab] OR restricts[tiab] OR promotes[tiab] OR mechanism*[tiab]))",20260827,passes/pass_002/artifacts/metadata_collection/records/pmid-42515093.json
