paper_id,pmid,doi,title,abstract,publication_types,year,source_query,review_decision,review_rationale,review_confidence,topic_match_type,reviewer_type,review_frame_role,prescreen_hint,prescreen_rationale,prescreen_overlap_terms
pmid-42629042,42629042,10.1016/j.foodres.2026.119807,Retinoic acid priming enhances myogenesis of bovine muscle stem cells for cultivated meat production by modulating mitochondrial function.,"Large-scale production of cultivated meat will require robust myogenic differentiation of muscle stem cells (MuSCs) into muscle tissue using food-compatible cues. Retinoic acid (RA), a bioactive metabolite of dietary vitamin A, is an attractive candidate for this purpose. Here, we demonstrate that RA priming transitions fetal bovine MuSCs from a PAX7+ proliferative state to an activated pre-differentiation program. The pro-myogenic effect observed in two-dimensional (2D) culture was recapitulated in three-dimensional (3D) scaffolds, where RA priming accelerated and enhanced myotube formation in a setting that is more relevant to tissue. This response required canonical retinoic acid receptor (RAR) signaling. RA-RAR signaling increased the expression of peroxisome proliferator-activated receptor gamma coactivator 1-alpha (PPARGC1A) and nuclear respiratory factor 1 (NRF1), which is consistent with enhanced mitochondrial biogenesis and improved mitochondrial function. These findings are supported by elevated mitochondrial membrane potential and higher levels of respiratory chain components, together with modest changes in mitochondrial dynamics. In parallel, RA reduced the expression of PTEN-induced kinase 1 (PINK1), Parkin RBR E3 ubiquitin protein ligase (PRKN), and microtubule-associated protein 1 light chain 3 (LC3) and suppressed the transcriptional program associated with mitophagy. Taken together, these results suggest that the RA priming modulates mitochondrial function and quality-control pathways, reduces reliance on PINK1-PRKN-dependent mitophagy, and supports an activated, pro-myogenic primed state. This provides a food-compatible priming strategy with potential relevance for scalable cultivated beef production.",Journal Article,2026,"((""PAX8""[Title/Abstract] OR ""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""PAX family""[Title/Abstract]) AND (stability[Title/Abstract] OR ""protein stability""[Title/Abstract] OR degradation[Title/Abstract] OR ""protein degradation""[Title/Abstract] OR ubiquitin*[Title/Abstract] OR deubiquitin*[Title/Abstract] OR ""protein level""[Title/Abstract] OR ""steady-state""[Title/Abstract] OR ""half-life""[Title/Abstract])) NOT (Pax8cre[Title/Abstract] OR ""Pax8-Cre""[Title/Abstract] OR ""Pax7-CreER""[Title/Abstract] OR immunohistochem*[Title/Abstract] OR biomarker*[Title/Abstract])",exclude,Title/abstract does not show the required entity plus mechanism/evidence plus outcome claim shape.,medium,background_only,agent,none,,,
pmid-42618653,42618653,10.1093/jimmun/vkag229,CD55 downregulation identifies a pathogenic CD4+ T cell axis linked to p38 MAPK signaling in rheumatoid arthritis.,"CD4+ T cell dysfunction plays a critical role in the pathogenesis of rheumatoid arthritis (RA). In this study, we investigated the expression, phenotypic characteristics, and potential clinical significance of CD55, a membrane-bound complement regulatory protein, in peripheral blood CD4+ T cells from RA patients. Flow cytometric analysis revealed that CD55 expression was highest in naive CD4+ T cells and was significantly reduced in patients with early RA compared with healthy controls. Functionally, CD55+CD4+ T cells displayed enhanced production of IL-17, IL-21, and IL-22 following stimulation and exhibited reduced susceptibility to complement deposition. Transcriptomic analysis identified distinct molecular signatures associated with CD55 expression, which were further validated at the protein level, including increased expression of PAX5, CR2, and CD248 in CD55+CD4+ T cells. In addition, CD55 expression was inversely associated with p38 MAPK activation, suggesting a link between CD55 downregulation and aberrant T cell activation. Receiver operating characteristic analysis demonstrated that CD55+CD4+ T cell frequency possessed diagnostic value for distinguishing patients with early RA from healthy controls and primary Sjögren's syndrome patients. Collectively, these findings identify CD55 as a marker of a distinct CD4+ T cell subset with altered functional and molecular characteristics and support its potential utility in the early diagnosis and differential diagnosis of RA.",Journal Article,2026,"((""PAX8""[Title/Abstract] OR ""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""PAX family""[Title/Abstract]) AND (stability[Title/Abstract] OR ""protein stability""[Title/Abstract] OR degradation[Title/Abstract] OR ""protein degradation""[Title/Abstract] OR ubiquitin*[Title/Abstract] OR deubiquitin*[Title/Abstract] OR ""protein level""[Title/Abstract] OR ""steady-state""[Title/Abstract] OR ""half-life""[Title/Abstract])) NOT (Pax8cre[Title/Abstract] OR ""Pax8-Cre""[Title/Abstract] OR ""Pax7-CreER""[Title/Abstract] OR immunohistochem*[Title/Abstract] OR biomarker*[Title/Abstract])",exclude,Title/abstract does not show the required entity plus mechanism/evidence plus outcome claim shape.,medium,background_only,agent,none,,,
pmid-42588596,42588596,10.3390/cancers18152375,PAX3::FOXO1-Targeting PROTAC Induces Myogenic Differentiation of Fusion-Positive Rhabdomyosarcoma Cells.,"Background/Objectives: Fusion-positive rhabdomyosarcoma (FP-RMS) is characterized by the presence of tumor-specific chromosomal translocation products, most commonly PAX3::FOXO1, and typically results in lower survival rates compared to fusion-negative RMS cases. PAX3::FOXO1 plays a critical role in FP-RMS oncogenesis in both tumor initiation and maintenance, making it an excellent target for therapeutic intervention in FP-RMS. Methods: We created Proteolysis Targeting Chimeras (PROTACs) by combining PAX3::FOXO1-binding small molecules with E3 ligase recruiters for cereblon (CRBN) or S-Phase Kinase Associated Protein 1 (SKP1). Results: The PROTACs achieved up to 70% degradation of the endogenous PAX3::FOXO1 protein in FP-RMS cell lines in a concentration-, time-, and proteasome-dependent manner. Moreover, the PROTAC-mediated targeted degradation of PAX3::FOXO1 in FP-RMS cells deregulated the endogenous PAX3::FOXO1 gene expression signature and induced myogenic differentiation. Importantly, treatment of FP-RMS cells with PAX3::FOXO1-PROTACs synergized with vincristine treatment and impaired >80% of anchorage-independent growth in soft agar. Conclusions: Taken together, we demonstrate the proof of principle of PROTACs targeting the oncogenic fusion protein PAX3::FOXO1 in FP-RMS cells. The PROTACs created in this study will not only be useful tools in studying PAX3::FOXO1 biology in laboratory models but could also serve as molecular scaffolds for designing clinical-grade molecules to assess the therapeutic potential of PAX3::FOXO1-targeting PROTACs in FP-RMS patients.",Journal Article,2026,"((""PAX8""[Title/Abstract] OR ""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""PAX family""[Title/Abstract]) AND (stability[Title/Abstract] OR ""protein stability""[Title/Abstract] OR degradation[Title/Abstract] OR ""protein degradation""[Title/Abstract] OR ubiquitin*[Title/Abstract] OR deubiquitin*[Title/Abstract] OR ""protein level""[Title/Abstract] OR ""steady-state""[Title/Abstract] OR ""half-life""[Title/Abstract])) NOT (Pax8cre[Title/Abstract] OR ""Pax8-Cre""[Title/Abstract] OR ""Pax7-CreER""[Title/Abstract] OR immunohistochem*[Title/Abstract] OR biomarker*[Title/Abstract])",exclude,Title/abstract does not show the required entity plus mechanism/evidence plus outcome claim shape.,medium,background_only,agent,none,,,
pmid-42533127,42533127,10.1007/s00467-026-07496-z,Novel PAX2 variants and phenotypic heterogeneity in pediatric kidney disease: a single-center retrospective study.,"BACKGROUND: PAX2 encodes a transcription factor critical for kidney development. Pathogenic PAX2 variants are associated with heterogeneous kidney and extrarenal manifestations. However, the clinical heterogeneity of PAX2-associated kidney disease and the functional consequences of newly identified variants remain incompletely characterized in pediatric cohorts. METHODS: We retrospectively analyzed probands from a single-center pediatric genetic kidney disease program (2018-2024). Clinical data, imaging, kidney pathology, follow-up kidney function and genetic results were reviewed. Selected variants were functionally assessed in HEK293 cells using protein expression, cycloheximide-chase, and dual-luciferase reporter assays. RESULTS: We identified 14 distinct PAX2 variants in 15 probands, including seven previously unreported variants: p.D2Y, p.T210A, p.S242N, p.V206D, p.A160T, p.F256Ffs*40, and p.L44_A45insV. The cohort showed substantial phenotypic heterogeneity, including variability in age at diagnosis, kidney manifestations, disease severity, extrarenal involvement, and intrafamilial expressivity. Kidney biopsy findings, available in seven patients, were heterogeneous and nonspecific. Functional analyses showed that several variants reduced PAX2 protein expression, impaired protein stability, and/or decreased transcriptional activity. CONCLUSION: This study expands the clinical and molecular spectrum of PAX2-related kidney disease in Chinese children and highlights its substantial phenotypic and pathological heterogeneity. Early genetic testing, retrospective reanalysis, and longitudinal follow-up are valuable for children with unexplained kidney disease.",Journal Article,2026,"((""PAX8""[Title/Abstract] OR ""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""PAX family""[Title/Abstract]) AND (stability[Title/Abstract] OR ""protein stability""[Title/Abstract] OR degradation[Title/Abstract] OR ""protein degradation""[Title/Abstract] OR ubiquitin*[Title/Abstract] OR deubiquitin*[Title/Abstract] OR ""protein level""[Title/Abstract] OR ""steady-state""[Title/Abstract] OR ""half-life""[Title/Abstract])) NOT (Pax8cre[Title/Abstract] OR ""Pax8-Cre""[Title/Abstract] OR ""Pax7-CreER""[Title/Abstract] OR immunohistochem*[Title/Abstract] OR biomarker*[Title/Abstract])",include,"Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms.",high,direct,agent,none,,,
pmid-42471738,42471738,10.1186/s13062-026-00905-1,PAX5 alleviates atherosclerosis by transcriptionally regulating GSDMD and inhibiting STAT3-mediated pyroptosis.,"OBJECTIVE: This study aims to elucidate the role of PAX5 in the pathogenesis of atherosclerosis (AS) and its underlying mechanisms, with a particular focus on the transcriptional regulation of GSDMD and STAT3-mediated pyroptosis. METHODS: Serum PAX5 and GSDMD levels were detected in AS patients and healthy controls. In vitro, human umbilical vein endothelial cells (HUVECs) were stimulated with oxidized low-density lipoprotein (ox-LDL) and transfected with PAX5 overexpression vectors, followed by assays for cell viability, tube formation, lipid accumulation, LDH release, and pro-inflammatory cytokine (IL-1β, IL-18) secretion. Immunofluorescence and dual-luciferase reporter assays were performed to verify the co-localization of PAX5 and GSDMD, and the transcriptional interaction between PAX5 and the GSDMD promoter. Co-immunoprecipitation (Co-IP) ubiquitination assays were conducted to determine whether PAX5 promotes GSDMD poly-ubiquitination. In vivo, ApoE⁻/⁻ AS mouse models were treated with AAV-mediated PAX5 overexpression, followed by histopathological assessment of atherosclerotic lesions, lipid metabolism detection, and Western blot analysis of pyroptosis and STAT3 signaling-related proteins. RESULTS: Serum PAX5 was significantly downregulated in AS patients, while GSDMD was upregulated. In vitro, PAX5 overexpression reversed ox-LDL-induced viability reduction, lipid accumulation, LDH release, and IL-1β/IL-18 hypersecretion in HUVECs. Dual-luciferase assay confirmed that PAX5 directly binds to and activates the GSDMD promoter. Ubiquitination assays demonstrated that PAX5 promotes both K48-linked and K63-linked poly-ubiquitination of GSDMD, with the degradation pathway predominating over transcriptional activation, resulting in a net decrease in GSDMD protein abundance. In vivo, PAX5 overexpression reduced atherosclerotic lesion size, lipid deposition, and systemic inflammatory levels, improved serum lipid profiles, and inhibited STAT3 phosphorylation, GSDMD-N generation, and pyroptosis-related protein expression. CONCLUSION: PAX5 alleviates AS progression through a dual regulatory mechanism involving transcriptional activation and ubiquitin-proteasome-mediated degradation of GSDMD, thereby inhibiting STAT3-associated pyroptosis. PAX5 represents a promising therapeutic target for AS intervention.",Journal Article,2026,"((""PAX8""[Title/Abstract] OR ""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""PAX family""[Title/Abstract]) AND (stability[Title/Abstract] OR ""protein stability""[Title/Abstract] OR degradation[Title/Abstract] OR ""protein degradation""[Title/Abstract] OR ubiquitin*[Title/Abstract] OR deubiquitin*[Title/Abstract] OR ""protein level""[Title/Abstract] OR ""steady-state""[Title/Abstract] OR ""half-life""[Title/Abstract])) NOT (Pax8cre[Title/Abstract] OR ""Pax8-Cre""[Title/Abstract] OR ""Pax7-CreER""[Title/Abstract] OR immunohistochem*[Title/Abstract] OR biomarker*[Title/Abstract]); ((""PAX8""[Title/Abstract] OR ""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX7""[Title/Abstract]) AND (""nuclear localization""[Title/Abstract] OR ""nuclear retention""[Title/Abstract] OR ""nuclear accumulation""[Title/Abstract] OR ""nuclear import""[Title/Abstract] OR ""nuclear export""[Title/Abstract] OR localization[Title/Abstract]) AND (protein[Title/Abstract] OR transcription factor[Title/Abstract])) NOT (Pax8cre[Title/Abstract] OR ""Pax8-Cre""[Title/Abstract] OR ""Pax7-CreER""[Title/Abstract])",include,"Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms.",high,direct,agent,none,,,
pmid-42446761,42446761,10.1007/s12105-026-01951-x,Biphenotypic Sinonasal Sarcomas with Recurrent PAX3::FOXO6 Gene Fusion.,"BACKGROUND: Biphenotypic sinonasal sarcoma (BSNS) typically demonstrates expression of both neural and myogenic markers while harboring PAX3 gene fusions. Reported fusion partners include MAML3, NCOA1, NCOA2, FOXO1, FOXO6, WWTR1, and YAP1. Herein, we report two additional cases of BSNS harboring PAX3::FOXO6 gene fusions to aid in variant classification. CASE PRESENTATION: Patient 1 was a 37-year-old female and patient 2 was 56-year-old male with BSNS involving the right nasal cavity and left middle turbinate, respectively. Both sarcomas were unencapsulated infiltrative spindle cell neoplasms that demonstrated morphologic features of BSNS. Case 1 demonstrated variable aberrant nuclear accumulation of beta-catenin protein and lacked expression of SMA and S100 protein. Positive reactions were observed with SMA and S100 protein in case 2. RNA sequencing identified PAX3::FOXO6 (exon 7::exon 2) in both cases. CONCLUSION: The sinonasal location, morphology, and immunophenotype allow for discrimination against competing entities in most cases. In select cases genetic evaluation becomes necessary and to further aid in variant classification and to provide additional support for this rare finding we provide two examples of BSNS harboring PAX3::FOXO6.",Journal Article;Case Reports,2026,"((""PAX8""[Title/Abstract] OR ""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX7""[Title/Abstract]) AND (""nuclear localization""[Title/Abstract] OR ""nuclear retention""[Title/Abstract] OR ""nuclear accumulation""[Title/Abstract] OR ""nuclear import""[Title/Abstract] OR ""nuclear export""[Title/Abstract] OR localization[Title/Abstract]) AND (protein[Title/Abstract] OR transcription factor[Title/Abstract])) NOT (Pax8cre[Title/Abstract] OR ""Pax8-Cre""[Title/Abstract] OR ""Pax7-CreER""[Title/Abstract]); ((""PAX8""[Title/Abstract] OR ""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX7""[Title/Abstract]) AND (interact*[Title/Abstract] OR bind*[Title/Abstract] OR cofactor*[Title/Abstract] OR partner*[Title/Abstract] OR complex*[Title/Abstract] OR remodel*[Title/Abstract]) AND (stability[Title/Abstract] OR degradation[Title/Abstract] OR localization[Title/Abstract] OR retention[Title/Abstract] OR accumulation[Title/Abstract])) NOT (promoter[Title/Abstract] OR target[Title/Abstract] OR immunohistochem*[Title/Abstract])",include,"Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms.",high,direct,agent,none,,,
pmid-42443383,42443383,10.1038/s41598-026-62000-9,Sex differences in metabolic remodeling and skeletal muscle regeneration following cardiotoxin-induced injury.,"Skeletal muscle regeneration is a dynamic biological process that requires metabolic remodeling, satellite cell activation, inflammatory responses, and tissue remodeling. Although biological sex is recognized as an important determinant of skeletal muscle regeneration, whether males and females utilize distinct metabolic programs during regeneration remains poorly understood. In the present study, we investigated sex-dependent differences in metabolic remodeling and regenerative responses following cardiotoxin (CTX)-induced skeletal muscle injury in mice. Targeted metabolomic analysis performed at 7 days post-injury (DPI) revealed clear sex-dependent metabolic remodeling. Principal component analysis and pathway enrichment analysis identified glycolysis/gluconeogenesis as the most significantly altered metabolic pathway following injury. Male mice exhibited higher levels of several glycolytic, tricarboxylic acid (TCA) cycle, and amino acid metabolites than female mice. In contrast, female mice showed greater expression of Pax7, Myf5, and Myod1, together with increased Pax7-positive cells, greater Cyclin D1 staining, and higher expression of Ccne1, Cdc2, and Cdk4. Local inflammatory responses also differed between sexes, with distinct temporal patterns of MCP-1, IL-6, TNF-α, and CD45 during regeneration. Histological analyses demonstrated greater lipid accumulation in female muscle at 7 DPI, whereas both sexes exhibited comparable percentages of centrally nucleated fibers and similar restoration of muscle architecture by 21 DPI. Together, these findings indicate that biological sex is associated with differences in metabolism, satellite cell-associated responses, inflammatory responses, and tissue remodeling during skeletal muscle regeneration. Although males and females ultimately achieved comparable structural recovery, the regenerative process differed substantially during the early phase after injury. These findings provide additional insight into the biological processes underlying sex-dependent skeletal muscle regeneration and establish a foundation for future studies investigating the mechanisms linking metabolism to regeneration.",Journal Article,2026,"((""PAX8""[Title/Abstract] OR ""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX7""[Title/Abstract]) AND (interact*[Title/Abstract] OR bind*[Title/Abstract] OR cofactor*[Title/Abstract] OR partner*[Title/Abstract] OR complex*[Title/Abstract] OR remodel*[Title/Abstract]) AND (stability[Title/Abstract] OR degradation[Title/Abstract] OR localization[Title/Abstract] OR retention[Title/Abstract] OR accumulation[Title/Abstract])) NOT (promoter[Title/Abstract] OR target[Title/Abstract] OR immunohistochem*[Title/Abstract])",exclude,Title/abstract does not show the required entity plus mechanism/evidence plus outcome claim shape.,medium,background_only,agent,none,,,
pmid-42417999,42417999,10.1007/s00467-026-07456-7,Reno-ocular syndromes: pathophysiological mechanisms linking kidney and ocular disorders.,"The frequent association between renal and ocular anomalies suggests a common pathophysiological axis between the genetic and molecular mechanisms of the kidneys and multiple ocular structures during tissue formation, differentiation, and remodeling. The search was conducted in the PubMed, SciELO, Scopus, and Web of Science databases. This review article focuses on the common molecular and genetic bases of renal and ocular involvement in both systemic diseases and rare syndromes. The interdependence between renal and ocular morphogenesis is mediated by conserved molecular mechanisms, notably the Bone Morphogenetic Protein-7 (BMP-7) pathway, which regulates nephrogenesis and lens development, and the transcription factor Paired Box 2 (PAX2), which is essential for the formation of the genitourinary tract and the optic nerve. Shared expression of molecular components and dependency on their expression for the integrity of both the eye and the kidney lie in the stability of extracellular matrix components, specifically through laminin β2 (LAMB2) and type IV collagen, whose pathogenic variants underlie syndromic phenotypes such as Pierson and Alport syndromes. In addition, ciliopathies, developmental disorders, immune-mediated diseases, and inborn errors of metabolism, including Fabry disease, cystinosis, and primary hyperoxaluria, promote parallel injury to renal and ocular tissues through mechanisms involving abnormal cellular signaling, metabolite accumulation, complement activation and systemic inflammation. These mutual pathways affect diverse ocular structures, including the cornea, lens, retina, optic nerve, and basement membranes. Furthermore, the presence of the kidney-retina axis enables the use of the retina as a sentinel organ, allowing for non-invasive evaluation of glomerular microvasculature by means of high-resolution imaging technologies of retinal vessels. The kidneys and eyes share several genetic, developmental, structural, metabolic, and immunological mechanisms that explain the frequent association of congenital anomalies and acquired lesions in these organs and the associated diagnostic and prognostic implications.",Journal Article;Review,2026,"((""PAX8""[Title/Abstract] OR ""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""PAX family""[Title/Abstract]) AND (stability[Title/Abstract] OR ""protein stability""[Title/Abstract] OR degradation[Title/Abstract] OR ""protein degradation""[Title/Abstract] OR ubiquitin*[Title/Abstract] OR deubiquitin*[Title/Abstract] OR ""protein level""[Title/Abstract] OR ""steady-state""[Title/Abstract] OR ""half-life""[Title/Abstract])) NOT (Pax8cre[Title/Abstract] OR ""Pax8-Cre""[Title/Abstract] OR ""Pax7-CreER""[Title/Abstract] OR immunohistochem*[Title/Abstract] OR biomarker*[Title/Abstract]); ((""PAX8""[Title/Abstract] OR ""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX7""[Title/Abstract]) AND (interact*[Title/Abstract] OR bind*[Title/Abstract] OR cofactor*[Title/Abstract] OR partner*[Title/Abstract] OR complex*[Title/Abstract] OR remodel*[Title/Abstract]) AND (stability[Title/Abstract] OR degradation[Title/Abstract] OR localization[Title/Abstract] OR retention[Title/Abstract] OR accumulation[Title/Abstract])) NOT (promoter[Title/Abstract] OR target[Title/Abstract] OR immunohistochem*[Title/Abstract])",exclude,Title/abstract does not show the required entity plus mechanism/evidence plus outcome claim shape.,medium,background_only,agent,none,,,
pmid-42414968,42414968,10.1186/s12903-026-09117-5,Regulatory effects of transcription factor PAX3 on human dental pulp stem cells.,"BACKGROUND: Dental pulp stem cells (DPSCs) are promising for regenerative dentistry but undergo replicative senescence during in vitro expansion, leading to diminished proliferative capacity and osteogenic potential. This study aimed to investigate the role of the transcription factor PAX3 in regulating the senescence process of human DPSCs (hDPSCs). METHODS: A replicative senescence model of hDPSCs was established through serial passaging (P3 as young cells vs. P11 as senescent cells). The expression of PAX3 and senescence markers (p53, p21) was assessed. The functional role of PAX3 was investigated by knocking it down (si-PAX3) or overexpressing it (OE-PAX3) in hDPSCs, followed by evaluations of senescence-associated β-galactosidase (SA-β-gal) activity, cell proliferation, and osteogenic differentiation. RESULTS: PAX3 expression was significantly downregulated in senescent P11 hDPSCs compared to young P3 cells. Functionally, PAX3 knockdown was associated with accelerated cellular senescence, as evidenced by increased SA-β-gal activity, upregulation of p53 and p21 mRNA levels, impaired cell proliferation, and reduced osteogenic differentiation. Conversely, PAX3 overexpression was associated with an attenuated senescent phenotype, resulting in decreased SA-β-gal activity and expression of p53/p21, enhanced proliferation, and improved osteogenic capacity. CONCLUSION: The transcription factor PAX3 may play a critical regulatory role in mitigating hDPSCs senescence, as downregulation of PAX3 was associated with increased senescence markers and its overexpression with reduced senescence markers. The observed correlation with p53/p21 mRNA levels suggests that this pathway may be involved, but mechanistic validation at the protein level is still required. These findings indicate that PAX3 represents a candidate for further investigation as a potential target to delay senescence and maintain the functional properties of hDPSCs, warranting further investigation for its potential utility in tissue engineering and clinical stem cell-based therapies.",Journal Article,2026,"((""PAX8""[Title/Abstract] OR ""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""PAX family""[Title/Abstract]) AND (stability[Title/Abstract] OR ""protein stability""[Title/Abstract] OR degradation[Title/Abstract] OR ""protein degradation""[Title/Abstract] OR ubiquitin*[Title/Abstract] OR deubiquitin*[Title/Abstract] OR ""protein level""[Title/Abstract] OR ""steady-state""[Title/Abstract] OR ""half-life""[Title/Abstract])) NOT (Pax8cre[Title/Abstract] OR ""Pax8-Cre""[Title/Abstract] OR ""Pax7-CreER""[Title/Abstract] OR immunohistochem*[Title/Abstract] OR biomarker*[Title/Abstract])",exclude,Title/abstract does not show the required entity plus mechanism/evidence plus outcome claim shape.,medium,background_only,agent,none,,,
pmid-42367806,42367806,10.3389/fimmu.2026.1853039,Dibutyl phthalate induces sarcopenia via TNFα/TNFR1-mediated proteolytic and pyroptotic axes: evidence from NHANES and experimental models.,"Environmental exposure to plasticizer dibutyl phthalate (DBP) is increasingly implicated in skeletal muscle decline, yet the effects and underlying mechanisms remain elusive. This study investigates the impact of DBP on skeletal muscle using a cross-scale integration of epidemiological modeling, computational toxicology, and experimental validations. Mixture modeling of 3,514 NHANES adults (2011-2018) demonstrated that combined phthalate exposure negatively correlated with skeletal muscle mass not only in aged but also in young populations. DBP metabolite monobutyl phthalate (MBP) emerged as the predominant toxic driver, mediated by inflammation and oxidative stress (Uric acid to High-density lipoprotein cholesterol Ratio, 20.8%). Phenotypically, in vitro/in vivo models showed that DBP exposure impairs myogenic differentiation, drives transition from oxidative-glycolytic type IIA fibers toward glycolytic type IIB fibers, and depletes regenerative Pax7+ satellite cells, accompanied by myofiber atrophy and lipid infiltration, mirroring environmentally-induced myosteatosis. Mechanistically, systems-level analyses and molecular docking suggest a predictive model wherein DBP/MBP could act as pseudo-ligands that dock into the active pocket of the primary trigger TNFα, which specifically upregulates TNFR1 (but not TNFR2), driving dual pathological axes: a proteostatic collapse (ubiquitin-proteasome overactivation and autophagy) and GSDMD-dependent pyroptosis. Pharmacological intervention with Morroniside successfully inhibited TNFα-driven dual axes, restoring homeostasis and alleviating DBP-induced atrophy. Ultimately, our findings expand the traditional paradigm of sarcopenia beyond age-related decline and nutritional deficits, establishing it additionally as an environmentally-driven metabolic pathology and a pressing public health risk. Furthermore, we redefine phthalate toxicity from generalized endocrine disruption to a targeted, receptor-mediated event driven by the TNFα/TNFR1 axis, culminating in environmental sarcopenia.",Journal Article,2026,"((""PAX8""[Title/Abstract] OR ""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""PAX family""[Title/Abstract]) AND (stability[Title/Abstract] OR ""protein stability""[Title/Abstract] OR degradation[Title/Abstract] OR ""protein degradation""[Title/Abstract] OR ubiquitin*[Title/Abstract] OR deubiquitin*[Title/Abstract] OR ""protein level""[Title/Abstract] OR ""steady-state""[Title/Abstract] OR ""half-life""[Title/Abstract])) NOT (Pax8cre[Title/Abstract] OR ""Pax8-Cre""[Title/Abstract] OR ""Pax7-CreER""[Title/Abstract] OR immunohistochem*[Title/Abstract] OR biomarker*[Title/Abstract])",exclude,Title/abstract does not show the required entity plus mechanism/evidence plus outcome claim shape.,medium,background_only,agent,none,,,
