paper_id,pmid,doi,title,abstract,year,journal,authors,source_query,retrieval_batch,record_path
pmid-42643419,42643419,10.3389/fmed.2026.1859653,Spontaneously ruptured breast metastasis from renal cell carcinoma 20 years post-nephrectomy: a case report and literature review.,"BACKGROUND: Breast metastases from extramammary malignancies are rare, and those originating from renal cell carcinoma (RCC) are exceptionally uncommon. These lesions often follow an indolent course, delaying recognition until acute, life-threatening complications such as hemorrhagic rupture occur. The lack of standardized management guidelines further impedes timely intervention.

CASE PRESENTATION: An 88-year-old woman with a history of radical nephrectomy for clear cell RCC 20 years prior presented with active hemorrhage from a spontaneously ruptured right breast mass. Two years earlier, a 2.5 × 1.5 cm nodule (BI-RADS 3) had been detected but managed conservatively without biopsy, gradually enlarging over the following two years. On admission, physical examination revealed a large, tender mass (∼6.5 × 6 × 7.5 cm) with skin erythema, ulceration, and active bleeding. CT demonstrated the breast mass and revealed two additional imaging-suspected lesions: a right pulmonary nodule and a right adrenal mass. After hemodynamic stabilization, right simple mastectomy was performed, achieving definitive hemostasis. Histopathology and immunohistochemistry (CAIX+, PAX-8+, vimentin+; GATA-3-, GCDFP-15-, ER-, PR-) confirmed metastatic clear cell RCC. The patient declined systemic therapy. At 30-month telephone follow-up, she reported no symptomatic local recurrence or new symptoms; however, no postoperative imaging was performed to confirm this.

CONCLUSION: This case illustrates a critical two-stage progression of breast metastasis from RCC-indolent growth followed by rapid enlargement and hemorrhagic rupture. It underscores that while a BI-RADS 3 lesion in an RCC survivor may be managed with standard short-interval imaging, any interval enlargement or morphological change should prompt a lower threshold for tissue confirmation. An IHC panel (PAX-8/CAIX positivity with negative breast-specific markers) is essential for confirming metastatic RCC. The absence of postoperative imaging in this case-with follow-up limited to symptom-based telephone assessment-highlights the critical importance of radiological surveillance to objectively evaluate disease status.",2026,Frontiers in medicine,Huang C;Wang Y;Zhou Q;Jin Q,"(""PAX8""[Title/Abstract] OR ""PAX-8""[Title/Abstract] OR ""paired box 8""[Title/Abstract] OR ""paired-box gene 8""[Title/Abstract]) AND (""protein stability""[Title/Abstract] OR ""protein levels""[Title/Abstract] OR stabilization[Title/Abstract] OR destabilization[Title/Abstract] OR degradation[Title/Abstract] OR turnover[Title/Abstract] OR ""half-life""[Title/Abstract] OR ubiquitin*[Title/Abstract] OR proteasom*[Title/Abstract] OR sumoylation[Title/Abstract] OR SUMOylation[Title/Abstract] OR deSUMOylation[Title/Abstract]) NOT ""PAX8-AS1""[Title/Abstract]",20260826,passes/pass_002/artifacts/metadata_collection/records/pmid-42643419.json
pmid-42629042,42629042,10.1016/j.foodres.2026.119807,Retinoic acid priming enhances myogenesis of bovine muscle stem cells for cultivated meat production by modulating mitochondrial function.,"Large-scale production of cultivated meat will require robust myogenic differentiation of muscle stem cells (MuSCs) into muscle tissue using food-compatible cues. Retinoic acid (RA), a bioactive metabolite of dietary vitamin A, is an attractive candidate for this purpose. Here, we demonstrate that RA priming transitions fetal bovine MuSCs from a PAX7+ proliferative state to an activated pre-differentiation program. The pro-myogenic effect observed in two-dimensional (2D) culture was recapitulated in three-dimensional (3D) scaffolds, where RA priming accelerated and enhanced myotube formation in a setting that is more relevant to tissue. This response required canonical retinoic acid receptor (RAR) signaling. RA-RAR signaling increased the expression of peroxisome proliferator-activated receptor gamma coactivator 1-alpha (PPARGC1A) and nuclear respiratory factor 1 (NRF1), which is consistent with enhanced mitochondrial biogenesis and improved mitochondrial function. These findings are supported by elevated mitochondrial membrane potential and higher levels of respiratory chain components, together with modest changes in mitochondrial dynamics. In parallel, RA reduced the expression of PTEN-induced kinase 1 (PINK1), Parkin RBR E3 ubiquitin protein ligase (PRKN), and microtubule-associated protein 1 light chain 3 (LC3) and suppressed the transcriptional program associated with mitophagy. Taken together, these results suggest that the RA priming modulates mitochondrial function and quality-control pathways, reduces reliance on PINK1-PRKN-dependent mitophagy, and supports an activated, pro-myogenic primed state. This provides a food-compatible priming strategy with potential relevance for scalable cultivated beef production.",2026,"Food research international (Ottawa, Ont.)",Mao Y;Kim EY;Kim SW;Kim RE;Ham JW;Kim MK,"(""PAX3::FOXO1""[Title/Abstract] OR ""PAX3-FOXO1""[Title/Abstract] OR ""PAX7-FOXO1""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX6""[Title/Abstract] OR ""PAX2""[Title/Abstract]) AND (""protein levels""[Title/Abstract] OR ""protein stability""[Title/Abstract] OR degradation[Title/Abstract] OR ubiquitin*[Title/Abstract] OR monoubiquitination[Title/Abstract] OR proteasom*[Title/Abstract] OR sumoylation[Title/Abstract] OR SUMOylation[Title/Abstract] OR deSUMOylation[Title/Abstract] OR phosphorylation[Title/Abstract] OR acetylation[Title/Abstract] OR hydroxylation[Title/Abstract] OR ""Hsp90""[Title/Abstract] OR chaperone[Title/Abstract] OR PROTAC[Title/Abstract] OR degrader[Title/Abstract] OR ""nuclear localization""[Title/Abstract])",20260826,passes/pass_002/artifacts/metadata_collection/records/pmid-42629042.json
pmid-42617273,42617273,10.1016/j.psj.2026.107559,Whole-transcriptome analysis reveals key transcriptional and noncoding RNA regulators of skeletal muscle satellite cell differentiation in quail.,"Skeletal muscle growth in poultry depends on the proliferation and differentiation of skeletal muscle satellite cells (SMSCs), yet the regulatory landscape governing these processes in quail remains poorly defined. In this study, primary SMSCs were isolated from embryonic day 15 quail pectoral muscle and validated by PAX7 immunostaining and MYHC immunostaining following induction of differentiation. rRNA-depleted RNA-seq was performed at three developmental stages: satellite cells after differential adhesion (DA), proliferating myoblasts (GM), and differentiated myotubes after 4 d (DM4). Transcriptome profiling identified 9,728 common genes expressed in three group, with 1,254 genes differentially expressed across all pairwise comparisons. Functional enrichment analyses indicated a coordinated shift from cell cycle progression in proliferating cells to muscle contraction, oxidative phosphorylation, and calcium signaling during differentiation. Short time-series expression miner (STEM) analysis revealed distinct temporal expression patterns, highlighting proliferation-associated regulators (e.g., KDR, PIK3R1, MYF5, MYF6, NOTCH1, and WNT2) and myotube-related genes (e.g., ALDH18A1, HOXC8, TBX5, and EN1) as central nodes within stage-specific networks. In addition, 935 lncRNAs and 13,588 circRNAs were detected, many displaying stage-specific expression patterns. Predicted lncRNA-mRNA interactions and circRNA host gene enrichment implicated these noncoding RNAs in muscle development and metabolic remodeling. A competing endogenous RNA network highlighted miR-466-x and novel-m0255-5p as potential post-transcriptional regulators of muscle-related genes, including VEGFA, HDAC4, MYLK4, and NOX4. These findings provide a comprehensive transcriptomic resource for quail myogenesis and identify candidate coding and noncoding regulators relevant to muscle growth in poultry.",2026,Poultry science,Liu J;Jiang H;Xiao X;Liao Z;Wang Y;Ding Z;Chai X;Liu H;Huang X;Wei W;Xie Y;Liu L;Wang Z;Hu X;Liu S;Chen B;Mao H,"(""PAX3::FOXO1""[Title/Abstract] OR ""PAX3-FOXO1""[Title/Abstract] OR ""PAX7-FOXO1""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX6""[Title/Abstract] OR ""PAX2""[Title/Abstract]) AND (""protein levels""[Title/Abstract] OR ""protein stability""[Title/Abstract] OR degradation[Title/Abstract] OR ubiquitin*[Title/Abstract] OR monoubiquitination[Title/Abstract] OR proteasom*[Title/Abstract] OR sumoylation[Title/Abstract] OR SUMOylation[Title/Abstract] OR deSUMOylation[Title/Abstract] OR phosphorylation[Title/Abstract] OR acetylation[Title/Abstract] OR hydroxylation[Title/Abstract] OR ""Hsp90""[Title/Abstract] OR chaperone[Title/Abstract] OR PROTAC[Title/Abstract] OR degrader[Title/Abstract] OR ""nuclear localization""[Title/Abstract])",20260826,passes/pass_002/artifacts/metadata_collection/records/pmid-42617273.json
pmid-42588596,42588596,10.3390/cancers18152375,PAX3::FOXO1-Targeting PROTAC Induces Myogenic Differentiation of Fusion-Positive Rhabdomyosarcoma Cells.,"Background/Objectives: Fusion-positive rhabdomyosarcoma (FP-RMS) is characterized by the presence of tumor-specific chromosomal translocation products, most commonly PAX3::FOXO1, and typically results in lower survival rates compared to fusion-negative RMS cases. PAX3::FOXO1 plays a critical role in FP-RMS oncogenesis in both tumor initiation and maintenance, making it an excellent target for therapeutic intervention in FP-RMS. Methods: We created Proteolysis Targeting Chimeras (PROTACs) by combining PAX3::FOXO1-binding small molecules with E3 ligase recruiters for cereblon (CRBN) or S-Phase Kinase Associated Protein 1 (SKP1). Results: The PROTACs achieved up to 70% degradation of the endogenous PAX3::FOXO1 protein in FP-RMS cell lines in a concentration-, time-, and proteasome-dependent manner. Moreover, the PROTAC-mediated targeted degradation of PAX3::FOXO1 in FP-RMS cells deregulated the endogenous PAX3::FOXO1 gene expression signature and induced myogenic differentiation. Importantly, treatment of FP-RMS cells with PAX3::FOXO1-PROTACs synergized with vincristine treatment and impaired >80% of anchorage-independent growth in soft agar. Conclusions: Taken together, we demonstrate the proof of principle of PROTACs targeting the oncogenic fusion protein PAX3::FOXO1 in FP-RMS cells. The PROTACs created in this study will not only be useful tools in studying PAX3::FOXO1 biology in laboratory models but could also serve as molecular scaffolds for designing clinical-grade molecules to assess the therapeutic potential of PAX3::FOXO1-targeting PROTACs in FP-RMS patients.",2026,Cancers,Knoll N;Somay K;Tiwari PB;Deniz E;Formen JSSK;Frye I;Nelson E;Wolf C;Toretsky JA;Üren A,"(""PAX3::FOXO1""[Title/Abstract] OR ""PAX3-FOXO1""[Title/Abstract] OR ""PAX7-FOXO1""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX6""[Title/Abstract] OR ""PAX2""[Title/Abstract]) AND (""protein levels""[Title/Abstract] OR ""protein stability""[Title/Abstract] OR degradation[Title/Abstract] OR ubiquitin*[Title/Abstract] OR monoubiquitination[Title/Abstract] OR proteasom*[Title/Abstract] OR sumoylation[Title/Abstract] OR SUMOylation[Title/Abstract] OR deSUMOylation[Title/Abstract] OR phosphorylation[Title/Abstract] OR acetylation[Title/Abstract] OR hydroxylation[Title/Abstract] OR ""Hsp90""[Title/Abstract] OR chaperone[Title/Abstract] OR PROTAC[Title/Abstract] OR degrader[Title/Abstract] OR ""nuclear localization""[Title/Abstract])",20260826,passes/pass_002/artifacts/metadata_collection/records/pmid-42588596.json
pmid-42533389,42533389,10.1111/acel.70651,Diosgenin Alleviates Age-Related Sarcopenia by Promoting Satellite Cell Proliferation and Myogenic Differentiation via Activation of the SIRT1/PGC-1α Signaling Pathway.,"Age-related sarcopenia is characterized by a progressive decline in skeletal muscle mass and function, with satellite cell dysfunction representing a central pathogenic mechanism. Diosgenin, a steroidal saponin derived from plants of the Dioscorea genus, has demonstrated potential anti-aging properties; however, its role in sarcopenia remains unclear. In this study, naturally aged C57BL/6J mice and a D-galactose (D-gal)-induced senescent C2C12 cell model were employed to systematically investigate the effects of diosgenin on muscle function, satellite cell dynamics, and the sirtuin 1 (SIRT1)/peroxisome proliferator-activated receptor gamma coactivator-1 alpha (PGC-1α) signaling pathway. Diosgenin treatment significantly improved forelimb grip strength and exercise endurance, increased the gastrocnemius muscle index, and enlarged muscle fiber cross-sectional area in aged mice. Mechanistically, diosgenin upregulated the expression of myokines meteorin-like protein (METRNL) and insulin-like growth factor 1 (IGF-1) at both mRNA and protein levels, increased the number of proliferative satellite cells positive for paired box 7 (Pax7) and Ki67, and enhanced the expression of myogenic markers, including myogenic factor 5 (Myf5), Pax7, and myosin heavy chain II (MyHC II). These effects were mediated by direct activation of SIRT1, leading to deacetylation of PGC-1α. Notably, pharmacological inhibition of SIRT1 with EX527 markedly abrogated the diosgenin-induced effects. Molecular docking and cellular thermal shift assays further confirmed the direct interaction between diosgenin and SIRT1. Collectively, these findings demonstrate that diosgenin alleviates age-related sarcopenia by activating the SIRT1/PGC-1α signaling pathway to promote satellite cell proliferation and myogenic differentiation, highlighting its potential as a promising therapeutic candidate for sarcopenia.",2026,Aging cell,Zeng X;Ding H;Li Z;Wang Q;Guan P;Wang T;Wang J;Fu Y;Chen L;Qin H,"(""PAX3::FOXO1""[Title/Abstract] OR ""PAX3-FOXO1""[Title/Abstract] OR ""PAX7-FOXO1""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX6""[Title/Abstract] OR ""PAX2""[Title/Abstract]) AND (""protein levels""[Title/Abstract] OR ""protein stability""[Title/Abstract] OR degradation[Title/Abstract] OR ubiquitin*[Title/Abstract] OR monoubiquitination[Title/Abstract] OR proteasom*[Title/Abstract] OR sumoylation[Title/Abstract] OR SUMOylation[Title/Abstract] OR deSUMOylation[Title/Abstract] OR phosphorylation[Title/Abstract] OR acetylation[Title/Abstract] OR hydroxylation[Title/Abstract] OR ""Hsp90""[Title/Abstract] OR chaperone[Title/Abstract] OR PROTAC[Title/Abstract] OR degrader[Title/Abstract] OR ""nuclear localization""[Title/Abstract])",20260826,passes/pass_002/artifacts/metadata_collection/records/pmid-42533389.json
pmid-42533127,42533127,10.1007/s00467-026-07496-z,Novel PAX2 variants and phenotypic heterogeneity in pediatric kidney disease: a single-center retrospective study.,"BACKGROUND: PAX2 encodes a transcription factor critical for kidney development. Pathogenic PAX2 variants are associated with heterogeneous kidney and extrarenal manifestations. However, the clinical heterogeneity of PAX2-associated kidney disease and the functional consequences of newly identified variants remain incompletely characterized in pediatric cohorts.

METHODS: We retrospectively analyzed probands from a single-center pediatric genetic kidney disease program (2018-2024). Clinical data, imaging, kidney pathology, follow-up kidney function and genetic results were reviewed. Selected variants were functionally assessed in HEK293 cells using protein expression, cycloheximide-chase, and dual-luciferase reporter assays.

RESULTS: We identified 14 distinct PAX2 variants in 15 probands, including seven previously unreported variants: p.D2Y, p.T210A, p.S242N, p.V206D, p.A160T, p.F256Ffs*40, and p.L44_A45insV. The cohort showed substantial phenotypic heterogeneity, including variability in age at diagnosis, kidney manifestations, disease severity, extrarenal involvement, and intrafamilial expressivity. Kidney biopsy findings, available in seven patients, were heterogeneous and nonspecific. Functional analyses showed that several variants reduced PAX2 protein expression, impaired protein stability, and/or decreased transcriptional activity.

CONCLUSION: This study expands the clinical and molecular spectrum of PAX2-related kidney disease in Chinese children and highlights its substantial phenotypic and pathological heterogeneity. Early genetic testing, retrospective reanalysis, and longitudinal follow-up are valuable for children with unexplained kidney disease.",2026,"Pediatric nephrology (Berlin, Germany)",Zhu X;Liu Q;He S;Zheng B;Wang C;Zhao F;Ding G;Zhang A;Zhou W,"(""PAX3::FOXO1""[Title/Abstract] OR ""PAX3-FOXO1""[Title/Abstract] OR ""PAX7-FOXO1""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX6""[Title/Abstract] OR ""PAX2""[Title/Abstract]) AND (""protein levels""[Title/Abstract] OR ""protein stability""[Title/Abstract] OR degradation[Title/Abstract] OR ubiquitin*[Title/Abstract] OR monoubiquitination[Title/Abstract] OR proteasom*[Title/Abstract] OR sumoylation[Title/Abstract] OR SUMOylation[Title/Abstract] OR deSUMOylation[Title/Abstract] OR phosphorylation[Title/Abstract] OR acetylation[Title/Abstract] OR hydroxylation[Title/Abstract] OR ""Hsp90""[Title/Abstract] OR chaperone[Title/Abstract] OR PROTAC[Title/Abstract] OR degrader[Title/Abstract] OR ""nuclear localization""[Title/Abstract])",20260826,passes/pass_002/artifacts/metadata_collection/records/pmid-42533127.json
pmid-42471738,42471738,10.1186/s13062-026-00905-1,PAX5 alleviates atherosclerosis by transcriptionally regulating GSDMD and inhibiting STAT3-mediated pyroptosis.,"OBJECTIVE: This study aims to elucidate the role of PAX5 in the pathogenesis of atherosclerosis (AS) and its underlying mechanisms, with a particular focus on the transcriptional regulation of GSDMD and STAT3-mediated pyroptosis.

METHODS: Serum PAX5 and GSDMD levels were detected in AS patients and healthy controls. In vitro, human umbilical vein endothelial cells (HUVECs) were stimulated with oxidized low-density lipoprotein (ox-LDL) and transfected with PAX5 overexpression vectors, followed by assays for cell viability, tube formation, lipid accumulation, LDH release, and pro-inflammatory cytokine (IL-1β, IL-18) secretion. Immunofluorescence and dual-luciferase reporter assays were performed to verify the co-localization of PAX5 and GSDMD, and the transcriptional interaction between PAX5 and the GSDMD promoter. Co-immunoprecipitation (Co-IP) ubiquitination assays were conducted to determine whether PAX5 promotes GSDMD poly-ubiquitination. In vivo, ApoE⁻/⁻ AS mouse models were treated with AAV-mediated PAX5 overexpression, followed by histopathological assessment of atherosclerotic lesions, lipid metabolism detection, and Western blot analysis of pyroptosis and STAT3 signaling-related proteins.

RESULTS: Serum PAX5 was significantly downregulated in AS patients, while GSDMD was upregulated. In vitro, PAX5 overexpression reversed ox-LDL-induced viability reduction, lipid accumulation, LDH release, and IL-1β/IL-18 hypersecretion in HUVECs. Dual-luciferase assay confirmed that PAX5 directly binds to and activates the GSDMD promoter. Ubiquitination assays demonstrated that PAX5 promotes both K48-linked and K63-linked poly-ubiquitination of GSDMD, with the degradation pathway predominating over transcriptional activation, resulting in a net decrease in GSDMD protein abundance. In vivo, PAX5 overexpression reduced atherosclerotic lesion size, lipid deposition, and systemic inflammatory levels, improved serum lipid profiles, and inhibited STAT3 phosphorylation, GSDMD-N generation, and pyroptosis-related protein expression.

CONCLUSION: PAX5 alleviates AS progression through a dual regulatory mechanism involving transcriptional activation and ubiquitin-proteasome-mediated degradation of GSDMD, thereby inhibiting STAT3-associated pyroptosis. PAX5 represents a promising therapeutic target for AS intervention.",2026,Biology direct,Wang X;Wu P;Shen Y;Xu S;Wan Q;Zhang Q;Lu R,"(""PAX3::FOXO1""[Title/Abstract] OR ""PAX3-FOXO1""[Title/Abstract] OR ""PAX7-FOXO1""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX6""[Title/Abstract] OR ""PAX2""[Title/Abstract]) AND (""protein levels""[Title/Abstract] OR ""protein stability""[Title/Abstract] OR degradation[Title/Abstract] OR ubiquitin*[Title/Abstract] OR monoubiquitination[Title/Abstract] OR proteasom*[Title/Abstract] OR sumoylation[Title/Abstract] OR SUMOylation[Title/Abstract] OR deSUMOylation[Title/Abstract] OR phosphorylation[Title/Abstract] OR acetylation[Title/Abstract] OR hydroxylation[Title/Abstract] OR ""Hsp90""[Title/Abstract] OR chaperone[Title/Abstract] OR PROTAC[Title/Abstract] OR degrader[Title/Abstract] OR ""nuclear localization""[Title/Abstract])",20260826,passes/pass_002/artifacts/metadata_collection/records/pmid-42471738.json
pmid-42395371,42395371,10.64898/2026.06.23.734021,Composition and activity of the proteasome in human iPSC-derived neuronal model of early-stage sporadic Alzheimer's disease.,"INTRODUCTION: The proteasome is a critical cellular degradative machinery impaired in late-stage Alzheimer's disease (AD). However, the status and activity of the proteasome in early-stage sporadic AD (sAD) is unknown.

METHODS: A cellular model of human early-stage sAD was generated from sAD patient iPSC-derived cortical neurons by dual-SMAD inhibition. The iPSCs, neuroprogenitors, and cortical neurons were validated by the expressions of key markers. The level of total intraneuronal Aβ was measured by ELISA. Composition and native proteolytic activities of the proteasome in control and sAD cortical neurons were measured using complementary fluorogenic probes.

RESULTS: Control and sAD patients iPSCs expressed pluripotent markers OCT4, NANOG, and SSEA4 which induced into neuroprogenitors expressing NESTIN and PAX6. The neuroprogenitors terminally differentiated into cortical neurons expressing neuronal markers MAP2 and TUJ1, and cortical layer marker TBR1. The level of intraneuronal Aβ in the sAD cortical neurons was significantly higher compared to control. Control and sAD cortical neurons expressed native 30S, 26S, and 20S proteasome assemblies with the sAD cortical neurons displaying higher 20S assemblies. Increased active 20S assemblies was associated with higher β1, β2, and β5 proteolytic sites activities.

DISCUSSION: The significant elevation in the proteolytic activities of the β1, β2, and β5 subunits of 20S proteasome in sAD cortical neurons suggests that this may be a possible compensatory response to elevated intraneuronal Aβ.",2026,bioRxiv : the preprint server for biology,Aladeokin AC;Jeltsch M;Davtyan H;Blurton-Jones M;Koistinaho J,"(""PAX3::FOXO1""[Title/Abstract] OR ""PAX3-FOXO1""[Title/Abstract] OR ""PAX7-FOXO1""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX6""[Title/Abstract] OR ""PAX2""[Title/Abstract]) AND (""protein levels""[Title/Abstract] OR ""protein stability""[Title/Abstract] OR degradation[Title/Abstract] OR ubiquitin*[Title/Abstract] OR monoubiquitination[Title/Abstract] OR proteasom*[Title/Abstract] OR sumoylation[Title/Abstract] OR SUMOylation[Title/Abstract] OR deSUMOylation[Title/Abstract] OR phosphorylation[Title/Abstract] OR acetylation[Title/Abstract] OR hydroxylation[Title/Abstract] OR ""Hsp90""[Title/Abstract] OR chaperone[Title/Abstract] OR PROTAC[Title/Abstract] OR degrader[Title/Abstract] OR ""nuclear localization""[Title/Abstract])",20260826,passes/pass_002/artifacts/metadata_collection/records/pmid-42395371.json
pmid-42368027,42368027,10.64898/2026.05.15.725287,Loss of LanC-like proteins delays post-injury regeneration of aging skeletal muscles.,"The adult skeletal muscle regenerates robustly upon injury, but this regenerative capacity rapidly declines with age. In this study, we identify the lanthionine synthetase C-Like (LanCL) proteins, mammalian homologs of the bacterial peptide cyclase LanC, as positive regulators of muscle regeneration in middle-aged mice. In a barium chloride-induced injury model, we found the protein levels of LanCL1 and LanCL2 to increase during an early phase of regeneration in middle-aged (12-month-old) but not young adult (4-month-old) mice. Utilizing a mouse line lacking all three LanCL proteins (LanCL triple KO or LTKO), we examined a potential role of LanCL in injury-induced muscle regeneration. Consistent with an age-dependent function of LanCL, we observed a delayed regeneration of the tibialis anterior (TA) muscle after injury, as reflected by reduced sizes of regenerating myofibers at day 7 after injury in middle-aged (but not young) LTKO compared to age-matched WT mice. Although the pool size of quiescent satellite cells (Pax7+) was comparable between 12-month-old LTKO and WT muscles without injury, the number of Pax7+ cells was significantly higher in regenerating LTKO muscles at day 5 after injury, accompanied by drastically decreased numbers of MyoD+ and MyoG+ cells, as well as increased numbers of proliferating cells. In addition, we detected elevated expression of pro inflammatory cytokines in regenerating LTKO muscles, while the number of macrophages was similar comparing LTKO and WT muscles. Taken together, our observations suggest that in aging muscles LanCLs are important for proper timing of inflammation resolution and regeneration upon injury.",2026,bioRxiv : the preprint server for biology,Reyes-Ordoñez A;Zhou TH;Rao TC;Barai P;van der Donk WA;Chen J,"(""PAX3::FOXO1""[Title/Abstract] OR ""PAX3-FOXO1""[Title/Abstract] OR ""PAX7-FOXO1""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX6""[Title/Abstract] OR ""PAX2""[Title/Abstract]) AND (""protein levels""[Title/Abstract] OR ""protein stability""[Title/Abstract] OR degradation[Title/Abstract] OR ubiquitin*[Title/Abstract] OR monoubiquitination[Title/Abstract] OR proteasom*[Title/Abstract] OR sumoylation[Title/Abstract] OR SUMOylation[Title/Abstract] OR deSUMOylation[Title/Abstract] OR phosphorylation[Title/Abstract] OR acetylation[Title/Abstract] OR hydroxylation[Title/Abstract] OR ""Hsp90""[Title/Abstract] OR chaperone[Title/Abstract] OR PROTAC[Title/Abstract] OR degrader[Title/Abstract] OR ""nuclear localization""[Title/Abstract])",20260826,passes/pass_002/artifacts/metadata_collection/records/pmid-42368027.json
pmid-42367806,42367806,10.3389/fimmu.2026.1853039,Dibutyl phthalate induces sarcopenia via TNFα/TNFR1-mediated proteolytic and pyroptotic axes: evidence from NHANES and experimental models.,"Environmental exposure to plasticizer dibutyl phthalate (DBP) is increasingly implicated in skeletal muscle decline, yet the effects and underlying mechanisms remain elusive. This study investigates the impact of DBP on skeletal muscle using a cross-scale integration of epidemiological modeling, computational toxicology, and experimental validations. Mixture modeling of 3,514 NHANES adults (2011-2018) demonstrated that combined phthalate exposure negatively correlated with skeletal muscle mass not only in aged but also in young populations. DBP metabolite monobutyl phthalate (MBP) emerged as the predominant toxic driver, mediated by inflammation and oxidative stress (Uric acid to High-density lipoprotein cholesterol Ratio, 20.8%). Phenotypically, in vitro/in vivo models showed that DBP exposure impairs myogenic differentiation, drives transition from oxidative-glycolytic type IIA fibers toward glycolytic type IIB fibers, and depletes regenerative Pax7+ satellite cells, accompanied by myofiber atrophy and lipid infiltration, mirroring environmentally-induced myosteatosis. Mechanistically, systems-level analyses and molecular docking suggest a predictive model wherein DBP/MBP could act as pseudo-ligands that dock into the active pocket of the primary trigger TNFα, which specifically upregulates TNFR1 (but not TNFR2), driving dual pathological axes: a proteostatic collapse (ubiquitin-proteasome overactivation and autophagy) and GSDMD-dependent pyroptosis. Pharmacological intervention with Morroniside successfully inhibited TNFα-driven dual axes, restoring homeostasis and alleviating DBP-induced atrophy. Ultimately, our findings expand the traditional paradigm of sarcopenia beyond age-related decline and nutritional deficits, establishing it additionally as an environmentally-driven metabolic pathology and a pressing public health risk. Furthermore, we redefine phthalate toxicity from generalized endocrine disruption to a targeted, receptor-mediated event driven by the TNFα/TNFR1 axis, culminating in environmental sarcopenia.",2026,Frontiers in immunology,Yi X;Li J;Long X;Hu X;Yi L;Liu L;Lu X;Xu T;Chen Y;Zheng HF;Ruan H;Tao J,"(""PAX3::FOXO1""[Title/Abstract] OR ""PAX3-FOXO1""[Title/Abstract] OR ""PAX7-FOXO1""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX6""[Title/Abstract] OR ""PAX2""[Title/Abstract]) AND (""protein levels""[Title/Abstract] OR ""protein stability""[Title/Abstract] OR degradation[Title/Abstract] OR ubiquitin*[Title/Abstract] OR monoubiquitination[Title/Abstract] OR proteasom*[Title/Abstract] OR sumoylation[Title/Abstract] OR SUMOylation[Title/Abstract] OR deSUMOylation[Title/Abstract] OR phosphorylation[Title/Abstract] OR acetylation[Title/Abstract] OR hydroxylation[Title/Abstract] OR ""Hsp90""[Title/Abstract] OR chaperone[Title/Abstract] OR PROTAC[Title/Abstract] OR degrader[Title/Abstract] OR ""nuclear localization""[Title/Abstract])",20260826,passes/pass_002/artifacts/metadata_collection/records/pmid-42367806.json
