match_type,match_value,rationale
journal_prefix,Frontiers in,User-selected trust threshold excludes Frontiers-level journals from due-diligence intake.
journal_exact,Oncotarget,Low-trust venue for decision-grade biomedical due diligence.
journal_exact,OncoTargets and therapy,Low-trust venue for decision-grade biomedical due diligence.
journal_exact,American journal of cancer research,Low-trust venue for decision-grade biomedical due diligence.
journal_exact,Oncology letters,Low-trust venue for decision-grade biomedical due diligence.
journal_exact,Translational cancer research,Low-trust venue for decision-grade biomedical due diligence.
journal_exact,Discover oncology,Low-trust venue for decision-grade biomedical due diligence.
journal_exact,Journal of Cancer,Low-trust venue for decision-grade biomedical due diligence.
journal_exact,Cureus,Low-trust venue for decision-grade biomedical due diligence.
journal_exact,Cells,User-selected aggressive venue exclusion for high-trust due diligence.
journal_exact,Cancers,User-selected aggressive venue exclusion for high-trust due diligence.
journal_exact,Biomedicines,User-selected aggressive venue exclusion for high-trust due diligence.
journal_prefix,Diagnostics,User-selected aggressive venue exclusion for high-trust due diligence.
journal_exact,Journal of clinical medicine,User-selected aggressive venue exclusion for high-trust due diligence.
journal_exact,Pathogens,User-selected aggressive venue exclusion for high-trust due diligence.
journal_prefix,Pathogens,User-selected aggressive venue exclusion for high-trust due diligence.
journal_exact,Microorganisms,User-selected aggressive venue exclusion for high-trust due diligence.
journal_exact,Pharmaceuticals,User-selected aggressive venue exclusion for high-trust due diligence.
journal_exact,Biology,User-selected aggressive venue exclusion for high-trust due diligence.
journal_exact,Heliyon,User-selected aggressive venue exclusion for high-trust due diligence.
journal_exact,Diseases,User-selected aggressive venue exclusion for high-trust due diligence.
