paper_id,pmid,doi,title,year,priority,evidence_category,learned_criteria_matched,shortlist_rationale
pmid-9288908,9288908,10.1111/j.1432-1033.1997.00860.x,Determination of functional domains of the human transcription factor PAX8 responsible for its nuclear localization and transactivating potential.,1997,high,strong_learned_match,pax8 nuclear localization; pax8 functional domains; phosphorylation; pax8; nuclear; pax; localization; for; dependence,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-9845675,9845675,10.1677/jme.0.0210347,Pax-8 protein levels regulate thyroglobulin gene expression.,1998,high,strong_learned_match,pax8 sumoylation; pax8 protein stability; pax8 stabilization; sumoylation; desumoylation; pax8; degradation; pax; for; regulation,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-10329718,10329718,10.1074/jbc.274.21.15115,Phosphorylation of the transactivation domain of Pax6 by extracellular signal-regulated kinase and p38 mitogen-activated protein kinase.,1999,high,strong_learned_match,pax2 hydroxylation; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac; nuclear,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-10748034,10748034,10.1074/jbc.M001551200,BSAP (Pax5)-importin alpha 1 (Rch1) interaction identifies a nuclear localization sequence.,2000,high,strong_learned_match,pax2 hydroxylation; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac; nuclear,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-12123817,12123817,10.1016/s0014-5793(02)02957-5,Cell-line specific chromatin acetylation at the Sox10-Pax3 enhancer site modulates the RET proto-oncogene expression.,2002,high,strong_learned_match,pax3-foxo1 targeted degradation by protac; pax2 hydroxylation; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-11700324,11700324,10.1074/jbc.M109663200,Phosphorylation of Pax2 by the c-Jun N-terminal kinase and enhanced Pax2-dependent transcription activation.,2002,high,strong_learned_match,pax2 hydroxylation; pax family protein levels; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-12514097,12514097,10.1101/gad.1031403,"Pax5 is required for recombination of transcribed, acetylated, 5' IgH V gene segments.",2003,high,strong_learned_match,pax2 hydroxylation; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac; nuclear,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-16407227,16407227,10.1074/jbc.M507227200,Phosphorylation and transactivation of Pax6 by homeodomain-interacting protein kinase 2.,2006,high,strong_learned_match,pax2 hydroxylation; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac; nuclear,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-17986608,17986608,10.1073/pnas.0708910104,PAX3-FOXO1 controls expression of the p57Kip2 cell-cycle regulator through degradation of EGR1.,2007,high,strong_learned_match,pax2 hydroxylation; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac; nuclear,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-17662948,17662948,10.1016/j.cell.2007.05.044,Regulation of Pax3 by proteasomal degradation of monoubiquitinated protein in skeletal muscle progenitors.,2007,high,strong_learned_match,pax2 hydroxylation; ubiquitination; monoubiquitination; proteasomal degradation; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-17698292,17698292,10.1016/j.bbagen.2007.06.016,The oncogenic fusion protein Pax3-FKHR has a greater post-translational stability relative to Pax3 during early myogenesis.,2007,high,strong_learned_match,pax2 hydroxylation; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac; nuclear,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-18708529,18708529,10.1110/ps.035956.108,Identification of serine 205 as a site of phosphorylation on Pax3 in proliferating but not differentiating primary myoblasts.,2008,high,strong_learned_match,pax2 hydroxylation; pax family protein levels; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-18483260,18483260,10.1158/0008-5472.CAN-07-2447,Phosphorylation regulates transcriptional activity of PAX3/FKHR and reveals novel therapeutic possibilities.,2008,high,strong_learned_match,pax3-foxo1 targeted degradation by protac; pax2 hydroxylation; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-18628401,18628401,10.1101/gad.471708,Trim11 modulates the function of neurogenic transcription factor Pax6 through ubiquitin-proteosome system.,2008,high,strong_learned_match,pax2 hydroxylation; pax family protein levels; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-18198106,18198106,10.1051/medsci/200824131,[Proteasomal degradation of Pax3 in skeletal muscle progenitors: one ubiquitin does the trick!].,2008,high,strong_learned_match,pax2 hydroxylation; ubiquitination; monoubiquitination; proteasomal degradation; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-19223471,19223471,10.1128/MCB.01543-08,Pax6 regulates the proglucagon processing enzyme PC2 and its chaperone 7B2.,2009,high,strong_learned_match,pax2 hydroxylation; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac; nuclear,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-18974227,18974227,10.1677/JME-08-0100,Pax8 protein stability is controlled by sumoylation.,2009,high,strong_learned_match,pax8 sumoylation; pax8 protein stability; pax8 stabilization; pax8 nuclear localization; pax8 functional domains; pax family protein levels; sumoylation; desumoylation; pax8; nuclear,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-21084637,21084637,10.1073/pnas.1007866107,"Sumoylation activates the transcriptional activity of Pax-6, an important transcription factor for eye and brain development.",2010,high,strong_learned_match,pax2 hydroxylation; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac; nuclear,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
